label,value,team,situation,n_games,matchup,home_away
Points,0.16,ARI,all,all,CHI@ARI,home
Goals For,0.17,ARI,all,all,CHI@ARI,home
Goal Differential,0.16,ARI,all,all,CHI@ARI,home
Shooting %,0.69,ARI,all,all,CHI@ARI,home
Save %,0.5,ARI,all,all,CHI@ARI,home
sv%,0.901,ARI,all,all,CHI@ARI,home
Blocked shot attempt %,0.52,ARI,all,all,CHI@ARI,home
Blocked shot attempt % against,0.16,ARI,all,all,CHI@ARI,home
Expected Goals For,0.12,ARI,all,all,CHI@ARI,home
XG Differential,0.09,ARI,all,all,CHI@ARI,home
Shot (FW) Volume,0.03,ARI,all,all,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,all,all,CHI@ARI,home
Penalty Differential,0.03,ARI,all,all,CHI@ARI,home
offense_p60_perc,0.12,ARI,all,all,CHI@ARI,home
defense_p60_perc,0.09,ARI,all,all,CHI@ARI,home
cum_dif_p60_perc,0.11,ARI,all,all,CHI@ARI,home
offense,319.26,ARI,all,all,CHI@ARI,home
defense,434.64,ARI,all,all,CHI@ARI,home
cum_dif,-115.38,ARI,all,all,CHI@ARI,home
Points,0.22,ARI,all,last 20 games,CHI@ARI,home
Goals For,0.14,ARI,all,last 20 games,CHI@ARI,home
Goal Differential,0.22,ARI,all,last 20 games,CHI@ARI,home
Shooting %,0.34,ARI,all,last 20 games,CHI@ARI,home
Save %,0.8,ARI,all,last 20 games,CHI@ARI,home
sv%,0.914,ARI,all,last 20 games,CHI@ARI,home
Blocked shot attempt %,0.44,ARI,all,last 20 games,CHI@ARI,home
Blocked shot attempt % against,0.12,ARI,all,last 20 games,CHI@ARI,home
Expected Goals For,0.31,ARI,all,last 20 games,CHI@ARI,home
XG Differential,0.16,ARI,all,last 20 games,CHI@ARI,home
Shot (FW) Volume,0.16,ARI,all,last 20 games,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,all,last 20 games,CHI@ARI,home
Penalty Differential,0.03,ARI,all,last 20 games,CHI@ARI,home
offense_p60_perc,0.16,ARI,all,last 20 games,CHI@ARI,home
defense_p60_perc,0.28,ARI,all,last 20 games,CHI@ARI,home
cum_dif_p60_perc,0.12,ARI,all,last 20 games,CHI@ARI,home
offense,110.55,ARI,all,last 20 games,CHI@ARI,home
defense,140.51,ARI,all,last 20 games,CHI@ARI,home
cum_dif,-29.959999999999994,ARI,all,last 20 games,CHI@ARI,home
Points,0.58,ARI,all,last 10 games,CHI@ARI,home
Goals For,0.34,ARI,all,last 10 games,CHI@ARI,home
Goal Differential,0.33,ARI,all,last 10 games,CHI@ARI,home
Shooting %,0.55,ARI,all,last 10 games,CHI@ARI,home
Save %,0.64,ARI,all,last 10 games,CHI@ARI,home
sv%,0.913,ARI,all,last 10 games,CHI@ARI,home
Blocked shot attempt %,0.64,ARI,all,last 10 games,CHI@ARI,home
Blocked shot attempt % against,0.12,ARI,all,last 10 games,CHI@ARI,home
Expected Goals For,0.47,ARI,all,last 10 games,CHI@ARI,home
XG Differential,0.22,ARI,all,last 10 games,CHI@ARI,home
Shot (FW) Volume,0.16,ARI,all,last 10 games,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,all,last 10 games,CHI@ARI,home
Penalty Differential,0.06,ARI,all,last 10 games,CHI@ARI,home
offense_p60_perc,0.33,ARI,all,last 10 games,CHI@ARI,home
defense_p60_perc,0.2,ARI,all,last 10 games,CHI@ARI,home
cum_dif_p60_perc,0.2,ARI,all,last 10 games,CHI@ARI,home
offense,61.19,ARI,all,last 10 games,CHI@ARI,home
defense,74.67,ARI,all,last 10 games,CHI@ARI,home
cum_dif,-13.480000000000004,ARI,all,last 10 games,CHI@ARI,home
Points,0.45,ARI,all,last 5 games,CHI@ARI,home
Goals For,0.27,ARI,all,last 5 games,CHI@ARI,home
Goal Differential,0.22,ARI,all,last 5 games,CHI@ARI,home
Shooting %,0.5,ARI,all,last 5 games,CHI@ARI,home
Save %,0.66,ARI,all,last 5 games,CHI@ARI,home
sv%,0.91,ARI,all,last 5 games,CHI@ARI,home
Blocked shot attempt %,0.28,ARI,all,last 5 games,CHI@ARI,home
Blocked shot attempt % against,0.28,ARI,all,last 5 games,CHI@ARI,home
Expected Goals For,0.25,ARI,all,last 5 games,CHI@ARI,home
XG Differential,0.12,ARI,all,last 5 games,CHI@ARI,home
Shot (FW) Volume,0.16,ARI,all,last 5 games,CHI@ARI,home
Shot (FW) Differential,0.06,ARI,all,last 5 games,CHI@ARI,home
Penalty Differential,0.06,ARI,all,last 5 games,CHI@ARI,home
offense_p60_perc,0.12,ARI,all,last 5 games,CHI@ARI,home
defense_p60_perc,0.17,ARI,all,last 5 games,CHI@ARI,home
cum_dif_p60_perc,0.09,ARI,all,last 5 games,CHI@ARI,home
offense,27.57,ARI,all,last 5 games,CHI@ARI,home
defense,41.11,ARI,all,last 5 games,CHI@ARI,home
cum_dif,-13.54,ARI,all,last 5 games,CHI@ARI,home
Points,0.16,ARI,5on5,all,CHI@ARI,home
Goals For,0.22,ARI,5on5,all,CHI@ARI,home
Goal Differential,0.22,ARI,5on5,all,CHI@ARI,home
Shooting %,0.73,ARI,5on5,all,CHI@ARI,home
Save %,0.56,ARI,5on5,all,CHI@ARI,home
sv%,0.911,ARI,5on5,all,CHI@ARI,home
Blocked shot attempt %,0.48,ARI,5on5,all,CHI@ARI,home
Blocked shot attempt % against,0.19,ARI,5on5,all,CHI@ARI,home
Expected Goals For,0.16,ARI,5on5,all,CHI@ARI,home
XG Differential,0.12,ARI,5on5,all,CHI@ARI,home
Shot (FW) Volume,0.06,ARI,5on5,all,CHI@ARI,home
Shot (FW) Differential,0.09,ARI,5on5,all,CHI@ARI,home
Penalty Differential,0.03,ARI,5on5,all,CHI@ARI,home
offense_p60_perc,0.11,ARI,5on5,all,CHI@ARI,home
defense_p60_perc,0.22,ARI,5on5,all,CHI@ARI,home
cum_dif_p60_perc,0.19,ARI,5on5,all,CHI@ARI,home
offense,235.7,ARI,5on5,all,CHI@ARI,home
defense,299.38,ARI,5on5,all,CHI@ARI,home
cum_dif,-63.68000000000001,ARI,5on5,all,CHI@ARI,home
Points,0.22,ARI,5on5,last 20 games,CHI@ARI,home
Goals For,0.16,ARI,5on5,last 20 games,CHI@ARI,home
Goal Differential,0.34,ARI,5on5,last 20 games,CHI@ARI,home
Shooting %,0.38,ARI,5on5,last 20 games,CHI@ARI,home
Save %,0.84,ARI,5on5,last 20 games,CHI@ARI,home
sv%,0.921,ARI,5on5,last 20 games,CHI@ARI,home
Blocked shot attempt %,0.36,ARI,5on5,last 20 games,CHI@ARI,home
Blocked shot attempt % against,0.11,ARI,5on5,last 20 games,CHI@ARI,home
Expected Goals For,0.41,ARI,5on5,last 20 games,CHI@ARI,home
XG Differential,0.17,ARI,5on5,last 20 games,CHI@ARI,home
Shot (FW) Volume,0.2,ARI,5on5,last 20 games,CHI@ARI,home
Shot (FW) Differential,0.12,ARI,5on5,last 20 games,CHI@ARI,home
Penalty Differential,0.03,ARI,5on5,last 20 games,CHI@ARI,home
offense_p60_perc,0.22,ARI,5on5,last 20 games,CHI@ARI,home
defense_p60_perc,0.47,ARI,5on5,last 20 games,CHI@ARI,home
cum_dif_p60_perc,0.22,ARI,5on5,last 20 games,CHI@ARI,home
offense,85.69,ARI,5on5,last 20 games,CHI@ARI,home
defense,101.27000000000001,ARI,5on5,last 20 games,CHI@ARI,home
cum_dif,-15.580000000000013,ARI,5on5,last 20 games,CHI@ARI,home
Points,0.58,ARI,5on5,last 10 games,CHI@ARI,home
Goals For,0.25,ARI,5on5,last 10 games,CHI@ARI,home
Goal Differential,0.34,ARI,5on5,last 10 games,CHI@ARI,home
Shooting %,0.48,ARI,5on5,last 10 games,CHI@ARI,home
Save %,0.62,ARI,5on5,last 10 games,CHI@ARI,home
sv%,0.918,ARI,5on5,last 10 games,CHI@ARI,home
Blocked shot attempt %,0.47,ARI,5on5,last 10 games,CHI@ARI,home
Blocked shot attempt % against,0.16,ARI,5on5,last 10 games,CHI@ARI,home
Expected Goals For,0.52,ARI,5on5,last 10 games,CHI@ARI,home
XG Differential,0.42,ARI,5on5,last 10 games,CHI@ARI,home
Shot (FW) Volume,0.23,ARI,5on5,last 10 games,CHI@ARI,home
Shot (FW) Differential,0.12,ARI,5on5,last 10 games,CHI@ARI,home
Penalty Differential,0.09,ARI,5on5,last 10 games,CHI@ARI,home
offense_p60_perc,0.34,ARI,5on5,last 10 games,CHI@ARI,home
defense_p60_perc,0.42,ARI,5on5,last 10 games,CHI@ARI,home
cum_dif_p60_perc,0.34,ARI,5on5,last 10 games,CHI@ARI,home
offense,45.019999999999996,ARI,5on5,last 10 games,CHI@ARI,home
defense,49.56,ARI,5on5,last 10 games,CHI@ARI,home
cum_dif,-4.540000000000006,ARI,5on5,last 10 games,CHI@ARI,home
Points,0.45,ARI,5on5,last 5 games,CHI@ARI,home
Goals For,0.16,ARI,5on5,last 5 games,CHI@ARI,home
Goal Differential,0.28,ARI,5on5,last 5 games,CHI@ARI,home
Shooting %,0.42,ARI,5on5,last 5 games,CHI@ARI,home
Save %,0.7,ARI,5on5,last 5 games,CHI@ARI,home
sv%,0.918,ARI,5on5,last 5 games,CHI@ARI,home
Blocked shot attempt %,0.14,ARI,5on5,last 5 games,CHI@ARI,home
Blocked shot attempt % against,0.2,ARI,5on5,last 5 games,CHI@ARI,home
Expected Goals For,0.14,ARI,5on5,last 5 games,CHI@ARI,home
XG Differential,0.16,ARI,5on5,last 5 games,CHI@ARI,home
Shot (FW) Volume,0.12,ARI,5on5,last 5 games,CHI@ARI,home
Shot (FW) Differential,0.09,ARI,5on5,last 5 games,CHI@ARI,home
Penalty Differential,0.06,ARI,5on5,last 5 games,CHI@ARI,home
offense_p60_perc,0.12,ARI,5on5,last 5 games,CHI@ARI,home
defense_p60_perc,0.44,ARI,5on5,last 5 games,CHI@ARI,home
cum_dif_p60_perc,0.22,ARI,5on5,last 5 games,CHI@ARI,home
offense,19.61,ARI,5on5,last 5 games,CHI@ARI,home
defense,26.21,ARI,5on5,last 5 games,CHI@ARI,home
cum_dif,-6.600000000000001,ARI,5on5,last 5 games,CHI@ARI,home
Points,0.16,ARI,4on5,all,CHI@ARI,home
Goals For,0.22,ARI,4on5,all,CHI@ARI,home
Goal Differential,0.19,ARI,4on5,all,CHI@ARI,home
Shooting %,0.47,ARI,4on5,all,CHI@ARI,home
Save %,0.38,ARI,4on5,all,CHI@ARI,home
sv%,0.855,ARI,4on5,all,CHI@ARI,home
Blocked shot attempt %,0.75,ARI,4on5,all,CHI@ARI,home
Blocked shot attempt % against,0.22,ARI,4on5,all,CHI@ARI,home
Expected Goals For,0.12,ARI,4on5,all,CHI@ARI,home
XG Differential,0.09,ARI,4on5,all,CHI@ARI,home
Shot (FW) Volume,0.06,ARI,4on5,all,CHI@ARI,home
Shot (FW) Differential,0.03,ARI,4on5,all,CHI@ARI,home
Penalty Differential,0.61,ARI,4on5,all,CHI@ARI,home
offense_p60_perc,0.12,ARI,4on5,all,CHI@ARI,home
defense_p60_perc,0.17,ARI,4on5,all,CHI@ARI,home
cum_dif_p60_perc,0.12,ARI,4on5,all,CHI@ARI,home
offense,8.6,ARI,4on5,all,CHI@ARI,home
defense,106.3,ARI,4on5,all,CHI@ARI,home
cum_dif,-97.7,ARI,4on5,all,CHI@ARI,home
Points,0.22,ARI,4on5,last 20 games,CHI@ARI,home
Goals For,0.27,ARI,4on5,last 20 games,CHI@ARI,home
