label,value,team,situation,n_games
Points,0.06,ANA,all,all
Goals For,0.05,ANA,all,all
Goal Differential,0.03,ANA,all,all
Shooting %,0.03,ANA,all,all
Save %,0.42,ANA,all,all
sv%,0.897,ANA,all,all
Blocked shot attempt %,0.7,ANA,all,all
Blocked shot attempt % against,0.06,ANA,all,all
Expected Goals For,0.05,ANA,all,all
XG Differential,0.03,ANA,all,all
Shot (FW) Volume,0.14,ANA,all,all
Shot (FW) Differential,0.03,ANA,all,all
Penalty Differential,0.05,ANA,all,all
offense_p60_perc,0.05,ANA,all,all
defense_p60_perc,0.03,ANA,all,all
cum_dif_p60_perc,0.03,ANA,all,all
offense,306.97,ANA,all,all
defense,487.49,ANA,all,all
cum_dif,-180.51999999999998,ANA,all,all
Points,0.17,ANA,all,last 20 games
Goals For,0.34,ANA,all,last 20 games
Goal Differential,0.03,ANA,all,last 20 games
Shooting %,0.44,ANA,all,last 20 games
Save %,0.44,ANA,all,last 20 games
sv%,0.899,ANA,all,last 20 games
Blocked shot attempt %,1.0,ANA,all,last 20 games
Blocked shot attempt % against,0.06,ANA,all,last 20 games
Expected Goals For,0.12,ANA,all,last 20 games
XG Differential,0.03,ANA,all,last 20 games
Shot (FW) Volume,0.19,ANA,all,last 20 games
Shot (FW) Differential,0.03,ANA,all,last 20 games
Penalty Differential,0.09,ANA,all,last 20 games
offense_p60_perc,0.22,ANA,all,last 20 games
defense_p60_perc,0.03,ANA,all,last 20 games
cum_dif_p60_perc,0.03,ANA,all,last 20 games
offense,112.15,ANA,all,last 20 games
defense,173.65,ANA,all,last 20 games
cum_dif,-61.5,ANA,all,last 20 games
Points,0.17,ANA,all,last 10 games
Goals For,0.27,ANA,all,last 10 games
Goal Differential,0.05,ANA,all,last 10 games
Shooting %,0.53,ANA,all,last 10 games
Save %,0.44,ANA,all,last 10 games
sv%,0.902,ANA,all,last 10 games
Blocked shot attempt %,1.0,ANA,all,last 10 games
Blocked shot attempt % against,0.09,ANA,all,last 10 games
Expected Goals For,0.06,ANA,all,last 10 games
XG Differential,0.03,ANA,all,last 10 games
Shot (FW) Volume,0.03,ANA,all,last 10 games
Shot (FW) Differential,0.03,ANA,all,last 10 games
Penalty Differential,0.06,ANA,all,last 10 games
offense_p60_perc,0.14,ANA,all,last 10 games
defense_p60_perc,0.03,ANA,all,last 10 games
cum_dif_p60_perc,0.03,ANA,all,last 10 games
offense,51.75,ANA,all,last 10 games
defense,88.91,ANA,all,last 10 games
cum_dif,-37.16,ANA,all,last 10 games
Points,0.47,ANA,all,last 5 games
Goals For,0.31,ANA,all,last 5 games
Goal Differential,0.2,ANA,all,last 5 games
Shooting %,0.75,ANA,all,last 5 games
Save %,0.66,ANA,all,last 5 games
sv%,0.915,ANA,all,last 5 games
Blocked shot attempt %,0.72,ANA,all,last 5 games
Blocked shot attempt % against,0.22,ANA,all,last 5 games
Expected Goals For,0.16,ANA,all,last 5 games
XG Differential,0.03,ANA,all,last 5 games
Shot (FW) Volume,0.03,ANA,all,last 5 games
Shot (FW) Differential,0.03,ANA,all,last 5 games
Penalty Differential,0.11,ANA,all,last 5 games
offense_p60_perc,0.19,ANA,all,last 5 games
defense_p60_perc,0.03,ANA,all,last 5 games
cum_dif_p60_perc,0.06,ANA,all,last 5 games
offense,27.2,ANA,all,last 5 games
defense,44.769999999999996,ANA,all,last 5 games
cum_dif,-17.569999999999997,ANA,all,last 5 games
Points,0.06,ANA,5on5,all
Goals For,0.06,ANA,5on5,all
Goal Differential,0.03,ANA,5on5,all
Shooting %,0.12,ANA,5on5,all
Save %,0.42,ANA,5on5,all
sv%,0.906,ANA,5on5,all
Blocked shot attempt %,0.8,ANA,5on5,all
Blocked shot attempt % against,0.06,ANA,5on5,all
Expected Goals For,0.06,ANA,5on5,all
XG Differential,0.03,ANA,5on5,all
Shot (FW) Volume,0.16,ANA,5on5,all
Shot (FW) Differential,0.03,ANA,5on5,all
Penalty Differential,0.06,ANA,5on5,all
offense_p60_perc,0.06,ANA,5on5,all
defense_p60_perc,0.03,ANA,5on5,all
cum_dif_p60_perc,0.03,ANA,5on5,all
offense,229.99,ANA,5on5,all
defense,355.58000000000004,ANA,5on5,all
cum_dif,-125.59000000000003,ANA,5on5,all
Points,0.17,ANA,5on5,last 20 games
Goals For,0.41,ANA,5on5,last 20 games
Goal Differential,0.06,ANA,5on5,last 20 games
Shooting %,0.56,ANA,5on5,last 20 games
Save %,0.28,ANA,5on5,last 20 games
sv%,0.903,ANA,5on5,last 20 games
Blocked shot attempt %,1.0,ANA,5on5,last 20 games
Blocked shot attempt % against,0.06,ANA,5on5,last 20 games
Expected Goals For,0.19,ANA,5on5,last 20 games
XG Differential,0.03,ANA,5on5,last 20 games
Shot (FW) Volume,0.12,ANA,5on5,last 20 games
Shot (FW) Differential,0.03,ANA,5on5,last 20 games
Penalty Differential,0.39,ANA,5on5,last 20 games
offense_p60_perc,0.3,ANA,5on5,last 20 games
defense_p60_perc,0.03,ANA,5on5,last 20 games
cum_dif_p60_perc,0.03,ANA,5on5,last 20 games
offense,88.56,ANA,5on5,last 20 games
defense,130.73,ANA,5on5,last 20 games
cum_dif,-42.16999999999999,ANA,5on5,last 20 games
Points,0.17,ANA,5on5,last 10 games
Goals For,0.25,ANA,5on5,last 10 games
Goal Differential,0.06,ANA,5on5,last 10 games
Shooting %,0.62,ANA,5on5,last 10 games
Save %,0.44,ANA,5on5,last 10 games
sv%,0.903,ANA,5on5,last 10 games
Blocked shot attempt %,0.84,ANA,5on5,last 10 games
Blocked shot attempt % against,0.19,ANA,5on5,last 10 games
Expected Goals For,0.12,ANA,5on5,last 10 games
XG Differential,0.06,ANA,5on5,last 10 games
Shot (FW) Volume,0.03,ANA,5on5,last 10 games
Shot (FW) Differential,0.03,ANA,5on5,last 10 games
Penalty Differential,0.22,ANA,5on5,last 10 games
offense_p60_perc,0.17,ANA,5on5,last 10 games
defense_p60_perc,0.06,ANA,5on5,last 10 games
cum_dif_p60_perc,0.03,ANA,5on5,last 10 games
offense,41.25,ANA,5on5,last 10 games
defense,64.92,ANA,5on5,last 10 games
cum_dif,-23.67,ANA,5on5,last 10 games
Points,0.47,ANA,5on5,last 5 games
Goals For,0.5,ANA,5on5,last 5 games
Goal Differential,0.39,ANA,5on5,last 5 games
Shooting %,0.72,ANA,5on5,last 5 games
Save %,0.81,ANA,5on5,last 5 games
sv%,0.93,ANA,5on5,last 5 games
Blocked shot attempt %,0.5,ANA,5on5,last 5 games
Blocked shot attempt % against,0.28,ANA,5on5,last 5 games
Expected Goals For,0.44,ANA,5on5,last 5 games
XG Differential,0.06,ANA,5on5,last 5 games
Shot (FW) Volume,0.03,ANA,5on5,last 5 games
Shot (FW) Differential,0.03,ANA,5on5,last 5 games
Penalty Differential,0.5,ANA,5on5,last 5 games
offense_p60_perc,0.38,ANA,5on5,last 5 games
defense_p60_perc,0.12,ANA,5on5,last 5 games
cum_dif_p60_perc,0.17,ANA,5on5,last 5 games
offense,22.34,ANA,5on5,last 5 games
defense,29.83,ANA,5on5,last 5 games
cum_dif,-7.489999999999998,ANA,5on5,last 5 games
Points,0.06,ANA,4on5,all
Goals For,0.03,ANA,4on5,all
Goal Differential,0.06,ANA,4on5,all
Shooting %,0.03,ANA,4on5,all
Save %,0.2,ANA,4on5,all
sv%,0.847,ANA,4on5,all
Blocked shot attempt %,0.53,ANA,4on5,all
Blocked shot attempt % against,0.09,ANA,4on5,all
Expected Goals For,0.06,ANA,4on5,all
XG Differential,0.03,ANA,4on5,all
Shot (FW) Volume,0.34,ANA,4on5,all
Shot (FW) Differential,0.03,ANA,4on5,all
Penalty Differential,0.16,ANA,4on5,all
offense_p60_perc,0.03,ANA,4on5,all
defense_p60_perc,0.06,ANA,4on5,all
cum_dif_p60_perc,0.03,ANA,4on5,all
offense,3.57,ANA,4on5,all
defense,101.03,ANA,4on5,all
cum_dif,-97.46000000000001,ANA,4on5,all
Points,0.17,ANA,4on5,last 20 games
Goals For,0.11,ANA,4on5,last 20 games
Goal Differential,0.06,ANA,4on5,last 20 games
Shooting %,0.11,ANA,4on5,last 20 games
Save %,0.38,ANA,4on5,last 20 games
sv%,0.864,ANA,4on5,last 20 games
Blocked shot attempt %,0.97,ANA,4on5,last 20 games
Blocked shot attempt % against,0.06,ANA,4on5,last 20 games
Expected Goals For,0.55,ANA,4on5,last 20 games
XG Differential,0.03,ANA,4on5,last 20 games
Shot (FW) Volume,0.78,ANA,4on5,last 20 games
Shot (FW) Differential,0.03,ANA,4on5,last 20 games
Penalty Differential,0.25,ANA,4on5,last 20 games
offense_p60_perc,0.16,ANA,4on5,last 20 games
defense_p60_perc,0.03,ANA,4on5,last 20 games
cum_dif_p60_perc,0.03,ANA,4on5,last 20 games
offense,1.56,ANA,4on5,last 20 games
defense,30.72,ANA,4on5,last 20 games
cum_dif,-29.16,ANA,4on5,last 20 games
Points,0.17,ANA,4on5,last 10 games
Goals For,0.19,ANA,4on5,last 10 games
Goal Differential,0.16,ANA,4on5,last 10 games
Shooting %,0.19,ANA,4on5,last 10 games
Save %,0.59,ANA,4on5,last 10 games
sv%,0.881,ANA,4on5,last 10 games
Blocked shot attempt %,0.92,ANA,4on5,last 10 games
Blocked shot attempt % against,0.16,ANA,4on5,last 10 games
Expected Goals For,0.45,ANA,4on5,last 10 games
XG Differential,0.06,ANA,4on5,last 10 games
Shot (FW) Volume,0.72,ANA,4on5,last 10 games
Shot (FW) Differential,0.09,ANA,4on5,last 10 games
Penalty Differential,0.17,ANA,4on5,last 10 games
offense_p60_perc,0.19,ANA,4on5,last 10 games
defense_p60_perc,0.14,ANA,4on5,last 10 games
cum_dif_p60_perc,0.09,ANA,4on5,last 10 games
offense,0.98,ANA,4on5,last 10 games
defense,16.67,ANA,4on5,last 10 games
cum_dif,-15.690000000000001,ANA,4on5,last 10 games
Points,0.47,ANA,4on5,last 5 games
Goals For,0.31,ANA,4on5,last 5 games
Goal Differential,0.06,ANA,4on5,last 5 games
Shooting %,0.31,ANA,4on5,last 5 games
Save %,0.25,ANA,4on5,last 5 games
sv%,0.833,ANA,4on5,last 5 games
Blocked shot attempt %,0.83,ANA,4on5,last 5 games
Blocked shot attempt % against,0.12,ANA,4on5,last 5 games
Expected Goals For,0.33,ANA,4on5,last 5 games
XG Differential,0.06,ANA,4on5,last 5 games
Shot (FW) Volume,0.53,ANA,4on5,last 5 games
Shot (FW) Differential,0.03,ANA,4on5,last 5 games
Penalty Differential,0.62,ANA,4on5,last 5 games
offense_p60_perc,0.28,ANA,4on5,last 5 games
defense_p60_perc,0.06,ANA,4on5,last 5 games
cum_dif_p60_perc,0.06,ANA,4on5,last 5 games
offense,0.21,ANA,4on5,last 5 games
defense,11.49,ANA,4on5,last 5 games
cum_dif,-11.28,ANA,4on5,last 5 games
Points,0.06,ANA,5on4,all
Goals For,0.09,ANA,5on4,all
Goal Differential,0.22,ANA,5on4,all
Shooting %,0.06,ANA,5on4,all
Save %,0.38,ANA,5on4,all
sv%,0.881,ANA,5on4,all
Blocked shot attempt %,0.36,ANA,5on4,all
Blocked shot attempt % against,0.42,ANA,5on4,all
Expected Goals For,0.09,ANA,5on4,all
XG Differential,0.19,ANA,5on4,all
Shot (FW) Volume,0.62,ANA,5on4,all
Shot (FW) Differential,0.66,ANA,5on4,all
Penalty Differential,0.12,ANA,5on4,all
offense_p60_perc,0.08,ANA,5on4,all
defense_p60_perc,0.42,ANA,5on4,all
cum_dif_p60_perc,0.16,ANA,5on4,all
offense,52.980000000000004,ANA,5on4,all
defense,10.76,ANA,5on4,all
cum_dif,42.220000000000006,ANA,5on4,all
Points,0.17,ANA,5on4,last 20 games
Goals For,0.36,ANA,5on4,last 20 games
Goal Differential,0.42,ANA,5on4,last 20 games
Shooting %,0.33,ANA,5on4,last 20 games
Save %,0.67,ANA,5on4,last 20 games
sv%,0.933,ANA,5on4,last 20 games
Blocked shot attempt %,0.81,ANA,5on4,last 20 games
Blocked shot attempt % against,0.75,ANA,5on4,last 20 games
Expected Goals For,0.09,ANA,5on4,last 20 games
XG Differential,0.12,ANA,5on4,last 20 games
Shot (FW) Volume,0.59,ANA,5on4,last 20 games
