label,value,team,situation,n_games,rank,rank_chart_value
Goaltending,0.908,ANA,5on5,all,11th,12.0
Offense,299.57,ANA,5on5,all,31st,2.0
Goaltending,0.917,ANA,5on5,last 20 games,7th,21.0
Offense,82.74000000000001,ANA,5on5,last 20 games,29th,4.0
Goaltending,0.899,ANA,5on5,last 10 games,18th,13.0
Offense,38.41,ANA,5on5,last 10 games,29th,4.0
Goaltending,0.893,ANA,5on5,last 5 games,19th,10.0
Offense,18.3,ANA,5on5,last 5 games,28th,5.0
Goaltending,0.911,ARI,5on5,all,8th,15.0
Offense,319.44,ARI,5on5,all,29th,4.0
Goaltending,0.907,ARI,5on5,last 20 games,13th,15.0
Offense,86.75999999999999,ARI,5on5,last 20 games,27th,6.0
Goaltending,0.884,ARI,5on5,last 10 games,24th,7.0
Offense,38.04,ARI,5on5,last 10 games,30th,3.0
Goaltending,0.832,ARI,5on5,last 5 games,28th,1.0
Offense,20.009999999999998,ARI,5on5,last 5 games,26th,7.0
Goaltending,0.936,BOS,5on5,all,1st,22.0
Offense,396.14,BOS,5on5,all,3rd,30.0
Goaltending,0.933,BOS,5on5,last 20 games,2nd,26.0
Offense,98.35,BOS,5on5,last 20 games,11th,22.0
Goaltending,0.937,BOS,5on5,last 10 games,4th,27.0
Offense,46.0,BOS,5on5,last 10 games,23rd,10.0
Goaltending,0.889,BOS,5on5,last 5 games,21st,8.0
Offense,18.47,BOS,5on5,last 5 games,27th,6.0
Goaltending,0.897,BUF,5on5,all,19th,4.0
Offense,380.27,BUF,5on5,all,10th,23.0
Goaltending,0.882,BUF,5on5,last 20 games,24th,4.0
Offense,98.21000000000001,BUF,5on5,last 20 games,12th,21.0
Goaltending,0.874,BUF,5on5,last 10 games,27th,4.0
Offense,49.68,BUF,5on5,last 10 games,12th,21.0
Goaltending,0.923,BUF,5on5,last 5 games,9th,20.0
Offense,27.28,BUF,5on5,last 5 games,5th,28.0
Goaltending,0.908,CAR,5on5,all,11th,12.0
Offense,378.28,CAR,5on5,all,12th,21.0
Goaltending,0.896,CAR,5on5,last 20 games,17th,11.0
Offense,96.72,CAR,5on5,last 20 games,13th,20.0
Goaltending,0.893,CAR,5on5,last 10 games,19th,12.0
Offense,48.82,CAR,5on5,last 10 games,13th,20.0
Goaltending,0.906,CAR,5on5,last 5 games,14th,15.0
Offense,23.02,CAR,5on5,last 5 games,19th,14.0
Goaltending,0.896,CBJ,5on5,all,20th,3.0
Offense,319.89,CBJ,5on5,all,28th,5.0
Goaltending,0.878,CBJ,5on5,last 20 games,25th,3.0
Offense,88.61,CBJ,5on5,last 20 games,25th,8.0
Goaltending,0.853,CBJ,5on5,last 10 games,30th,1.0
Offense,39.21,CBJ,5on5,last 10 games,28th,5.0
Goaltending,0.851,CBJ,5on5,last 5 games,27th,2.0
Offense,13.64,CBJ,5on5,last 5 games,32nd,1.0
Goaltending,0.895,CGY,5on5,all,21st,2.0
Offense,378.14,CGY,5on5,all,13th,20.0
Goaltending,0.89,CGY,5on5,last 20 games,21st,7.0
Offense,104.5,CGY,5on5,last 20 games,7th,26.0
Goaltending,0.87,CGY,5on5,last 10 games,28th,3.0
Offense,61.379999999999995,CGY,5on5,last 10 games,2nd,31.0
Goaltending,0.882,CGY,5on5,last 5 games,23rd,6.0
Offense,29.84,CGY,5on5,last 5 games,2nd,31.0
Goaltending,0.901,CHI,5on5,all,15th,8.0
Offense,282.05,CHI,5on5,all,32nd,1.0
Goaltending,0.894,CHI,5on5,last 20 games,18th,10.0
Offense,77.0,CHI,5on5,last 20 games,32nd,1.0
Goaltending,0.87,CHI,5on5,last 10 games,28th,3.0
Offense,36.6,CHI,5on5,last 10 games,31st,2.0
Goaltending,0.858,CHI,5on5,last 5 games,26th,3.0
Offense,15.04,CHI,5on5,last 5 games,30th,3.0
Goaltending,0.923,COL,5on5,all,2nd,21.0
Offense,341.32,COL,5on5,all,24th,9.0
Goaltending,0.913,COL,5on5,last 20 games,9th,19.0
Offense,103.64,COL,5on5,last 20 games,9th,24.0
Goaltending,0.938,COL,5on5,last 10 games,3rd,28.0
Offense,48.730000000000004,COL,5on5,last 10 games,14th,19.0
Goaltending,0.935,COL,5on5,last 5 games,6th,23.0
Offense,25.65,COL,5on5,last 5 games,11th,22.0
Goaltending,0.917,DAL,5on5,all,5th,18.0
Offense,378.66999999999996,DAL,5on5,all,11th,22.0
Goaltending,0.883,DAL,5on5,last 20 games,23rd,5.0
Offense,107.00999999999999,DAL,5on5,last 20 games,6th,27.0
Goaltending,0.883,DAL,5on5,last 10 games,25th,6.0
Offense,43.8,DAL,5on5,last 10 games,25th,8.0
Goaltending,0.904,DAL,5on5,last 5 games,16th,13.0
Offense,20.79,DAL,5on5,last 5 games,25th,8.0
Goaltending,0.904,DET,5on5,all,13th,10.0
Offense,314.8,DET,5on5,all,30th,3.0
Goaltending,0.89,DET,5on5,last 20 games,21st,7.0
Offense,79.28,DET,5on5,last 20 games,31st,2.0
Goaltending,0.874,DET,5on5,last 10 games,27th,4.0
Offense,43.239999999999995,DET,5on5,last 10 games,26th,7.0
Goaltending,0.907,DET,5on5,last 5 games,13th,16.0
Offense,25.439999999999998,DET,5on5,last 5 games,12th,21.0
Goaltending,0.91,EDM,5on5,all,9th,14.0
Offense,395.18,EDM,5on5,all,4th,29.0
Goaltending,0.903,EDM,5on5,last 20 games,15th,13.0
Offense,114.09,EDM,5on5,last 20 games,3rd,30.0
Goaltending,0.921,EDM,5on5,last 10 games,8th,23.0
Offense,57.85,EDM,5on5,last 10 games,4th,29.0
Goaltending,0.942,EDM,5on5,last 5 games,3rd,26.0
Offense,26.07,EDM,5on5,last 5 games,9th,24.0
Goaltending,0.907,FLA,5on5,all,12th,11.0
Offense,417.03,FLA,5on5,all,2nd,31.0
Goaltending,0.91,FLA,5on5,last 20 games,11th,17.0
Offense,122.88,FLA,5on5,last 20 games,1st,32.0
Goaltending,0.888,FLA,5on5,last 10 games,22nd,9.0
Offense,61.4,FLA,5on5,last 10 games,1st,32.0
Goaltending,0.922,FLA,5on5,last 5 games,10th,19.0
Offense,30.990000000000002,FLA,5on5,last 5 games,1st,32.0
Goaltending,0.903,LAK,5on5,all,14th,9.0
Offense,368.32,LAK,5on5,all,14th,19.0
Goaltending,0.924,LAK,5on5,last 20 games,3rd,25.0
Offense,109.27000000000001,LAK,5on5,last 20 games,5th,28.0
Goaltending,0.943,LAK,5on5,last 10 games,2nd,29.0
Offense,53.42,LAK,5on5,last 10 games,9th,24.0
Goaltending,0.942,LAK,5on5,last 5 games,3rd,26.0
Offense,21.369999999999997,LAK,5on5,last 5 games,23rd,10.0
Goaltending,0.923,MIN,5on5,all,2nd,21.0
Offense,328.6,MIN,5on5,all,25th,8.0
Goaltending,0.947,MIN,5on5,last 20 games,1st,27.0
Offense,95.83,MIN,5on5,last 20 games,16th,17.0
Goaltending,0.933,MIN,5on5,last 10 games,5th,26.0
Offense,48.08,MIN,5on5,last 10 games,18th,15.0
Goaltending,0.938,MIN,5on5,last 5 games,5th,24.0
Offense,21.03,MIN,5on5,last 5 games,24th,9.0
Goaltending,0.899,MTL,5on5,all,17th,6.0
Offense,325.58000000000004,MTL,5on5,all,26th,7.0
Goaltending,0.891,MTL,5on5,last 20 games,20th,8.0
Offense,95.19,MTL,5on5,last 20 games,21st,12.0
Goaltending,0.886,MTL,5on5,last 10 games,23rd,8.0
Offense,48.239999999999995,MTL,5on5,last 10 games,16th,17.0
Goaltending,0.905,MTL,5on5,last 5 games,15th,14.0
Offense,22.939999999999998,MTL,5on5,last 5 games,21st,12.0
Goaltending,0.911,NJD,5on5,all,8th,15.0
Offense,424.4,NJD,5on5,all,1st,32.0
Goaltending,0.896,NJD,5on5,last 20 games,17th,11.0
Offense,117.6,NJD,5on5,last 20 games,2nd,31.0
Goaltending,0.889,NJD,5on5,last 10 games,21st,10.0
Offense,55.44,NJD,5on5,last 10 games,7th,26.0
Goaltending,0.884,NJD,5on5,last 5 games,22nd,7.0
Offense,28.67,NJD,5on5,last 5 games,4th,29.0
Goaltending,0.92,NSH,5on5,all,3rd,20.0
Offense,347.95,NSH,5on5,all,20th,13.0
Goaltending,0.919,NSH,5on5,last 20 games,6th,22.0
Offense,80.5,NSH,5on5,last 20 games,30th,3.0
Goaltending,0.912,NSH,5on5,last 10 games,12th,19.0
Offense,36.230000000000004,NSH,5on5,last 10 games,32nd,1.0
Goaltending,0.943,NSH,5on5,last 5 games,2nd,27.0
Offense,14.65,NSH,5on5,last 5 games,31st,2.0
Goaltending,0.92,NYI,5on5,all,3rd,20.0
Offense,365.98,NYI,5on5,all,15th,18.0
Goaltending,0.923,NYI,5on5,last 20 games,4th,24.0
Offense,95.56,NYI,5on5,last 20 games,17th,16.0
Goaltending,0.924,NYI,5on5,last 10 games,7th,24.0
Offense,51.1,NYI,5on5,last 10 games,11th,22.0
Goaltending,0.933,NYI,5on5,last 5 games,7th,22.0
Offense,17.85,NYI,5on5,last 5 games,29th,4.0
Goaltending,0.918,NYR,5on5,all,4th,19.0
Offense,356.81,NYR,5on5,all,18th,15.0
Goaltending,0.923,NYR,5on5,last 20 games,4th,24.0
Offense,95.35,NYR,5on5,last 20 games,20th,13.0
Goaltending,0.945,NYR,5on5,last 10 games,1st,30.0
Offense,57.769999999999996,NYR,5on5,last 10 games,5th,28.0
Goaltending,0.932,NYR,5on5,last 5 games,8th,21.0
Offense,29.25,NYR,5on5,last 5 games,3rd,30.0
Goaltending,0.9,OTT,5on5,all,16th,7.0
Offense,344.08000000000004,OTT,5on5,all,22nd,11.0
Goaltending,0.888,OTT,5on5,last 20 games,22nd,6.0
Offense,95.52000000000001,OTT,5on5,last 20 games,18th,15.0
Goaltending,0.908,OTT,5on5,last 10 games,14th,17.0
Offense,48.16,OTT,5on5,last 10 games,17th,16.0
Goaltending,0.879,OTT,5on5,last 5 games,24th,5.0
Offense,23.5,OTT,5on5,last 5 games,16th,17.0
Goaltending,0.909,PHI,5on5,all,10th,13.0
Offense,324.89,PHI,5on5,all,27th,6.0
Goaltending,0.906,PHI,5on5,last 20 games,14th,14.0
Offense,96.56,PHI,5on5,last 20 games,14th,19.0
Goaltending,0.905,PHI,5on5,last 10 games,15th,16.0
Offense,59.42,PHI,5on5,last 10 games,3rd,30.0
Goaltending,0.902,PHI,5on5,last 5 games,17th,12.0
Offense,25.28,PHI,5on5,last 5 games,13th,20.0
Goaltending,0.911,PIT,5on5,all,8th,15.0
Offense,391.37,PIT,5on5,all,5th,28.0
Goaltending,0.899,PIT,5on5,last 20 games,16th,12.0
Offense,110.1,PIT,5on5,last 20 games,4th,29.0
Goaltending,0.904,PIT,5on5,last 10 games,16th,15.0
Offense,51.25,PIT,5on5,last 10 games,10th,23.0
Goaltending,0.915,PIT,5on5,last 5 games,11th,18.0
Offense,27.130000000000003,PIT,5on5,last 5 games,6th,27.0
Goaltending,0.899,SEA,5on5,all,17th,6.0
Offense,390.35,SEA,5on5,all,6th,27.0
Goaltending,0.868,SEA,5on5,last 20 games,27th,1.0
Offense,99.28,SEA,5on5,last 20 games,10th,23.0
Goaltending,0.882,SEA,5on5,last 10 games,26th,5.0
Offense,48.69,SEA,5on5,last 10 games,15th,18.0
Goaltending,0.861,SEA,5on5,last 5 games,25th,4.0
Offense,25.21,SEA,5on5,last 5 games,14th,19.0
Goaltending,0.885,SJS,5on5,all,22nd,1.0
Offense,364.64,SJS,5on5,all,16th,17.0
Goaltending,0.877,SJS,5on5,last 20 games,26th,2.0
Offense,87.14,SJS,5on5,last 20 games,26th,7.0
Goaltending,0.892,SJS,5on5,last 10 games,20th,11.0
Offense,44.370000000000005,SJS,5on5,last 10 games,24th,9.0
Goaltending,0.891,SJS,5on5,last 5 games,20th,9.0
Offense,23.4,SJS,5on5,last 5 games,17th,16.0
Goaltending,0.898,STL,5on5,all,18th,5.0
Offense,345.63,STL,5on5,all,21st,12.0
Goaltending,0.911,STL,5on5,last 20 games,10th,18.0
Offense,96.11,STL,5on5,last 20 games,15th,18.0
Goaltending,0.932,STL,5on5,last 10 games,6th,25.0
Offense,53.870000000000005,STL,5on5,last 10 games,8th,25.0
Goaltending,0.923,STL,5on5,last 5 games,9th,20.0
Offense,26.810000000000002,STL,5on5,last 5 games,8th,25.0
Goaltending,0.915,TBL,5on5,all,6th,17.0
Offense,388.15999999999997,TBL,5on5,all,7th,26.0
Goaltending,0.907,TBL,5on5,last 20 games,13th,15.0
Offense,89.34,TBL,5on5,last 20 games,24th,9.0
Goaltending,0.92,TBL,5on5,last 10 games,9th,22.0
Offense,46.17,TBL,5on5,last 10 games,22nd,11.0
Goaltending,0.949,TBL,5on5,last 5 games,1st,28.0
Offense,23.189999999999998,TBL,5on5,last 5 games,18th,15.0
Goaltending,0.918,TOR,5on5,all,4th,19.0
Offense,382.34000000000003,TOR,5on5,all,9th,24.0
Goaltending,0.909,TOR,5on5,last 20 games,12th,16.0
Offense,94.9,TOR,5on5,last 20 games,22nd,11.0
Goaltending,0.914,TOR,5on5,last 10 games,10th,21.0
Offense,47.019999999999996,TOR,5on5,last 10 games,21st,12.0
Goaltending,0.896,TOR,5on5,last 5 games,18th,11.0
Offense,22.439999999999998,TOR,5on5,last 5 games,22nd,11.0
Goaltending,0.897,VAN,5on5,all,19th,4.0
Offense,341.46000000000004,VAN,5on5,all,23rd,10.0
Goaltending,0.916,VAN,5on5,last 20 games,8th,20.0
Offense,89.96000000000001,VAN,5on5,last 20 games,23rd,10.0
Goaltending,0.913,VAN,5on5,last 10 games,11th,20.0
Offense,47.239999999999995,VAN,5on5,last 10 games,20th,13.0
Goaltending,0.908,VAN,5on5,last 5 games,12th,17.0
Offense,24.0,VAN,5on5,last 5 games,15th,18.0
Goaltending,0.915,VGK,5on5,all,6th,17.0
Offense,383.99,VGK,5on5,all,8th,25.0
Goaltending,0.922,VGK,5on5,last 20 games,5th,23.0
Offense,103.86,VGK,5on5,last 20 games,8th,25.0
Goaltending,0.911,VGK,5on5,last 10 games,13th,18.0
Offense,55.78,VGK,5on5,last 10 games,6th,27.0
Goaltending,0.906,VGK,5on5,last 5 games,14th,15.0
Offense,25.759999999999998,VGK,5on5,last 5 games,10th,23.0
Goaltending,0.913,WPG,5on5,all,7th,16.0
Offense,348.45,WPG,5on5,all,19th,14.0
Goaltending,0.893,WPG,5on5,last 20 games,19th,9.0
Offense,86.06,WPG,5on5,last 20 games,28th,5.0
Goaltending,0.903,WPG,5on5,last 10 games,17th,14.0
Offense,42.370000000000005,WPG,5on5,last 10 games,27th,6.0
Goaltending,0.939,WPG,5on5,last 5 games,4th,25.0
Offense,26.97,WPG,5on5,last 5 games,7th,26.0
Goaltending,0.901,WSH,5on5,all,15th,8.0
Offense,357.71000000000004,WSH,5on5,all,17th,16.0
Goaltending,0.877,WSH,5on5,last 20 games,26th,2.0
Offense,95.45,WSH,5on5,last 20 games,19th,14.0
Goaltending,0.869,WSH,5on5,last 10 games,29th,2.0
Offense,47.47,WSH,5on5,last 10 games,19th,14.0
Goaltending,0.906,WSH,5on5,last 5 games,14th,15.0
Offense,22.96,WSH,5on5,last 5 games,20th,13.0
Penalty Kill,-120.39,ANA,4on5,all,31st,2.0
Penalty Kill,-29.23,ANA,4on5,last 20 games,31st,2.0
Penalty Kill,-15.360000000000001,ANA,4on5,last 10 games,30th,3.0
Penalty Kill,-7.22,ANA,4on5,last 5 games,28th,4.0
Powerplay,51.28,ANA,5on4,all,30th,3.0
Powerplay,8.48,ANA,5on4,last 20 games,31st,2.0
Powerplay,5.63,ANA,5on4,last 10 games,27th,6.0
Powerplay,0.07000000000000028,ANA,5on4,last 5 games,31st,2.0
Penalty Kill,-132.5,ARI,4on5,all,32nd,1.0
Penalty Kill,-36.18000000000001,ARI,4on5,last 20 games,32nd,1.0
Penalty Kill,-26.18,ARI,4on5,last 10 games,32nd,1.0
Penalty Kill,-16.500000000000004,ARI,4on5,last 5 games,31st,1.0
Powerplay,65.15,ARI,5on4,all,22nd,11.0
Powerplay,9.22,ARI,5on4,last 20 games,30th,3.0
Powerplay,4.8,ARI,5on4,last 10 games,28th,5.0
Powerplay,2.2600000000000002,ARI,5on4,last 5 games,29th,4.0
Penalty Kill,-52.78000000000001,BOS,4on5,all,3rd,30.0
