team,player,line,pos,num,handedness,ht,wt,player_id,full
ANA,Alex Killorn,1st line,LW,17,L,"6'1""",199,8473986.0,Anaheim Ducks
ANA,Leo Carlsson,1st line,C,91,L,"6'3""",193,8484153.0,Anaheim Ducks
ANA,Troy Terry,1st line,RW,19,R,"6'0""",185,8478873.0,Anaheim Ducks
ANA,Cam Fowler,1st pair,LD,4,L,"6'2""",214,8475764.0,Anaheim Ducks
ANA,Olen Zellweger,1st pair,RD,51,L,"5'10""",175,8482803.0,Anaheim Ducks
ANA,Trevor Zegras,2nd line,LW,11,L,"6'0""",185,8481533.0,Anaheim Ducks
ANA,Mason McTavish,2nd line,C,23,L,"6'0""",215,8482745.0,Anaheim Ducks
ANA,Ryan Strome,2nd line,RW,16,R,"6'1""",196,8476458.0,Anaheim Ducks
ANA,Jackson LaCombe,2nd pair,LD,60,L,"6'2""",201,8481605.0,Anaheim Ducks
ANA,Gustav Lindstrom,2nd pair,RD,28,R,"6'2""",194,8480184.0,Anaheim Ducks
ANA,Frank Vatrano,3rd line,LW,77,L,"5'11""",204,8478366.0,Anaheim Ducks
ANA,Isac Lundestrom,3rd line,C,21,L,"6'0""",191,8480806.0,Anaheim Ducks
ANA,Jakob Silfverberg,3rd line,RW,33,R,"6'1""",210,8475164.0,Anaheim Ducks
ANA,Urho Vaakanainen,3rd pair,LD,5,L,"6'2""",196,8480001.0,Anaheim Ducks
ANA,William Lagesson,3rd pair,RD,37,L,"6'2""",196,8478021.0,Anaheim Ducks
ANA,Ross Johnston,4th line,LW,44,L,"6'5""",235,8477527.0,Anaheim Ducks
ANA,Ben Meyers,4th line,C,39,L,"5'11""",195,8483570.0,Anaheim Ducks
ANA,Brett Leason,4th line,RW,20,R,"6'5""",215,8481517.0,Anaheim Ducks
ANA,Brock McGinn,injured reserve,F,26.0,L,"6'0""",190.0,8476934.0,Anaheim Ducks
ANA,Benoit-Olivier Groulx,scratch,F,24.0,L,"6'2""",198.0,8480870.0,Anaheim Ducks
ANA,Max Jones,scratch,F,49.0,L,"6'3""",220.0,8479368.0,Anaheim Ducks
ANA,Pavel Mintyukov,scratch,D,34.0,L,"6'2""",194.0,8483490.0,Anaheim Ducks
ANA,Radko Gudas,scratch,D,7.0,R,"6'0""",205.0,8475462.0,Anaheim Ducks
ARI,Clayton Keller,1st line,LW,9,L,"5'10""",170,8479343.0,Arizona Coyotes
ARI,Nick Bjugstad,1st line,C,17,R,"6'6""",215,8475760.0,Arizona Coyotes
ARI,Nick Schmaltz,1st line,RW,8,R,"6'0""",177,8477951.0,Arizona Coyotes
ARI,J.J. Moser,1st pair,LD,90,L,"6'0""",172,8482655.0,Arizona Coyotes
ARI,Sean Durzi,1st pair,RD,50,R,"6'0""",188,8480434.0,Arizona Coyotes
ARI,Lawson Crouse,2nd line,LW,67,L,"6'4""",220,8478474.0,Arizona Coyotes
ARI,Logan Cooley,2nd line,C,92,L,"5'11""",180,8483431.0,Arizona Coyotes
ARI,Dylan Guenther,2nd line,RW,11,R,"6'2""",175,8482699.0,Arizona Coyotes
