team,position,num,cf_name,player_id,player,line
ANA,LD,34,Pavel Mintyukov,8483490.0,Pavel Mintyukov,3rd pair
ANA,F,44.0,Ross Johnston,8477527.0,Ross Johnston,Scratch
ANA,G,1,Lukas Dostal,8480843.0,Lukas Dostal,Goalie
ANA,G,36,John Gibson,8476434.0,John Gibson,Goalie
ANA,RD,5,Urho Vaakanainen,8480001.0,Urho Vaakanainen,3rd pair
ANA,RD,7,Radko Gudas,8475462.0,Radko Gudas,2nd pair
ANA,LD,60,Jackson LaCombe,8481605.0,Jackson LaCombe,2nd pair
ANA,RD,4,Cam Fowler,8475764.0,Cam Fowler,1st pair
ANA,LD,,Brian Dumoulin,8475208.0,Brian Dumoulin,1st pair
ANA,RW,20,Brett Leason,8481517.0,Brett Leason,4th line
ANA,C,21,Isac Lundestrom,8480806.0,Isac Lundestrom,4th line
ANA,LW,26,Brock McGinn,8476934.0,Brock McGinn,4th line
ANA,RW,19,Troy Terry,8478873.0,Troy Terry,3rd line
ANA,C,23,Mason McTavish,8482745.0,Mason McTavish,3rd line
ANA,LW,,Robby Fabbri,8477952.0,Robby Fabbri,3rd line
ANA,RW,16,Ryan Strome,8476458.0,Ryan Strome,2nd line
ANA,C,11,Trevor Zegras,8481533.0,Trevor Zegras,2nd line
ANA,LW,77,Frank Vatrano,8478366.0,Frank Vatrano,2nd line
ANA,RW,17,Alex Killorn,8473986.0,Alex Killorn,1st line
ANA,C,91,Leo Carlsson,8484153.0,Leo Carlsson,1st line
ANA,LW,61,Cutter Gauthier,8483445.0,Cutter Gauthier,1st line
ANA,D,51.0,Olen Zellweger,8482803.0,Olen Zellweger,Scratch
ANA,F,,Jansen Harkins,8478424.0,Jansen Harkins,Scratch
BOS,C,,Elias Lindholm,8477496.0,Elias Lindholm,1st line
BOS,LW,63,Brad Marchand,8473419.0,Brad Marchand,1st line
BOS,F,38.0,Patrick Brown,8477887.0,Patrick Brown,Scratch
BOS,RW,88,David Pastrnak,8477956.0,David Pastrnak,1st line
BOS,LW,18,Pavel Zacha,8478401.0,Pavel Zacha,2nd line
BOS,C,13,Charlie Coyle,8475745.0,Charlie Coyle,2nd line
BOS,RW,39,Morgan Geekie,8479987.0,Morgan Geekie,2nd line
BOS,LW,11,Trent Frederic,8479365.0,Trent Frederic,3rd line
BOS,D,6.0,Mason Lohrei,8482511.0,Mason Lohrei,Scratch
BOS,RW,55,Justin Brazeau,8479638.0,Justin Brazeau,3rd line
