team,Conference,Division,playoffs,PTS,gf,g_dif,xg%,roster_size,contracts,retained,forwards,defense,goalies,injury_cap_hit,todays_cap_hit,projected_cap_hit,projected_cap_space,ltir_cand.,ltir_cand._cap_space,fwds_cap%,def_cap%,goalie_cap%,inj_cap%
ANA,west,pacific,none,58,206,-129,0.395,22/23,42/50,0/3,40489167,16562500,8012500,1800000,66864167,66864167,16635833,-,-,0.61,0.25,0.12,0.03
ARI,west,central,none,70,225,-70,0.417,23/23,49/50,1/3,39369166,11525000,4675000,21398810,78821310,78821310,4678690,-,-,0.5,0.15,0.06,0.27
BOS,east,atlantic,top3,135,301,127,0.54,22/23,46/50,0/3,40012500,29750000,8475000,0,83070834,83070834,429166,-,-,0.48,0.36,0.1,0.0
BUF,east,atlantic,none,91,293,-8,0.49,23/23,43/50,0/3,47737023,23485714,2637500,863333,74723570,74723570,8776430,-,-,0.64,0.31,0.04,0.01
CAR,east,metro,top3,113,262,52,0.583,23/23,41/50,0/3,36661917,30817500,6900000,7750000,82579417,82579417,920583,-,-,0.44,0.37,0.08,0.09
CBJ,east,metro,none,59,213,-116,0.442,21/23,48/50,0/3,37387500,21150000,6450000,12891666,78770833,78770833,4729167,-,-,0.47,0.27,0.08,0.16
CGY,west,pacific,none,93,258,11,0.537,21/23,43/50,0/3,47175833,25687500,8200000,2500000,83713333,83713333,-213333,-,-,0.56,0.31,0.1,0.03
CHI,west,central,none,59,202,-97,0.432,23/23,40/50,1/3,35566666,22350834,4762500,0,70635124,70635124,12864876,-,-,0.5,0.32,0.07,0.0
COL,west,central,top3,109,274,51,0.516,22/23,45/50,0/3,48725000,28212500,5400000,7000000,89975000,89975000,-6475000,7000000,525000,0.54,0.31,0.06,0.08
DAL,west,central,top3,108,281,66,0.549,23/23,45/50,0/3,55694167,22750833,5000000,0,83817829,83817829,-317829,-,-,0.66,0.27,0.06,0.0
DET,east,atlantic,none,80,237,-38,0.481,23/23,43/50,1/3,45310000,22669583,6250000,0,78343473,78343473,5156527,-,-,0.58,0.29,0.08,0.0
EDM,west,pacific,top3,109,325,69,0.561,22/23,43/50,0/3,46849125,26675000,7600000,0,83890792,83890792,-390792,-,-,0.56,0.32,0.09,0.0
FLA,east,atlantic,none,92,288,16,0.525,23/23,46/50,0/3,44741667,11879167,11100000,11000000,84675001,84675001,-1175001,11000000,9824999,0.53,0.14,0.13,0.13
LAK,west,pacific,top3,104,274,20,0.532,21/23,44/50,1/3,52138334,26013333,2500000,0,83376667,83376667,123333,-,-,0.62,0.31,0.03,0.0
MIN,west,central,top3,103,239,20,0.511,21/23,44/50,0/3,40488333,20150000,7250000,0,82631921,82631921,868079,-,-,0.49,0.24,0.09,0.0
MTL,east,atlantic,none,68,227,-78,0.411,23/23,46/50,2/3,38375000,14992500,6650000,22113333,88227916,88227916,-4727916,10500000,5772084,0.44,0.17,0.08,0.25
NJD,east,metro,top3,112,289,67,0.564,23/23,42/50,0/3,52607500,21725000,4250833,0,81580833,81580833,1919167,-,-,0.64,0.27,0.05,0.0
NSH,west,central,none,92,223,-13,0.473,22/23,47/50,2/3,21228809,30059000,7000000,8500000,75593365,75593365,7906635,-,-,0.28,0.4,0.09,0.11
NYI,east,metro,none,93,242,25,0.502,23/23,44/50,0/3,52837500,23525000,6750000,874125,83986625,83986625,-486625,-,-,0.63,0.28,0.08,0.01
NYR,east,metro,top3,107,273,57,0.51,23/23,46/50,0/3,48734524,27709500,6491667,0,83546583,83546583,-46583,-,-,0.58,0.33,0.08,0.0
OTT,east,atlantic,none,86,259,-11,0.517,18/23,45/50,1/3,40853214,22030000,4000000,10700000,82604047,82604047,895953,-,-,0.5,0.27,0.05,0.13
PHI,east,metro,none,77,224,-52,0.46,22/23,47/50,1/3,27660833,18250000,9754000,19875000,82632095,82632095,867905,6250000,7117905,0.34,0.22,0.12,0.24
PIT,east,metro,none,91,261,-2,0.529,21/23,46/50,1/3,41200000,27025175,6875000,6000000,83579342,83579342,-79342,6000000,5920658,0.49,0.32,0.08,0.07
SEA,west,pacific,none,100,289,37,0.513,23/23,46/50,0/3,39964166,26362500,10600000,5500000,82556576,82556576,943424,-,-,0.48,0.32,0.13,0.07
SJS,west,pacific,none,60,233,-82,0.483,23/23,48/50,2/3,44575833,19612500,5100000,2750000,79508334,79508334,3991666,-,-,0.56,0.25,0.06,0.04
STL,west,central,none,81,260,-38,0.441,23/23,50/50,0/3,47123929,29287500,6775000,0,83206429,83206429,293571,-,-,0.57,0.35,0.08,0.0
TBL,east,atlantic,top3,98,280,28,0.52,23/23,45/50,1/3,46998333,25850000,10275000,6875000,90448333,90448333,-6948333,6875000,0 (-73333,0.52,0.29,0.11,0.08
TOR,east,atlantic,top3,111,278,58,0.541,23/23,47/50,0/3,58505616,21950000,5191667,11109167,96756450,96756450,-13256450,10312500,0 (-2943950,0.61,0.23,0.05,0.12
VAN,west,pacific,none,83,270,-26,0.484,23/23,46/50,0/3,47575000,26125000,5762500,7250000,87709167,87709167,-4209167,2500000,0 (-1709167,0.54,0.3,0.07,0.08
VGK,west,pacific,top3,111,267,42,0.529,23/23,47/50,0/3,48212500,28769150,5666667,5000000,87648317,87648317,-4148317,5000000,851683,0.55,0.33,0.06,0.06
WPG,west,central,none,95,246,22,0.516,23/23,48/50,0/3,42022024,28137500,7916666,894167,81720357,81720357,1779643,-,-,0.51,0.34,0.1,0.01
WSH,east,metro,none,80,253,-8,0.492,21/23,43/50,0/3,54130834,21700000,6350000,2000000,84200834,84200834,-700834,-,-,0.64,0.26,0.08,0.02
