round,#,team
1,1,CHI
1,2,ANA
1,3,CBJ
1,4,SJS
1,5,MTL
1,6,ARI
1,7,PHI
1,8,WSH
1,9,DET
1,10,STL
1,11,VAN
1,12,ARI
1,13,BUF
1,14,PIT
1,15,NSH
1,16,CGY
1,17,DET
1,18,WPG
1,19,CHI
1,20,SEA
1,21,MIN
1,22,PHI
1,23,NYR
1,24,NSH
1,25,STL
1,26,SJS
1,27,COL
1,28,TOR
1,29,STL
1,30,CAR
1,31,MTL
1,32,VGK
2,33,ANA
2,34,CBJ
2,35,CHI
2,36,SJS
2,37,MTL
2,38,ARI
2,39,BUF
2,40,WSH
2,41,DET
2,42,DET
2,43,DET
2,44,CHI
2,45,BUF
2,46,NSH
2,47,NSH
2,48,CGY
2,49,NYI
2,50,SEA
2,51,CHI
2,52,SEA
2,53,MIN
2,54,LAK
2,55,CHI
2,56,EDM
2,57,SEA
2,58,NJD
2,59,ANA
2,60,ANA
2,61,DAL
2,62,CAR
2,63,FLA
2,64,MIN
3,65,ANA
3,66,CBJ
3,67,CHI
3,68,NSH
3,69,MTL
3,70,ARI
3,71,CAR
3,72,ARI
3,73,DET
3,74,STL
3,75,VAN
3,76,STL
3,77,VGK
3,78,LAK
3,79,NSH
3,80,NJD
3,81,ARI
3,82,WPG
3,83,NSH
3,84,SEA
3,85,ANA
3,86,BUF
3,87,PHI
3,88,ARI
3,89,VAN
3,90,PIT
3,91,NYR
3,92,BOS
3,93,CHI
3,94,SJS
3,95,PHI
3,96,VGK
4,97,ANA
4,98,CBJ
4,99,CHI
4,100,SJS
4,101,MTL
4,102,ARI
4,103,PHI
4,104,WSH
4,105,VAN
4,106,STL
4,107,VAN
4,108,OTT
4,109,BUF
4,110,MTL
4,111,NSH
4,112,CGY
4,113,NYI
4,114,CBJ
4,115,NSH
4,116,SEA
4,117,DET
4,118,LAK
4,119,VAN
4,120,PHI
4,121,NSH
4,122,NJD
4,123,SJS
4,124,BOS
4,125,DAL
4,126,CAR
4,127,FLA
4,128,MTL
5,129,ANA
5,130,SJS
5,131,CHI
5,132,SJS
5,133,MTL
5,134,ARI
5,135,PHI
5,136,WSH
5,137,DET
5,138,STL
5,139,CAR
5,140,OTT
5,141,BUF
5,142,PIT
5,143,NSH
5,144,MTL
5,145,NYI
5,146,WPG
5,147,NSH
5,148,SEA
5,149,MIN
5,150,LAK
5,151,WPG
5,152,NYR
5,153,TOR
5,154,NJD
5,155,COL
5,156,CBJ
5,157,DAL
5,158,CAR
5,159,FLA
5,160,ARI
6,161,ANA
6,162,ARI
6,163,CAR
6,164,SJS
6,165,MTL
6,166,ARI
6,167,PHI
6,168,SEA
6,169,DET
6,170,STL
6,171,VAN
6,172,PHI
6,173,BUF
6,174,PIT
6,175,NSH
6,176,CGY
6,177,NYI
6,178,NYR
6,179,TBL
6,180,SEA
6,181,MIN
6,182,LAK
6,183,NYR
6,184,EDM
6,185,TOR
6,186,NJD
6,187,COL
6,188,BOS
6,189,DAL
6,190,CAR
6,191,FLA
6,192,VGK
7,193,TBL
7,194,CBJ
7,195,CHI
7,196,SJS
7,197,MTL
7,198,FLA
7,199,PHI
7,200,WSH
7,201,DET
7,202,STL
7,203,SJS
7,204,OTT
7,205,BUF
7,206,SJS
7,207,OTT
7,208,CGY
7,209,NYI
7,210,WPG
7,211,TBL
7,212,SEA
7,213,MIN
7,214,BOS
7,215,OTT
7,216,EDM
7,217,PIT
7,218,NJD
7,219,COL
7,220,BOS
7,221,DAL
7,222,CAR
7,223,PIT
7,224,VGK
