team,situation,GN,results,opponent,home_away,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,fwf,fwa,fenwick%,cf,ca,corsi%,blocks,blocks_ag,block%,block%_ag,penalties,penalties_ag,g_dif,xg_dif,g_dif,fwf_dif,hdsc_dif,matchup
SJS,4on5,1.0,L,NSH,AWAY,0.0,0.0,0.0,1.399,0.0,0.0,6.0,0.0,0.0,8.0,0.0,0.0,13.0,0.0,0.0,17.0,0.0,0.0,4.0,0.0,0.24,0.0,1.0,0.0,-1.399,0.0,-13.0,-6.0,SJS@WPG
SJS,5on4,1.0,L,NSH,AWAY,0.0,0.0,0.12,0.061,0.66,3.0,0.0,1.0,6.0,0.0,1.0,12.0,2.0,0.86,13.0,2.0,0.87,1.0,0.0,0.08,0.0,1.0,0.0,0.0,0.059,0.0,10.0,3.0,SJS@WPG
SJS,5on5,1.0,L,NSH,AWAY,1.0,4.0,2.21,3.837,0.37,7.0,8.0,0.47,10.0,20.0,0.33,32.0,31.0,0.51,41.0,50.0,0.45,9.0,19.0,0.22,0.38,4.0,4.0,-3.0,-1.6270000000000002,-3.0,1.0,-1.0,SJS@WPG
SJS,all,1.0,L,NSH,AWAY,1.0,4.0,2.393,5.297,0.31,10.0,14.0,0.42,16.0,28.0,0.36,46.0,46.0,0.5,57.0,69.0,0.45,11.0,23.0,0.19,0.33,5.0,5.0,-3.0,-2.904,-3.0,0.0,-4.0,SJS@WPG
SJS,other,1.0,L,NSH,AWAY,0.0,0.0,0.064,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.064,0.0,2.0,0.0,SJS@WPG
SJS,all,2.0,L,NSH,HOME,1.1,3.9000000000000004,2.4978,4.9075999999999995,0.35000000000000003,9.9,12.799999999999999,0.46,16.4,26.7,0.381,45.8,44.699999999999996,0.507,58.00000000000001,67.0,0.463,12.200000000000001,22.3,0.20500000000000002,0.33,4.8,4.9,-2.8000000000000003,-2.4097999999999997,-2.8000000000000003,1.1,-2.9,SJS@WPG
SJS,other,2.0,L,NSH,HOME,0.0,0.0,0.057600000000000005,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.9,2.7,0.0,0.9,0.9,0.0,0.29700000000000004,0.0,0.0,0.0,0.0,0.057600000000000005,0.0,1.8,0.0,SJS@WPG
SJS,5on4,2.0,L,NSH,HOME,0.1,0.0,0.2353,0.0679,0.685,2.8000000000000003,0.0,1.0,5.800000000000001,0.1,0.98,11.8,2.0,0.857,13.400000000000002,2.0,0.872,1.6,0.0,0.11300000000000002,0.0,0.9,0.0,0.1,0.1674,0.1,9.8,2.8000000000000003,SJS@WPG
SJS,4on5,2.0,L,NSH,HOME,0.0,0.0,0.012,1.2625000000000002,0.07800000000000001,0.0,5.4,0.0,0.1,7.5,0.025,0.4,12.3,0.04000000000000001,0.5,16.1,0.038000000000000006,0.1,3.8000000000000003,0.020000000000000004,0.241,0.0,0.9,0.0,-1.2505000000000002,0.0,-11.9,-5.4,SJS@WPG
SJS,5on5,2.0,L,NSH,HOME,1.0,3.9000000000000004,2.1938,3.5772,0.395,7.1,7.4,0.503,10.5,19.1,0.35500000000000004,31.8,30.400000000000002,0.514,41.4,48.9,0.459,9.6,18.5,0.231,0.378,3.9000000000000004,4.0,-2.9000000000000004,-1.3834000000000002,-2.9000000000000004,1.4,-0.29999999999999993,SJS@WPG
