game_id,team,player,number,pos,strength,shots_against,goals_against,xGoal,adsc_ag,hdsc_ag,ldsc_ag,mdsc_ag,adsc_g,hdsc_g,ldsc_g,mdsc_g,player_id
2016020001,OTT,Craig Anderson,41.0,G,5on4,7,,0.05172026,4.0,1.0,2.0,,,,,,8467950.0
2016020001,OTT,Craig Anderson,41.0,G,5on5,31,4.0,1.3324932,11.0,4.0,11.0,4.0,1.0,2.0,,1.0,8467950.0
2016020001,OTT,Craig Anderson,41.0,G,all,38,4.0,1.38421346,15.0,5.0,13.0,4.0,1.0,2.0,,1.0,8467950.0
2016020001,TOR,Frederik Andersen,31.0,G,4on5,1,,0.0867604,,1.0,,,,,,,8475883.0
2016020001,TOR,Frederik Andersen,31.0,G,5on4,4,,0.3219526,2.0,,2.0,,,,,,8475883.0
2016020001,TOR,Frederik Andersen,31.0,G,5on5,22,4.0,1.1190688100000001,8.0,2.0,7.0,4.0,2.0,1.0,,1.0,8475883.0
2016020001,TOR,Frederik Andersen,31.0,G,all,30,5.0,1.62608581,12.0,3.0,10.0,4.0,3.0,1.0,,1.0,8475883.0
2016020001,TOR,Frederik Andersen,31.0,G,other,3,1.0,0.098304,2.0,,1.0,,1.0,,,,8475883.0
2016020002,CHI,Corey Crawford,50.0,G,5on4,9,2.0,1.6489970600000001,6.0,1.0,2.0,,,1.0,1.0,,8470645.0
2016020002,CHI,Corey Crawford,50.0,G,5on5,19,,1.3900736,7.0,6.0,2.0,4.0,,,,,8470645.0
2016020002,CHI,Corey Crawford,50.0,G,all,32,3.0,3.47131421,14.0,8.0,5.0,5.0,,1.0,1.0,1.0,8470645.0
2016020002,CHI,Corey Crawford,50.0,G,other,4,1.0,0.43224355000000003,1.0,1.0,1.0,1.0,,,,1.0,8470645.0
2016020002,STL,Jake Allen,34.0,G,5on4,8,1.0,0.7946256,1.0,1.0,3.0,3.0,,,,1.0,8474596.0
2016020002,STL,Jake Allen,34.0,G,5on5,11,1.0,0.783345,3.0,3.0,1.0,4.0,,1.0,,,8474596.0
2016020002,STL,Jake Allen,34.0,G,all,19,2.0,1.5779706,4.0,4.0,4.0,7.0,,1.0,,1.0,8474596.0
2016020003,CGY,Brian Elliott,1.0,G,4on5,1,,0.0759318,,,,1.0,,,,,8470880.0
2016020003,CGY,Brian Elliott,1.0,G,5on4,3,1.0,0.3127549,,1.0,1.0,1.0,,,,1.0,8470880.0
2016020003,CGY,Brian Elliott,1.0,G,5on5,22,4.0,1.90960402,4.0,11.0,3.0,3.0,,3.0,,1.0,8470880.0
2016020003,CGY,Brian Elliott,1.0,G,all,26,5.0,2.29829072,4.0,12.0,4.0,5.0,,3.0,,2.0,8470880.0
2016020003,EDM,Cam Talbot,33.0,G,4on5,5,2.0,0.7179057,1.0,1.0,,3.0,1.0,1.0,,,8475660.0
2016020003,EDM,Cam Talbot,33.0,G,5on4,9,1.0,0.61275907,3.0,1.0,2.0,3.0,,,,1.0,8475660.0
2016020003,EDM,Cam Talbot,33.0,G,5on5,27,1.0,1.2723478400000001,11.0,4.0,6.0,5.0,,1.0,,,8475660.0
2016020003,EDM,Cam Talbot,33.0,G,all,41,4.0,2.60301261,15.0,6.0,8.0,11.0,1.0,2.0,,1.0,8475660.0
2016020004,LAK,Jonathan Quick,32.0,G,5on4,3,1.0,0.302457,3.0,,,,1.0,,,,8471734.0
2016020004,LAK,Jonathan Quick,32.0,G,5on5,12,,1.2802234,3.0,4.0,,5.0,,,,,8471734.0
2016020004,LAK,Jonathan Quick,32.0,G,all,15,1.0,1.5826804,6.0,4.0,,5.0,1.0,,,,8471734.0
2016020004,LAK,Jeff Zatkoff,37.0,G,5on4,1,,0.0365939,,,1.0,,,,,,8473553.0
2016020004,LAK,Jeff Zatkoff,37.0,G,5on5,15,1.0,0.7933509,7.0,2.0,1.0,5.0,,1.0,,,8473553.0
2016020004,LAK,Jeff Zatkoff,37.0,G,all,16,1.0,0.8299448,7.0,2.0,2.0,5.0,,1.0,,,8473553.0
2016020004,SJS,Martin Jones,31.0,G,5on4,1,1.0,0.346945,1.0,,,,1.0,,,,8474889.0
2016020004,SJS,Martin Jones,31.0,G,5on5,20,,0.80300203,7.0,2.0,5.0,5.0,,,,,8474889.0
2016020004,SJS,Martin Jones,31.0,G,all,22,1.0,1.16580773,8.0,2.0,6.0,5.0,1.0,,,,8474889.0
2016020004,SJS,Martin Jones,31.0,G,other,1,,0.0158607,,,1.0,,,,,,8474889.0
2016020005,MTL,Al Montoya,35.0,G,4on5,1,,0.128888,,1.0,,,,,,,8471219.0
2016020005,MTL,Al Montoya,35.0,G,5on4,5,1.0,0.2465661,2.0,,2.0,1.0,,,,1.0,8471219.0
2016020005,MTL,Al Montoya,35.0,G,5on5,23,,0.9266550800000001,7.0,3.0,9.0,3.0,,,,,8471219.0
2016020005,MTL,Al Montoya,35.0,G,all,29,1.0,1.30210918,9.0,4.0,11.0,4.0,,,,1.0,8471219.0
2016020005,BUF,Robin Lehner,40.0,G,4on5,2,,0.060866500000000004,1.0,,1.0,,,,,,8475215.0
2016020005,BUF,Robin Lehner,40.0,G,5on4,1,,0.00531861,1.0,,,,,,,,8475215.0
2016020005,BUF,Robin Lehner,40.0,G,5on5,21,4.0,1.59986414,7.0,7.0,5.0,2.0,,3.0,1.0,,8475215.0
2016020005,BUF,Robin Lehner,40.0,G,all,24,4.0,1.66604925,9.0,7.0,6.0,2.0,,3.0,1.0,,8475215.0
2016020006,NYR,Henrik Lundqvist,30.0,G,5on4,3,,0.01446317,,,1.0,2.0,,,,,8468685.0
2016020006,NYR,Henrik Lundqvist,30.0,G,5on5,25,3.0,2.22167506,6.0,10.0,4.0,4.0,,2.0,,1.0,8468685.0
2016020006,NYR,Henrik Lundqvist,30.0,G,all,28,3.0,2.23613823,6.0,10.0,5.0,6.0,,2.0,,1.0,8468685.0
2016020006,NYI,Jaroslav Halak,41.0,G,4on5,2,,0.2558711,,1.0,1.0,,,,,,8470860.0
2016020006,NYI,Jaroslav Halak,41.0,G,5on4,12,1.0,1.3710688,5.0,3.0,1.0,3.0,,,,1.0,8470860.0
2016020006,NYI,Jaroslav Halak,41.0,G,5on5,30,6.0,4.1961037999999995,13.0,10.0,2.0,4.0,2.0,4.0,,,8470860.0
2016020006,NYI,Jaroslav Halak,41.0,G,all,44,7.0,5.8230436999999995,18.0,14.0,4.0,7.0,2.0,4.0,,1.0,8470860.0
2016020007,PIT,Marc-Andre Fleury,29.0,G,5on4,2,,0.015410509999999999,,,1.0,1.0,,,,,8470594.0
