player_id,xGoals,player,Rk,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
8478048,60.62,Igor Shesterkin,63,28,NYR,19,19,12,7,0,53,563,510,.906,2.86,0,3.4,1113,12,.632,3,97,1.37,0,0,0,2
8478872,37.21,Karel Vejmelka,77,27,ARI,14,12,4,7,2,39,404,365,.903,3.02,1,2.3,775,5,.417,3,100,0.01,0,1,1,0
8475311,44.1,Darcy Kuemper,37,33,WSH,15,15,7,6,2,43,417,374,.897,2.97,0,2.1,869,7,.467,4,107,-2.73,0,1,1,0
8477968,25.98,Alex Nedeljkovic,48,28,PIT,8,7,4,2,1,20,265,245,.925,2.58,1,2.1,464,5,.714,0,78,5.59,0,0,0,0
8477967,68.76,Thatcher Demko,12,28,VAN,23,23,16,7,0,53,675,622,.921,2.34,3,5.1,1362,15,.652,4,81,12.18,0,0,0,0
8476999,50.29,Linus Ullmark,73,30,BOS,16,15,10,4,2,45,514,469,.912,2.86,0,3.4,945,10,.667,1,91,4.63,0,0,0,0
8478009,70.12,Ilya Sorokin,66,28,NYI,20,20,9,4,7,62,726,664,.915,3.04,2,5.0,1223,12,.600,1,88,8.11,0,0,0,0
8479979,57.1,Jake Oettinger,49,25,DAL,21,21,11,7,2,59,598,539,.901,2.93,1,3.3,1207,10,.476,5,102,-1.25,0,0,0,2
8480280,42.63,Jeremy Swayman,68,25,BOS,15,15,9,1,4,30,451,421,.933,2.06,2,4.0,875,12,.800,0,69,13.55,0,0,0,0
8476945,66.79,Connor Hellebuyck,26,30,WPG,23,23,15,6,2,56,666,610,.916,2.43,1,4.7,1383,15,.652,3,87,8.31,0,0,0,0
8480051,21.85,Cayden Primeau,53,24,MTL,6,6,3,3,0,21,214,193,.902,3.40,0,1.2,371,3,.500,1,102,-0.34,0,1,1,2
8475717,10.36,Calvin Pickard,52,31,EDM,4,3,1,2,0,11,111,100,.901,2.99,0,0.6,221,1,.333,0,,,0,0,0,2
8478492,35.0,Ilya Samsonov,59,26,TOR,13,13,5,1,5,41,337,296,.878,3.51,1,1.1,701,5,.385,4,126,-8.46,0,0,0,0
8478435,31.36,Dan Vladar,78,26,CGY,11,11,5,4,2,36,315,279,.886,3.40,0,1.2,636,4,.364,3,118,-5.58,0,0,0,0
8471734,33.45,Jonathan Quick,55,38,NYR,11,10,9,0,1,22,299,277,.926,2.09,2,2.4,632,5,.500,1,76,6.87,0,0,0,4
8481031,25.9,Ivan Prosvetov,54,24,COL,10,7,4,3,1,22,235,213,.906,2.84,0,1.4,465,4,.571,2,97,0.69,0,0,0,0
8477480,18.23,Eric Comrie,9,28,BUF,7,7,1,5,0,23,168,145,.863,4.01,0,0.3,344,2,.286,4,142,-6.78,0,0,0,0
8480947,25.75,Kevin Lankinen,38,28,NSH,10,7,4,3,0,27,269,242,.900,3.16,0,1.4,513,4,.571,3,104,-1.02,0,0,0,0
8480045,41.77,Ukko-Pekka Luukkonen,41,24,BUF,16,13,6,8,1,45,422,377,.893,3.17,1,2.0,853,8,.615,3,110,-4.25,0,0,0,4
8476341,24.29,Anton Forsberg,18,31,OTT,11,10,5,6,0,33,267,234,.876,3.23,1,0.8,613,5,.500,5,128,-7.22,0,1,1,0
8479361,48.44,Joseph Woll,81,25,TOR,15,13,8,5,1,41,490,449,.916,2.80,0,3.5,880,7,.538,1,87,6.32,0,0,0,0
8477361,6.1,Cal Petersen,51,29,PHI,2,2,1,1,0,7,67,60,.896,3.50,0,0.3,120,1,.500,1,,,0,0,0,0
8479496,2.73,David Rittich,58,31,LAK,1,1,1,0,0,1,16,15,.938,1.00,0,0.1,60,1,1.000,0,,,0,0,0,0
8477293,35.57,Antti Raanta,56,34,CAR,14,12,6,5,1,45,309,264,.854,3.61,1,0.2,749,4,.333,5,151,-15.16,0,0,0,0
8477465,61.45,Tristan Jarry,31,28,PIT,22,22,9,11,2,53,606,553,.913,2.61,3,4.0,1218,13,.591,4,91,5.52,1,0,1,2
8476434,58.26,John Gibson,20,30,ANA,21,20,6,13,0,55,585,530,.906,2.85,0,3.5,1159,11,.550,2,97,1.49,0,0,0,0
8478024,54.07,Ville Husso,29,28,DET,18,17,9,5,2,59,549,490,.893,3.53,0,2.5,1004,6,.353,5,111,-5.99,0,1,1,0
8474889,10.67,Martin Jones,33,34,TOR,4,3,3,1,0,8,114,106,.930,2.55,1,1.0,188,2,.667,0,,,0,0,0,0
8479292,39.24,Charlie Lindgren,40,30,WSH,12,11,6,3,2,29,387,358,.925,2.45,2,3.1,711,7,.636,0,78,8.37,0,0,0,0
8479312,17.98,Alex Lyon,42,31,DET,7,7,4,3,0,13,190,177,.932,2.14,1,1.6,365,5,.714,1,71,5.35,0,1,1,0
8478470,41.74,Sam Montembeault,46,27,MTL,14,13,7,4,2,39,439,400,.911,2.79,0,2.9,837,10,.769,0,92,3.39,0,0,0,0
8475789,16.23,Jack Campbell,7,32,EDM,5,5,1,4,0,20,157,137,.873,4.50,0,0.4,267,1,.200,2,132,-4.84,0,0,0,0
