team,player,line,pos,num,handedness,ht,wt,player_id,full
ANA,Isac Lundestrom,injured reserve,F,21,L,"6'0""",191,8480806.0,Anaheim Ducks
ANA,Sam Carrick,scratch,F,39.0,R,"6'0""",200.0,8475842.0,Anaheim Ducks
ANA,Andrew Agozzino,scratch,F,,L,"5'10""",187.0,8475461.0,Anaheim Ducks
ANA,Colton White,scratch,D,45.0,L,"6'1""",190.0,8478841.0,Anaheim Ducks
ARI,Jakub Voracek,injured reserve,F,,L,"6'2""",214.0,8474161.0,Arizona Coyotes
ARI,Bryan Little,injured reserve,F,,R,"6'0""",191.0,8473412.0,Arizona Coyotes
ARI,Shea Weber,injured reserve,D,,R,"6'4""",230.0,8470642.0,Arizona Coyotes
ARI,Travis Boyd,scratch,F,72.0,R,"6'0""",190.0,8476329.0,Arizona Coyotes
ARI,Liam O'Brien,scratch,F,38.0,L,"6'1""",215.0,8477070.0,Arizona Coyotes
ARI,Travis Dermott,scratch,D,33.0,L,"6'0""",205.0,8478408.0,Arizona Coyotes
BOS,Jesper Boqvist,scratch,F,70.0,L,"6'0""",180.0,8480003.0,Boston Bruins
BOS,Jayson Megna,scratch,F,20.0,R,"6'1""",195.0,8477126.0,Boston Bruins
BOS,Jakub Zboril,scratch,D,67.0,L,"6'0""",200.0,8478415.0,Boston Bruins
BUF,Jack Quinn,injured reserve,F,22,R,"6'0""",176,8482097.0,Buffalo Sabres
BUF,Lukas Rousek,scratch,F,13.0,L,"5'11""",175.0,8481751.0,Buffalo Sabres
BUF,Riley Stillman,scratch,D,61.0,L,"6'1""",196.0,8479388.0,Buffalo Sabres
BUF,Jacob Bryson,scratch,D,78.0,L,"5'9""",185.0,8480196.0,Buffalo Sabres
CAR,Brendan Lemieux,scratch,F,28.0,L,"6'1""",213.0,8477962.0,Carolina Hurricanes
CAR,Jalen Chatfield,scratch,D,5.0,R,"6'1""",188.0,8478970.0,Carolina Hurricanes
CAR,Caleb Jones,scratch,D,6.0,L,"6'1""",194.0,8478452.0,Carolina Hurricanes
CBJ,Emil Bemstrom,scratch,F,52.0,R,"6'0""",190.0,8480205.0,Columbus Blue Jackets
CBJ,Mathieu Olivier,scratch,F,24.0,R,"6'2""",210.0,8479671.0,Columbus Blue Jackets
CBJ,Andrew Peeke,scratch,D,2.0,R,"6'3""",194.0,8479369.0,Columbus Blue Jackets
CGY,Dryden Hunt,scratch,F,,L,"6'0""",193.0,8478211.0,Calgary Flames
CGY,Kevin Rooney,scratch,F,21.0,L,"6'2""",201.0,8479291.0,Calgary Flames
CGY,Oliver Kylington,scratch,D,58.0,L,"6'0""",183.0,8478430.0,Calgary Flames
CHI,Boris Katchouk,scratch,F,14.0,L,"6'1""",179.0,8479383.0,Chicago Blackhawks
CHI,Colin Blackwell,scratch,F,43.0,R,"5'9""",190.0,8476278.0,Chicago Blackhawks
CHI,Filip Roos,scratch,D,48.0,L,"6'4""",190.0,8483619.0,Chicago Blackhawks
COL,Gabriel Landeskog,injured reserve,F,92,L,"6'1""",215,8476455.0,Colorado Avalanche
COL,Fredrik Olofsson,scratch,F,,L,"6'2""",196.0,8478028.0,Colorado Avalanche
COL,Brad Hunt,scratch,D,17.0,L,"5'9""",176.0,8476779.0,Colorado Avalanche
COL,Kurtis MacDermid,scratch,D,56.0,L,"6'5""",233.0,8477073.0,Colorado Avalanche
DAL,Sam Steel,scratch,F,18.0,L,"5'11""",189.0,8479351.0,Dallas Stars
DAL,Fredrik Karlstrom,scratch,F,51.0,L,"6'3""",190.0,8479518.0,Dallas Stars
DAL,Joel Hanley,scratch,D,44.0,L,"5'11""",190.0,8477810.0,Dallas Stars
DET,Simon Edvinsson,injured reserve,D,77.0,L,"6'4""",198.0,8482762.0,Detroit Red Wings
DET,Jonatan Berggren,scratch,F,48.0,L,"5'10""",183.0,8481013.0,Detroit Red Wings
DET,Elmer Soderblom,scratch,F,85.0,L,"6'8""",246.0,8481725.0,Detroit Red Wings
DET,Olli Maatta,scratch,D,2.0,L,"6'2""",206.0,8476874.0,Detroit Red Wings
EDM,Lane Pederson,scratch,F,19.0,R,"6'0""",190.0,8478967.0,Edmonton Oilers
EDM,Philip Broberg,scratch,D,86.0,L,"6'3""",200.0,8481598.0,Edmonton Oilers
EDM,Markus Niemelainen,scratch,D,80.0,L,"6'6""",190.0,8479338.0,Edmonton Oilers
FLA,Aaron Ekblad,injured reserve,D,5.0,R,"6'4""",215.0,8477932.0,Florida Panthers
FLA,Brandon Montour,injured reserve,D,62.0,R,"6'0""",189.0,8477986.0,Florida Panthers
FLA,Kevin Stenlund,scratch,F,82.0,R,"6'4""",210.0,8478831.0,Florida Panthers
FLA,Rasmus Asplund,scratch,F,,L,"5'11""",190.0,8479335.0,Florida Panthers
FLA,Mike Reilly,scratch,D,6.0,L,"6'1""",200.0,8476422.0,Florida Panthers
LAK,Jaret Anderson-Dolan,scratch,F,28.0,L,"5'11""",188.0,8479994.0,Los Angeles Kings
LAK,Samuel Fagemo,scratch,F,68.0,R,"6'0""",190.0,8481239.0,Los Angeles Kings
LAK,Andreas Englund,scratch,D,5.0,L,"6'3""",189.0,8477971.0,Los Angeles Kings
MIN,Jujhar Khaira,scratch,F,,L,"6'4""",212.0,8476915.0,Minnesota Wild
MIN,Nic Petan,scratch,F,19.0,L,"5'9""",175.0,8477464.0,Minnesota Wild
MIN,Alex Goligoski,scratch,D,33.0,L,"5'11""",185.0,8471274.0,Minnesota Wild
