team,player
ANA,Max Jones
ANA,Alex Killorn
ANA,Pavel Mintyukov
ANA,Trevor Zegras
ARI,Travis Dermott
ARI,Troy Stecher
ARI,Travis Boyd
ARI,Shea Weber
ARI,Jakub Voracek
BOS,Matthew Poitras
BOS,Milan Lucic
BUF,Mattias Samuelsson
BUF,Jack Quinn
CGY,A.J. Greer
CGY,Dillon Dube
CAR,Andrei Svechnikov
CAR,Frederik Andersen
CHI,Connor Murphy
CHI,Anthony Beauvillier
CHI,Andreas Athanasiou
CHI,Nikita Zaitsev
CHI,Connor Bedard
CHI,Taylor Hall
COL,Valeri Nichushkin
COL,Pavel Francouz
COL,Gabriel Landeskog
CBJ,Adam Fantilli
CBJ,Patrik Laine
CBJ,Adam Boqvist
DET,Ben Chiarot
DET,Ville Husso
DET,Patrick Kane
DET,Matt Luff
FLA,Will Lockwood
LAK,Blake Lizotte
LAK,Viktor Arvidsson
LAK,Pheonix Copley
MIN,Jonas Brodin
MIN,Pat Maroon
MIN,Connor Dewar
MIN,Jared Spurgeon
MTL,Chris Wideman
MTL,Alex Newhook
MTL,Christian Dvorak
MTL,Kirby Dach
MTL,Carey Price
NSH,Alexandre Carrier
NJD,Jonas Siegenthaler
NJD,Brendan Smith
NJD,Michael McLeod
NJD,Cal Foote
NJD,Dougie Hamilton
NYI,Robert Bortuzzo
NYI,Hudson Fasching
NYR,Filip Chytil
OTT,Travis Hamonic
OTT,Jake Sanderson
OTT,Anton Forsberg
PHI,Carter Hart
PHI,Ryan Ellis
PIT,Noel Acciari
PIT,Matt Nieto
SJS,Alexander Barabanov
SJS,Ty Emberson
SJS,Tomas Hertl
SJS,Givani Smith
SJS,Mario Ferraro
SJS,Henry Thrun
SJS,Mikael Granlund
SJS,Matt Benning
SEA,Pierre-Edouard Bellemare
STL,Scott Perunovich
STL,Justin Faulk
STL,Josh Jacobs
STL,MacKenzie MacEachern
STL,Kasperi Kapanen
TBL,Logan Brown
TBL,Mikhail Sergachev
TBL,Tanner Jeannot
TOR,Joseph Woll
TOR,David Kampf
TOR,Calle Jarnkrok
TOR,John Klingberg
TOR,Matt Murray
TOR,Jake Muzzin
VAN,Phillip Di Giuseppe
VAN,Guillaume Brisebois
VAN,Carson Soucy
VAN,Tucker Poolman
VGK,Pavel Dorofeyev
VGK,Ben Hutton
VGK,William Carrier
VGK,Tobias Bjornfot
VGK,Robin Lehner
VGK,Jack Eichel
VGK,Shea Theodore
WSH,Sonny Milano
WSH,Evgeny Kuznetsov
WSH,Nicklas Backstrom
WPG,David Gustafsson
