lineId,name,team,position,situation,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,goalsFor,goalsAgainst,player_id
847793384801858482113,Luostarinen-Lundell-Reinhart,FLA,line,5on5,24,7819.0,0.6,0.58,0.58,4.0,4.0,8477933
84758258476902,Lindell-Hakanp,DAL,pairing,5on5,61,36226.0,0.53,0.47,0.49,31.0,32.0,8475825
847579884793168480821,Kunin-Granlund-Zadina,SJS,line,5on5,7,1073.0,0.25,0.32,0.31,0.0,2.0,8475798
84751818476792,Krug-Leddy,STL,pairing,5on5,42,2424.0,0.36,0.4,0.46,1.0,2.0,8475181
847793984784838479318,Marner-Matthews-Nylander,TOR,line,5on5,31,2425.0,0.34,0.55,0.51,4.0,6.0,8477939
847595884816568482148,Protas-Lapierre-Sgarbossa,WSH,line,5on5,4,821.0,0.47,0.45,0.52,1.0,0.0,8475958
84817088482073,Jones-Schneider,NYR,pairing,5on5,26,12344.0,0.46,0.48,0.49,9.0,15.0,8481708
84815468482142,York-Drysdale,PHI,pairing,5on5,22,5410.0,0.36,0.49,0.51,2.0,4.0,8481546
847821184784218479291,Greer-Rooney-Hunt,CGY,line,5on5,5,1808.0,0.61,0.6,0.6,2.0,0.0,8478211
84745638479998,Anderson-Doughty,LAK,pairing,5on5,74,69375.0,0.55,0.55,0.55,44.0,33.0,8474563
847647984796758481560,Moore-Danault-Kaliyev,LAK,line,5on5,17,7319.0,0.5,0.57,0.58,7.0,4.0,8476479
847749684788568483395,Bains-Lindholm-Garland,VAN,line,5on5,3,1398.0,0.39,0.49,0.5,0.0,1.0,8477496
847741684775058477955,Mccann-Wennberg-Bjorkstrand,SEA,line,5on5,13,830.0,0.55,0.66,0.58,1.0,3.0,8477416
84717098480834,Vlasic-Emberson,SJS,pairing,5on5,13,3995.0,0.42,0.44,0.43,4.0,2.0,8471709
847403484751498477451,Maroon-Hartman-Johansson,MIN,line,5on5,10,2159.0,0.36,0.43,0.42,2.0,3.0,8474034
847458684757688483524,Schwartz-Wright-Eberle,SEA,line,5on5,5,3334.0,0.64,0.6,0.58,4.0,2.0,8474586
84757908478460,Werenski-Gudbranson,CBJ,pairing,5on5,54,14030.0,0.5,0.47,0.49,16.0,9.0,8475790
847515184757548478115,Engvall-Nelson-Palmieri,NYI,line,5on5,55,33812.0,0.55,0.5,0.51,23.0,18.0,8475151
847744484799778481789,Kartye-Yamamoto-Burakovsky,SEA,line,5on5,4,963.0,0.48,0.5,0.47,1.0,0.0,8477444
848084984826998483431,Cooley-Hayton-Guenther,ARI,line,5on5,4,1671.0,0.55,0.55,0.51,0.0,1.0,8480849
847344984768788480762,Robinson-Girgensons-Okposo,BUF,line,5on5,9,3437.0,0.59,0.59,0.59,2.0,1.0,8473449
847682284773538479718,Motte-Glendening-Barr-Boulet,TBL,line,5on5,4,780.0,0.15,0.57,0.29,0.0,0.0,8476822
847456484764538477426,Stamkos-Paul-Kucherov,TBL,line,5on5,20,1837.0,0.63,0.6,0.61,2.0,1.0,8474564
847398684764588478873,Killorn-Strome-Terry,ANA,line,5on5,8,1541.0,0.44,0.56,0.56,1.0,1.0,8473986
