team,player,pos,age,years_remaining,terms,acquired,status,cap%,free_agency_type,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,player_id,full,yrs_2324,yrs_2425,yrs_2526,yrs_2627,yrs_2728,yrs_2829
ANA,Tristan Luneau,RD,19.0,3,ELC,Draft,NHL,0.011000000000000001,RFA,896667,896667,896667,0,0,0,,Anaheim Ducks,3,2,1,0,-1,-2
ANA,Pavel Mintyukov,LD,19.0,3,ELC,Draft,NHL,0.011000000000000001,RFA,918333,918333,918333,0,0,0,,Anaheim Ducks,3,2,1,0,-1,-2
ANA,Jackson LaCombe,LD/RD,22.0,1,ELC,Draft,NHL,0.011000000000000001,RFA,925000,0,0,0,0,0,8481605.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,Jamie Drysdale,RD,21.0,3,,Draft,NHL,0.027999999999999997,RFA,2300000,2300000,2300000,0,0,0,8482142.0,Anaheim Ducks,3,2,1,0,-1,-2
ANA,Ilya Lyubushkin,RD,29.0,1,,Trade,NHL,0.033,UFA,2750000,0,0,0,0,0,8480950.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,Radko Gudas,RD,33.0,3,NTC,Signed,NHL,0.048,UFA,4000000,4000000,4000000,0,0,0,8475462.0,Anaheim Ducks,3,2,1,0,-1,-2
ANA,Cam Fowler,LD/RD,31.0,3,M-NTC,Draft,NHL,0.078,UFA,6500000,6500000,6500000,0,0,0,8475764.0,Anaheim Ducks,3,2,1,0,-1,-2
ANA,Benoit-Olivier Groulx,C,23.0,1,,Draft,NHL,0.009000000000000001,RFA,775000,0,0,0,0,0,8480870.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,Brett Leason,RW,24.0,1,,Waivers claim,NHL,0.009000000000000001,RFA,775000,0,0,0,0,0,8481517.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,Sam Carrick,"RW, C",31.0,1,,Trade,NHL,0.01,UFA,850000,0,0,0,0,0,8475842.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,Mason McTavish,"C, LW",20.0,2,ELC,Draft,NHL,0.011000000000000001,RFA,894167,894167,0,0,0,0,8482745.0,Anaheim Ducks,2,1,0,-1,-2,-3
ANA,Ross Johnston,LW,29.0,3,,Waivers claim,NHL,0.013000000000000001,UFA,1100000,1100000,1100000,0,0,0,8477527.0,Anaheim Ducks,3,2,1,0,-1,-2
ANA,Max Jones,"LW, RW",25.0,1,,Draft,NHL,0.016,RFA,1295000,0,0,0,0,0,8479368.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,Brock McGinn,"LW, RW",29.0,2,,Trade,NHL,0.033,UFA,2750000,2750000,0,0,0,0,8476934.0,Anaheim Ducks,2,1,0,-1,-2,-3
ANA,Frank Vatrano,"LW, RW",29.0,2,,Signed,NHL,0.044000000000000004,UFA,3650000,3650000,0,0,0,0,8478366.0,Anaheim Ducks,2,1,0,-1,-2,-3
ANA,Ryan Strome,"C, RW",30.0,4,,Signed,NHL,0.06,UFA,5000000,5000000,5000000,5000000,0,0,8476458.0,Anaheim Ducks,4,3,2,1,0,-1
ANA,Jakob Silfverberg,"RW, LW",32.0,1,M-NTC,Trade,NHL,0.063,UFA,5250000,0,0,0,0,0,8475164.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,Trevor Zegras,"C, LW",22.0,3,,Draft,NHL,0.069,RFA,5750000,5750000,5750000,0,0,0,8481533.0,Anaheim Ducks,3,2,1,0,-1,-2
ANA,Adam Henrique,"LW, C",33.0,1,M-NTC,Trade,NHL,0.07,UFA,5825000,0,0,0,0,0,8474641.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,Urho Vaakanainen,LD/RD,24.0,1,,Trade,NHL,0.01,RFA,850000,0,0,0,0,0,8480001.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ANA,John Gibson,G,30.0,4,M-NTC,Draft,NHL,0.077,UFA,6400000,6400000,6400000,6400000,0,0,8476434.0,Anaheim Ducks,4,3,2,1,0,-1
ANA,Lukas Dostal,G,23.0,2,,Draft,NHL,0.01,RFA,812500,812500,0,0,0,0,8480843.0,Anaheim Ducks,2,1,0,-1,-2,-3
ANA,Alex Killorn,"RW, LW",34.0,4,NTC,Signed,IR,0.075,UFA,6250000,6250000,6250000,6250000,0,0,8473986.0,Anaheim Ducks,4,3,2,1,0,-1
ANA,Troy Terry,RW,26.0,7,,Draft,NHL,0.084,UFA,7000000,7000000,7000000,7000000,7000000,7000000,8478873.0,Anaheim Ducks,7,6,5,4,3,2
ANA,Isac Lundestrom,"C, LW",23.0,1,,Draft,IR,0.022000000000000002,RFA,1800000,0,0,0,0,0,8480806.0,Anaheim Ducks,1,0,-1,-2,-3,-4
ARI,Connor Ingram,G,26.0,3,,Waivers claim,NHL,0.023,UFA,1950000,1950000,1950000,0,0,0,8478971.0,Arizona Coyotes,3,2,1,0,-1,-2
ARI,Karel Vejmelka,G,27.0,2,,Signed,NHL,0.033,UFA,2725000,2725000,0,0,0,0,8478872.0,Arizona Coyotes,2,1,0,-1,-2,-3
ARI,Travis Dermott,LD/RD,26.0,1,,Signed,NHL,0.01,UFA,800000,0,0,0,0,0,8478408.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,J.J. Moser,LD/RD,23.0,1,ELC,Draft,NHL,0.011000000000000001,RFA,886667,0,0,0,0,0,8482655.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Juuso Valimaki,LD,25.0,1,,Waivers claim,NHL,0.012,RFA,1000000,0,0,0,0,0,8479976.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Troy Stecher,RD,29.0,1,,Signed,NHL,0.013000000000000001,UFA,1100000,0,0,0,0,0,8479442.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Joshua Brown,RD,29.0,1,,Signed,NHL,0.015,UFA,1275000,0,0,0,0,0,8477384.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Sean Durzi,LD/RD,24.0,1,,Trade,NHL,0.02,RFA,1700000,0,0,0,0,0,8480434.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Matt Dumba,RD,29.0,1,,Signed,NHL,0.047,UFA,3900000,0,0,0,0,0,8476856.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Michael Carcone,"LW, C",27.0,2,,Signed,NHL,0.009000000000000001,UFA,775000,775000,0,0,0,0,8479619.0,Arizona Coyotes,2,1,0,-1,-2,-3
ARI,Liam O'Brien,LW,29.0,1,,Signed,NHL,0.009000000000000001,UFA,775000,0,0,0,0,0,8477070.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Logan Cooley,C,19.0,3,ELC,Draft,NHL,0.011000000000000001,RFA,950000,950000,950000,0,0,0,,Arizona Coyotes,3,2,1,0,-1,-2
ARI,Jack McBain,"C, LW",23.0,2,,Signed,NHL,0.019,RFA,1599999,1599999,0,0,0,0,8480855.0,Arizona Coyotes,2,1,0,-1,-2,-3
ARI,Travis Boyd,"C, RW",30.0,1,,Signed,NHL,0.021,UFA,1750000,0,0,0,0,0,8476329.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Barrett Hayton,"C, LW",23.0,1,,Draft,NHL,0.021,RFA,1775000,0,0,0,0,0,8480849.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Nick Schmaltz,"RW, C",27.0,3,M-NTC,Trade,NHL,0.07,UFA,5850000,5850000,5850000,0,0,0,8477951.0,Arizona Coyotes,3,2,1,0,-1,-2
ARI,Nick Bjugstad,"C, RW",31.0,2,,Signed,NHL,0.025,UFA,2100000,2100000,0,0,0,0,8475760.0,Arizona Coyotes,2,1,0,-1,-2,-3
ARI,Matias Maccelli,LW,22.0,3,,Draft,NHL,0.040999999999999995,RFA,3425000,3425000,3425000,0,0,0,8481711.0,Arizona Coyotes,3,2,1,0,-1,-2
ARI,Alexander Kerfoot,"LW, RW",29.0,2,M-NTC,Signed,NHL,0.042,UFA,3500000,3500000,0,0,0,0,8477021.0,Arizona Coyotes,2,1,0,-1,-2,-3
ARI,Lawson Crouse,"LW, RW",26.0,4,,Trade,NHL,0.051,UFA,4300000,4300000,4300000,4300000,0,0,8478474.0,Arizona Coyotes,4,3,2,1,0,-1
ARI,Jason Zucker,"LW, RW",31.0,1,,Signed,NHL,0.063,UFA,5300000,0,0,0,0,0,8475722.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Jakub Voracek,"RW, LW",34.0,1,,Trade,IR,0.099,UFA,8250000,0,0,0,0,0,8474161.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Shea Weber,RD,38.0,3,,Trade,IR,0.094,UFA,7857143,7857143,7857143,0,0,0,8470642.0,Arizona Coyotes,3,2,1,0,-1,-2
ARI,Bryan Little,"C, RW",35.0,1,M-NTC,Trade,IR,0.063,UFA,5291667,0,0,0,0,0,8473412.0,Arizona Coyotes,1,0,-1,-2,-3,-4
ARI,Clayton Keller,"LW, RW",25.0,5,,Draft,NHL,0.086,UFA,7150000,7150000,7150000,7150000,7150000,0,8479343.0,Arizona Coyotes,5,4,3,2,1,0
BOS,Kevin Shattenkirk,RD,34.0,1,,Signed,NHL,0.013000000000000001,UFA,1050000,0,0,0,0,0,8474031.0,Boston Bruins,1,0,-1,-2,-3,-4
BOS,Derek Forbort,LD,31.0,1,M-NTC,Signed,NHL,0.036000000000000004,UFA,3000000,0,0,0,0,0,8475762.0,Boston Bruins,1,0,-1,-2,-3,-4
BOS,Matt Grzelcyk,LD,29.0,1,,Draft,NHL,0.044000000000000004,UFA,3687500,0,0,0,0,0,8476891.0,Boston Bruins,1,0,-1,-2,-3,-4
BOS,Brandon Carlo,RD,26.0,4,M-NTC,Draft,NHL,0.049,UFA,4100000,4100000,4100000,4100000,0,0,8478443.0,Boston Bruins,4,3,2,1,0,-1
BOS,Hampus Lindholm,LD,29.0,7,"NTC, NMC",Trade,NHL,0.078,UFA,6500000,6500000,6500000,6500000,6500000,6500000,8476854.0,Boston Bruins,7,6,5,4,3,2
BOS,Charlie McAvoy,RD,25.0,7,,Draft,NHL,0.114,UFA,9500000,9500000,9500000,9500000,9500000,9500000,8479325.0,Boston Bruins,7,6,5,4,3,2
BOS,Jakub Lauko,"LW, RW",23.0,2,,Draft,NHL,0.009000000000000001,RFA,787500,787500,0,0,0,0,8480880.0,Boston Bruins,2,1,0,-1,-2,-3
