team,ml,pl,ou,home_away,matchup,ml_numeric,pl_odds,pl_odds_numeric,pl_numeric,temp_id,over_odds,under_odds,game_id,date
CBJ,-100,-250,6.5,away,CBJ@PHI,-100,-250,-250,-250,1,-200,-200,2022020510,12/20/2022
PHI,-100,-250,6.5,home,CBJ@PHI,-100,-250,-250,-250,2,-200,-200,2022020510,12/20/2022
NYR,-100,-250,6.5,away,NYR@PIT,-100,-250,-250,-250,3,-200,-200,2022020511,12/20/2022
PIT,-100,-250,6.5,home,NYR@PIT,-100,-250,-250,-250,4,-200,-200,2022020511,12/20/2022
NJD,-100,-250,6.5,away,NJD@CAR,-100,-250,-250,-250,5,-200,-200,2022020512,12/20/2022
CAR,-100,-250,6.5,home,NJD@CAR,-100,-250,-250,-250,6,-200,-200,2022020512,12/20/2022
TBL,-100,-250,6.5,away,TBL@TOR,-100,-250,-250,-250,7,-200,-200,2022020513,12/20/2022
TOR,-100,-250,6.5,home,TBL@TOR,-100,-250,-250,-250,8,-200,-200,2022020513,12/20/2022
OTT,-100,-250,6.5,away,OTT@WPG,-100,-250,-250,-250,9,-200,-200,2022020514,12/20/2022
WPG,-100,-250,6.5,home,OTT@WPG,-100,-250,-250,-250,10,-200,-200,2022020514,12/20/2022
STL,-100,-250,6.5,away,STL@SEA,-100,-250,-250,-250,11,-200,-200,2022020515,12/20/2022
SEA,-100,-250,6.5,home,STL@SEA,-100,-250,-250,-250,12,-200,-200,2022020515,12/20/2022
ANA,-100,-250,6.5,away,ANA@LAK,-100,-250,-250,-250,13,-200,-200,2022020516,12/20/2022
LAK,-100,-250,6.5,home,ANA@LAK,-100,-250,-250,-250,14,-200,-200,2022020516,12/20/2022
CGY,-100,-250,6.5,away,CGY@SJS,-100,-250,-250,-250,15,-200,-200,2022020517,12/20/2022
SJS,-100,-250,6.5,home,CGY@SJS,-100,-250,-250,-250,16,-200,-200,2022020517,12/20/2022
