,player_id,player,position,shoots_catches,height,weight,birth_date,birth_country,draft_year,draft_team,round,pick,overall,primary_number,headshot,mp_name,cw_name,dupe_names,cbs_player
0,8446485,Kris Draper,C,L,"5'10""",188,1971-05-24,CAN,1989,WIN,3,20,62,33,https://assets.nhle.com/mugs/nhl/latest/8446485.png,Kris Draper,,,Kris Draper
1,8448208,Jaromir Jagr,R,L,"6'3""",230,1972-02-15,CZE,1990,PIT,1,5,5,68,https://assets.nhle.com/mugs/nhl/latest/8448208.png,Jaromir Jagr,Jaromir Jagr,,Jaromir Jagr
2,8449645,Mike Modano,C,L,"6'3""",212,1970-06-07,USA,1988,MNS,1,1,1,9,https://assets.nhle.com/mugs/nhl/latest/8449645.png,Mike Modano,,,Mike Modano
3,8450725,Mark Recchi,R,L,"5'10""",195,1968-02-01,CAN,1988,PIT,4,4,67,28,https://assets.nhle.com/mugs/nhl/latest/8450725.png,Mark Recchi,,,Mark Recchi
4,8455710,Martin Brodeur,G,L,"6'2""",220,1972-05-06,CAN,1990,NJD,1,20,20,30,https://assets.nhle.com/mugs/nhl/latest/8455710.png,Martin Brodeur,,,Martin Brodeur
5,8455919,Craig Conroy,C,R,"6'2""",193,1971-09-04,USA,1990,MTL,6,18,123,24,https://assets.nhle.com/mugs/nhl/latest/8455919.png,Craig Conroy,,,Craig Conroy
6,8456283,Adam Foote,D,R,"6'2""",220,1971-07-10,CAN,1989,QUE,2,1,22,52,https://assets.nhle.com/mugs/nhl/latest/8456283.png,Adam Foote,,,Adam Foote
7,8457063,Nicklas Lidstrom,D,L,"6'1""",192,1970-04-28,SWE,1989,DET,3,11,53,5,https://assets.nhle.com/mugs/nhl/latest/8457063.png,Nicklas Lidstrom,,,Nicklas Lidstrom
8,8457981,Teemu Selanne,R,R,"6'0""",209,1970-07-03,FIN,1988,WIN,1,10,10,8,https://assets.nhle.com/mugs/nhl/latest/8457981.png,Teemu Selanne,,,Teemu Selanne
9,8458361,Doug Weight,C,L,"5'11""",202,1971-01-21,USA,1990,NYR,2,13,34,93,https://assets.nhle.com/mugs/nhl/latest/8458361.png,Doug Weight,,,Doug Weight
10,8458520,Peter Forsberg,C,L,"6'0""",205,1973-07-20,SWE,1991,PHI,1,6,6,21,https://assets.nhle.com/mugs/nhl/latest/8458520.png,Peter Forsberg,,,Peter Forsberg
11,8458525,Brian Rolston,R,L,"6'2""",215,1973-02-21,USA,1991,NJD,1,11,11,12,https://assets.nhle.com/mugs/nhl/latest/8458525.png,Brian Rolston,,,Brian Rolston
12,8458529,Alex Kovalev,R,L,"6'2""",222,1973-02-24,RUS,1991,NYR,1,15,15,27,https://assets.nhle.com/mugs/nhl/latest/8458529.png,Alex Kovalev,,,Alex Kovalev
13,8458537,Ray Whitney,L,R,"5'10""",180,1972-05-08,CAN,1991,SJS,2,1,23,13,https://assets.nhle.com/mugs/nhl/latest/8458537.png,Ray Whitney,,,Ray Whitney
14,8458541,Steve Staios,D,R,"6'1""",200,1973-07-28,CAN,1991,STL,2,5,27,24,https://assets.nhle.com/mugs/nhl/latest/8458541.png,Steve Staios,,,Steve Staios
15,8458543,Jassen Cullimore,D,L,"6'5""",235,1972-12-04,CAN,1991,VAN,2,7,29,5,https://assets.nhle.com/mugs/nhl/latest/8458543.png,Jassen Cullimore,,,Jassen Cullimore
16,8458568,Chris Osgood,G,L,"5'10""",180,1972-11-26,CAN,1991,DET,3,10,54,30,https://assets.nhle.com/mugs/nhl/latest/8458568.png,Chris Osgood,,,Chris Osgood
17,8458590,Mike Knuble,R,R,"6'3""",229,1972-07-04,CAN,1991,DET,4,10,76,9,https://assets.nhle.com/mugs/nhl/latest/8458590.png,Mike Knuble,,,Mike Knuble
18,8458637,Sean O'Donnell,D,L,"6'2""",238,1971-10-13,CAN,1991,BUF,6,13,123,6,https://assets.nhle.com/mugs/nhl/latest/8458637.png,Sean O'Donnell,,,Sean O'Donnell
19,8458938,Roman Hamrlik,D,L,"6'2""",206,1974-04-12,CZE,1992,TBL,1,1,1,40,https://assets.nhle.com/mugs/nhl/latest/8458938.png,Roman Hamrlik,,,Roman Hamrlik
20,8458943,Cory Stillman,L,L,"6'0""",193,1973-12-20,CAN,1992,CGY,1,6,6,61,https://assets.nhle.com/mugs/nhl/latest/8458943.png,Cory Stillman,,,Cory Stillman
21,8458951,Sergei Gonchar,D,L,"6'2""",210,1974-04-13,RUS,1992,WSH,1,14,14,55,https://assets.nhle.com/mugs/nhl/latest/8458951.png,Sergei Gonchar,,,Sergei Gonchar
22,8459004,Craig Rivet,D,R,"6'2""",207,1974-09-13,CAN,1992,MTL,3,20,68,52,https://assets.nhle.com/mugs/nhl/latest/8459004.png,Craig Rivet,,,Craig Rivet
23,8459053,Adrian Aucoin,D,R,"6'2""",215,1973-07-03,CAN,1992,VAN,5,21,117,33,https://assets.nhle.com/mugs/nhl/latest/8459053.png,Adrian Aucoin,,,Adrian Aucoin
24,8459140,Nikolai Khabibulin,G,L,"6'1""",208,1973-01-13,RUS,1992,WIN,9,12,204,39,https://assets.nhle.com/mugs/nhl/latest/8459140.png,Nikolai Khabibulin,,,Nikolai Khabibulin
25,8459424,Chris Pronger,D,L,"6'6""",220,1974-10-10,CAN,1993,HFD,1,2,2,0,https://assets.nhle.com/mugs/nhl/latest/8459424.png,Chris Pronger,Chris Pronger,,Chris Pronger
26,8459427,Rob Niedermayer,C,L,"6'2""",203,1974-12-28,CAN,1993,FLA,1,5,5,20,https://assets.nhle.com/mugs/nhl/latest/8459427.png,Rob Niedermayer,,,Rob Niedermayer
27,8459429,Jason Arnott,C,R,"6'5""",220,1974-10-11,CAN,1993,EDM,1,7,7,44,https://assets.nhle.com/mugs/nhl/latest/8459429.png,Jason Arnott,,,Jason Arnott
28,8459442,Saku Koivu,C,L,"5'10""",181,1974-11-23,FIN,1993,MTL,1,21,21,11,https://assets.nhle.com/mugs/nhl/latest/8459442.png,Saku Koivu,,,Saku Koivu
29,8459444,Todd Bertuzzi,R,L,"6'3""",229,1975-02-02,CAN,1993,NYI,1,23,23,44,https://assets.nhle.com/mugs/nhl/latest/8459444.png,Todd Bertuzzi,,,Todd Bertuzzi
30,8459454,Jay Pandolfo,L,L,"6'1""",190,1974-12-27,USA,1993,NJD,2,6,32,29,https://assets.nhle.com/mugs/nhl/latest/8459454.png,Jay Pandolfo,,,Jay Pandolfo
31,8459457,Jamie Langenbrunner,R,R,"6'1""",205,1975-07-24,USA,1993,DAL,2,9,35,15,https://assets.nhle.com/mugs/nhl/latest/8459457.png,Jamie Langenbrunner,,,Jamie Langenbrunner
32,8459461,Brendan Morrison,C,L,"5'11""",176,1975-08-15,CAN,1993,NJD,2,13,39,17,https://assets.nhle.com/mugs/nhl/latest/8459461.png,Brendan Morrison,,,Brendan Morrison
33,8459462,Bryan McCabe,D,L,"6'2""",223,1975-06-08,CAN,1993,NYI,2,14,40,28,https://assets.nhle.com/mugs/nhl/latest/8459462.png,Bryan McCabe,,,Bryan McCabe
34,8459492,Vinny Prospal,L,L,"6'2""",191,1975-02-17,CZE,1993,PHI,3,19,71,22,https://assets.nhle.com/mugs/nhl/latest/8459492.png,Vinny Prospal,,,Vinny Prospal
35,8459514,Jamal Mayers,R,R,"6'1""",222,1974-10-24,CAN,1993,STL,4,11,89,22,https://assets.nhle.com/mugs/nhl/latest/8459514.png,Jamal Mayers,,,Jamal Mayers
36,8459579,Patrick Lalime,G,L,"6'3""",192,1974-07-07,CAN,1993,PIT,6,26,156,40,https://assets.nhle.com/mugs/nhl/latest/8459579.png,Patrick Lalime,,,Patrick Lalime
37,8459587,Todd Marchant,C,L,"5'10""",180,1973-08-12,USA,1993,NYR,7,8,164,22,https://assets.nhle.com/mugs/nhl/latest/8459587.png,Todd Marchant,,,Todd Marchant
38,8459596,Andrew Brunette,L,L,"6'1""",215,1973-08-24,CAN,1993,WSH,7,18,174,15,https://assets.nhle.com/mugs/nhl/latest/8459596.png,Andrew Brunette,,,Andrew Brunette
39,8459628,Hal Gill,D,L,"6'7""",243,1975-04-06,USA,1993,BOS,8,25,207,75,https://assets.nhle.com/mugs/nhl/latest/8459628.png,Hal Gill,,,Hal Gill
40,8459640,Mike Grier,R,R,"6'1""",224,1975-01-05,USA,1993,STL,9,11,219,25,https://assets.nhle.com/mugs/nhl/latest/8459640.png,Mike Grier,,,Mike Grier
41,8459670,Kimmo Timonen,D,L,"5'10""",194,1975-03-18,FIN,1993,LAK,10,16,250,44,https://assets.nhle.com/mugs/nhl/latest/8459670.png,Kimmo Timonen,,,Kimmo Timonen
