season,round,round_numeric,series,winning_team,losing_team,games
20102011,conference-quarterfinals,1,CHI vs VAN,VAN,CHI,7
20102011,conference-quarterfinals,1,LAK vs SJS,SJS,LAK,6
20102011,conference-quarterfinals,1,NYR vs WSH,WSH,NYR,5
20102011,conference-quarterfinals,1,BUF vs PHI,PHI,BUF,7
20102011,conference-quarterfinals,1,PHX vs DET,DET,PHX,4
20102011,conference-quarterfinals,1,NSH vs ANA,NSH,ANA,6
20102011,conference-quarterfinals,1,MTL vs BOS,BOS,MTL,7
20102011,conference-quarterfinals,1,TBL vs PIT,TBL,PIT,7
20102011,conference-semifinals,2,NSH vs VAN,VAN,NSH,6
20102011,conference-semifinals,2,DET vs SJS,SJS,DET,7
20102011,conference-semifinals,2,TBL vs WSH,TBL,WSH,4
20102011,conference-semifinals,2,BOS vs PHI,BOS,PHI,4
20102011,conference-finals,3,SJS vs VAN,VAN,SJS,5
20102011,conference-finals,3,TBL vs BOS,BOS,TBL,7
20102011,stanley-cup-final,4,BOS vs VAN,BOS,VAN,7
20112012,conference-quarterfinals,1,LAK vs VAN,LAK,VAN,5
20112012,conference-quarterfinals,1,SJS vs STL,STL,SJS,5
20112012,conference-quarterfinals,1,OTT vs NYR,NYR,OTT,7
20112012,conference-quarterfinals,1,WSH vs BOS,WSH,BOS,7
20112012,conference-quarterfinals,1,CHI vs PHX,PHX,CHI,6
20112012,conference-quarterfinals,1,DET vs NSH,NSH,DET,5
20112012,conference-quarterfinals,1,NJD vs FLA,NJD,FLA,7
20112012,conference-quarterfinals,1,PHI vs PIT,PHI,PIT,6
20112012,conference-semifinals,2,LAK vs STL,LAK,STL,4
20112012,conference-semifinals,2,NSH vs PHX,PHX,NSH,5
20112012,conference-semifinals,2,WSH vs NYR,NYR,WSH,7
20112012,conference-semifinals,2,NJD vs PHI,NJD,PHI,5
20112012,conference-finals,3,LAK vs PHX,LAK,PHX,5
20112012,conference-finals,3,NJD vs NYR,NJD,NYR,6
20112012,stanley-cup-final,4,LAK vs NJD,LAK,NJD,6
20122013,conference-quarterfinals,1,MIN vs CHI,CHI,MIN,5
20122013,conference-quarterfinals,1,DET vs ANA,DET,ANA,7
20122013,conference-quarterfinals,1,NYI vs PIT,PIT,NYI,6
20122013,conference-quarterfinals,1,OTT vs MTL,OTT,MTL,5
20122013,conference-quarterfinals,1,SJS vs VAN,SJS,VAN,4
20122013,conference-quarterfinals,1,LAK vs STL,LAK,STL,6
20122013,conference-quarterfinals,1,NYR vs WSH,NYR,WSH,7
20122013,conference-quarterfinals,1,TOR vs BOS,BOS,TOR,7
20122013,conference-semifinals,2,DET vs CHI,CHI,DET,7
20122013,conference-semifinals,2,SJS vs LAK,LAK,SJS,7
20122013,conference-semifinals,2,OTT vs PIT,PIT,OTT,5
20122013,conference-semifinals,2,NYR vs BOS,BOS,NYR,5
20122013,conference-finals,3,LAK vs CHI,CHI,LAK,5
20122013,conference-finals,3,BOS vs PIT,BOS,PIT,4
20122013,stanley-cup-final,4,BOS vs CHI,CHI,BOS,6
20132014,1st-round,1,MIN vs COL,MIN,COL,7
20132014,1st-round,1,CHI vs STL,CHI,STL,6
20132014,1st-round,1,DET vs BOS,BOS,DET,5
20132014,1st-round,1,MTL vs TBL,MTL,TBL,4
20132014,1st-round,1,DAL vs ANA,ANA,DAL,6
20132014,1st-round,1,LAK vs SJS,LAK,SJS,7
20132014,1st-round,1,CBJ vs PIT,PIT,CBJ,6
20132014,1st-round,1,PHI vs NYR,NYR,PHI,7
20132014,2nd-round,2,MIN vs CHI,CHI,MIN,6
20132014,2nd-round,2,LAK vs ANA,LAK,ANA,7
20132014,2nd-round,2,MTL vs BOS,MTL,BOS,7
20132014,2nd-round,2,NYR vs PIT,NYR,PIT,7
20132014,conference-finals,3,LAK vs CHI,LAK,CHI,7
20132014,conference-finals,3,NYR vs MTL,NYR,MTL,6
