team,Conference,Division,playoffs,PTS,gf,g_dif,xg%,roster_size,contracts,retained,injury_cap_hit,forwards,defense,goalies,injuries.1,todays_cap_hit,projected_cap_hit,projected_cap_space,current_cap_space,fwds_cap%,def_cap%,goalie_cap%,inj_cap%
ANA,west,pacific,none,38.0,131.0,-49.0,0.446,23/23,47/50,0/3,12000000,37914167,16893333,7212500,12000000 (16.2,74020000,75072366,8427634,25282902,0.51,0.23,0.1,0.16
ARI,west,central,none,50.0,151.0,-12.0,0.476,23/23,48/50,1/3,24248810,39156666,10486667,4675000,24248810 (30.2,80420477,80271480,3228520,9685560,0.49,0.13,0.06,0.3
BOS,east,atlantic,top3,74.0,178.0,42.0,0.517,23/23,47/50,0/3,1000000,41457500,28612500,8475000,1000000 (1.2,84378334,84424936,-924936,87500 LTIR,0.49,0.34,0.1,0.01
BUF,east,atlantic,none,50.0,155.0,-4.0,0.49,23/23,44/50,0/3,4285714,48375356,18775000,2637500,4285714 (5.7,75123570,75445593,8054407,24163221,0.64,0.25,0.04,0.06
CAR,east,metro,top3,65.0,172.0,22.0,0.559,23/23,41/50,0/3,3400000,44411917,30042500,4262500,3400000 (4.1,82566917,82038909,1461091,4383273,0.54,0.36,0.05,0.04
CBJ,east,metro,none,42.0,151.0,-42.0,0.447,23/23,44/50,0/3,0,29950000,32241666,6450000,0 (0,78233333,79447495,4052505,12157515,0.38,0.41,0.08,0.0
CGY,west,pacific,none,55.0,163.0,4.0,0.491,23/23,44/50,0/3,2962500,47632499,25212500,6813333,2962500 (3.6,82620832,83540277,-40277,2007780,0.58,0.31,0.08,0.04
CHI,west,central,none,31.0,110.0,-76.0,0.413,23/23,45/50,1/3,25500000,24616666,13807500,4762500,25500000 (33.3,76641790,74938343,8561657,25684971,0.32,0.18,0.06,0.33
COL,west,central,top3,70.0,200.0,29.0,0.521,22/23,47/50,0/3,9000000,41925000,28987500,4175000,9000000 (9.9,90850000,91225052,-7725052,1241757 LTIR,0.46,0.32,0.05,0.1
DAL,west,central,top3,72.0,194.0,34.0,0.525,21/23,44/50,0/3,2250000,53444167,21975833,5000000,2250000 (2.7,83042829,83079157,420843,1262529,0.64,0.26,0.06,0.03
DET,east,atlantic,none,60.0,182.0,10.0,0.484,23/23,46/50,1/3,775000,47135000,21882083,7150000,775000 (1,81055973,80741950,2758050,8274150,0.58,0.27,0.09,0.01
EDM,west,pacific,top3,63.0,172.0,34.0,0.582,21/23,46/50,0/3,0,46750000,25912500,3362500,0 (0,82641667,83187158,312842,1557348,0.57,0.31,0.04,0.0
FLA,east,atlantic,top3,72.0,171.0,39.0,0.586,23/23,45/50,0/3,0,45551667,20341667,11100000,0 (0,81797501,82352696,1147304,3753552,0.56,0.25,0.14,0.0
LAK,west,pacific,none,58.0,155.0,21.0,0.55,22/23,43/50,1/3,4475000,50932501,26833333,1875000,4475000 (5.2,86840834,86025439,-2525439,769999 LTIR,0.59,0.31,0.02,0.05
MIN,west,central,none,55.0,159.0,-12.0,0.506,23/23,47/50,0/3,11475000,38257500,14975000,7250000,11475000 (13.2,86701088,85743640,-2243640,4409166 LTIR,0.44,0.17,0.08,0.13
MTL,east,atlantic,none,52.0,146.0,-37.0,0.454,23/23,45/50,2/3,20175000,43122500,13100833,5740000,20175000 (22.9,88235416,89187460,-5687460,5654167 LTIR,0.49,0.15,0.06,0.23
NJD,east,metro,none,58.0,176.0,-3.0,0.521,23/23,46/50,0/3,12516667,51238334,11005833,5101666,12516667 (15.1,82860000,83114200,385800,10412500 LTIR,0.62,0.13,0.06,0.15
NSH,west,central,none,56.0,158.0,-10.0,0.518,23/23,45/50,2/3,0,29578810,30059000,7000000,0 (0,75443366,75589706,7910294,23730882,0.39,0.4,0.09,0.0
NYI,east,metro,none,57.0,154.0,-19.0,0.455,23/23,45/50,0/3,950000,51912458,24525000,6750000,950000 (1.1,84137458,84298838,-798838,0 LTIR,0.62,0.29,0.08,0.01
NYR,east,metro,top3,71.0,171.0,26.0,0.511,21/23,45/50,0/3,4437500,44372024,26934500,6491667,4437500 (5.4,82846583,83339343,160657,5178333 LTIR,0.54,0.32,0.08,0.05
OTT,east,atlantic,none,46.0,168.0,-8.0,0.503,21/23,47/50,1/3,0,49666547,22030000,6750000,0 (0,83467380,84665531,-1165531,72147,0.6,0.26,0.08,0.0
PHI,east,metro,top3,64.0,157.0,4.0,0.506,23/23,48/50,1/3,6250000,40525833,20550000,5859167,6250000 (7.8,80277262,81789048,1710952,5197851,0.5,0.26,0.07,0.08
PIT,east,metro,none,53.0,144.0,10.0,0.54,20/23,48/50,1/3,3750000,44000000,27025175,6875000,3750000 (4.5,84129342,84629281,-1129281,175000 LTIR,0.52,0.32,0.08,0.05
