team,player,pos,line,status
TOR,Mitchell Marner,F,scratch,scratch-injured
MTL,David Savard,D,scratch,scratch-injured
BOS,David Krejci,F,scratch,scratch-injured
NJD,Curtis Lazar,F,scratch,scratch-injured
LAK,Mikey Anderson,D,scratch,scratch-injured
WSH,Charlie Lindgren,G,scratch,scratch-injured
CHI,Colin Blackwell,F,scratch,scratch-injured
STL,Thomas Greiss,G,scratch,scratch-injured
TOR,Noel Acciari,F,scratch,scratch-injured
VGK,William Carrier,F,scratch,scratch-injured
BUF,Craig Anderson,G,scratch,scratch-injured
DET,Filip Zadina,F,scratch,scratch-injured
TOR,Jake McCabe,D,scratch,scratch-injured
NSH,Jeremy Lauzon,D,scratch,scratch-injured
COL,Pavel Francouz,G,scratch,scratch-injured
VGK,Adin Hill,G,scratch,scratch-injured
SJS,Alexander Barabanov,F,scratch,scratch-injured
BOS,Patrice Bergeron,F,scratch,scratch-injured
NYI,Alexander Romanov,D,scratch,scratch-injured
CBJ,Adam Boqvist,D,scratch,scratch-injured
VGK,Chandler Stephenson,F,scratch,scratch-injured
PIT,Jan Rutta,D,scratch,scratch-injured
STL,Robert Thomas,F,scratch,scratch-injured
BOS,Derek Forbort,D,scratch,scratch-injured
OTT,Travis Hamonic,D,scratch,scratch-injured
NYR,Ryan Lindgren,D,scratch,scratch-injured
ARI,Zack Kassian,F,scratch,scratch-injured
STL,Marco Scandella,D,scratch,scratch-injured
MTL,Kirby Dach,F,scratch,scratch-injured
STL,Robert Bortuzzo,D,scratch,scratch-injured
CHI,Cole Guttman,F,scratch,scratch-injured
WSH,Trevor van Riemsdyk,D,scratch,scratch-injured
NSH,Cole Smith,F,scratch,scratch-injured
NSH,Alexandre Carrier,D,scratch,scratch-injured
SJS,Jeffrey Viel,F,scratch,scratch-injured
SEA,John Hayden,F,scratch,scratch-injured
CBJ,Lane Pederson,F,scratch,scratch-injured
CBJ,Mathieu Olivier,F,scratch,scratch-injured
WPG,Sam Gagner,F,scratch,scratch-injured
VAN,Noah Juulsen,D,scratch,scratch-injured
VAN,Christian Wolanin,D,scratch,scratch-injured
OTT,Derick Brassard,F,scratch,scratch-injured
MIN,Mason Shaw,F,scratch,scratch-injured
MTL,Alex Belzile,F,scratch,scratch-injured
CHI,Philipp Kurashev,F,scratch,scratch-injured
OTT,Parker Kelly,F,scratch,scratch-injured
VAN,Vasily Podkolzin,F,scratch,scratch-injured
VGK,Logan Thompson,G,scratch,scratch-injured
EDM,Ryan McLeod,F,scratch,scratch-injured
OTT,Julien Gauthier,F,scratch,scratch-injured
TOR,Mark Giordano,D,scratch,scratch-injured
TOR,Erik Gustafsson,D,scratch,scratch-injured
CBJ,Nick Blankenburg,D,scratch,scratch-injured
LAK,Gabriel Vilardi,F,scratch,scratch-injured
NJD,Nathan Bastian,F,scratch,scratch-injured
NSH,Juuso Parssinen,F,scratch,scratch-injured
MTL,Kaiden Guhle,D,scratch,scratch-injured
CHI,Jarred Tinordi,D,scratch,scratch-injured
OTT,Mads Sogaard,G,scratch,scratch-injured
SJS,Andreas Johnsson,F,scratch,scratch-injured
ANA,Troy Terry,F,scratch,scratch-injured
NSH,Matt Duchene,F,scratch,scratch-injured
FLA,Sam Bennett,F,scratch,scratch-injured
MTL,Christian Dvorak,F,scratch,scratch-injured
COL,Artturi Lehkonen,F,scratch,scratch-injured
COL,Josh Manson,D,scratch,scratch-injured
CBJ,Patrik Laine,F,scratch,scratch-injured
OTT,Jakob Chychrun,D,scratch,scratch-injured
LAK,Kevin Fiala,F,scratch,scratch-injured
STL,Pavel Buchnevich,F,scratch,scratch-injured
NSH,Ryan Johansen,F,scratch,scratch-injured
PHI,Rasmus Ristolainen,D,scratch,scratch-injured
WSH,T.J. Oshie,F,scratch,scratch-injured
OTT,Thomas Chabot,D,scratch,scratch-injured
VGK,Shea Theodore,D,scratch,scratch-injured
MTL,Josh Anderson,F,scratch,scratch-injured
CAR,Teuvo Teravainen,F,scratch,scratch-injured
CBJ,Elvis Merzlikins,G,scratch,scratch-injured
MIN,Kirill Kaprizov,F,scratch,scratch-injured
DAL,Mason Marchment,F,scratch,scratch-injured
NSH,Roman Josi,D,scratch,scratch-injured
DET,Robby Fabbri,F,scratch,scratch-injured
NYI,Mathew Barzal,F,scratch,scratch-injured
VAN,Filip Hronek,D,scratch,scratch-injured
FLA,Sergei Bobrovsky,G,scratch,scratch-injured
PHI,Carter Hart,G,scratch,scratch-injured
CBJ,Erik Gudbranson,D,scratch,scratch-injured
CBJ,Jack Roslovic,F,scratch,scratch-injured
DET,Gustav Lindstrom,D,scratch,scratch-healthy
SEA,Jaycob Megna,D,scratch,scratch-healthy
CHI,MacKenzie Entwistle,F,scratch,scratch-healthy
CGY,Adam Ruzicka,F,scratch,scratch-healthy
MTL,Jordan Harris,D,scratch,scratch-healthy
CGY,Dennis Gilbert,D,scratch,scratch-healthy
CGY,Matthew Coronato,F,scratch,scratch-healthy
PHI,Tanner Laczynski,F,scratch,scratch-healthy
COL,Kurtis MacDermid,D,scratch,scratch-healthy
VGK,Paul Cotter,F,scratch,scratch-healthy
ANA,Jayson Megna,F,scratch,scratch-healthy
CAR,Dylan Coghlan,D,scratch,scratch-healthy
TBL,Haydn Fleury,D,scratch,scratch-healthy
CGY,Jakob Pelletier,F,scratch,scratch-healthy
DAL,Nils Lundkvist,D,scratch,scratch-healthy
VAN,Vitali Kravtsov,F,scratch,scratch-healthy
WPG,David Gustafsson,F,scratch,scratch-healthy
PHI,Ronnie Attard,D,scratch,scratch-healthy
NYI,Simon Holmstrom,F,scratch,scratch-healthy
MIN,Calen Addison,D,scratch,scratch-healthy
EDM,Philip Broberg,D,scratch,scratch-healthy
WPG,Kyle Capobianco,D,scratch,scratch-healthy
NJD,Brendan Smith,D,scratch,scratch-healthy
COL,Brad Hunt,D,scratch,scratch-healthy
DET,Austin Czarnik,F,scratch,scratch-healthy
CAR,Calvin de Haan,D,scratch,scratch-healthy
WPG,Logan Stanley,D,scratch,scratch-healthy
TBL,Zach Bogosian,D,scratch,scratch-healthy
ANA,Nikita Nesterenko,F,scratch,scratch-healthy
CHI,Ian Mitchell,D,scratch,scratch-healthy
DAL,Joel Kiviranta,F,scratch,scratch-healthy
COL,Ben Meyers,F,scratch,scratch-healthy
NYI,Ross Johnston,F,scratch,scratch-healthy
MIN,Alex Goligoski,D,scratch,scratch-healthy
SEA,Cale Fleury,D,scratch,scratch-healthy
DET,Alex Nedeljkovic,G,scratch,scratch-healthy
BOS,Charlie McAvoy,D,scratch,scratch-healthy
SEA,Jesper Froden,F,scratch,scratch-healthy
MTL,Jake Allen,G,scratch,scratch-healthy
WPG,Axel Jonsson-Fjallby,F,scratch,scratch-healthy
WPG,Saku Maenalanen,F,scratch,scratch-healthy
VGK,Brayden Pachal,D,scratch,scratch-healthy
ARI,Karel Vejmelka,G,scratch,scratch-healthy
CGY,Chris Tanev,D,scratch,scratch-healthy
NSH,Jake Livingstone,D,scratch,scratch-healthy
BUF,Kale Clague,D,scratch,scratch-healthy
BUF,Victor Olofsson,F,scratch,scratch-healthy
VAN,Guillaume Brisebois,D,scratch,scratch-healthy
DET,Jordan Oesterle,D,scratch,scratch-healthy
BUF,Vinnie Hinostroza,F,scratch,scratch-healthy
NYI,Parker Wotherspoon,D,scratch,scratch-healthy
CHI,Andreas Englund,D,scratch,scratch-healthy
WSH,Joe Snively,F,scratch,scratch-healthy
DAL,Joel Hanley,D,scratch,scratch-healthy
FLA,Casey Fitzgerald,D,scratch,scratch-healthy
LAK,Jaret Anderson-Dolan,F,scratch,scratch-healthy
MTL,Rafael Harvey-Pinard,F,scratch,scratch-healthy
TBL,Michael Eyssimont,F,scratch,scratch-healthy
BUF,Jacob Bryson,D,scratch,scratch-healthy
BUF,Eric Comrie,G,scratch,scratch-healthy
ARI,Shea Weber,D,injured reserve,injured reserve
BOS,Matt Filipe,F,injured reserve,injured reserve
VAN,Oliver Ekman-Larsson,D,injured reserve,injured reserve
PHI,Sean Couturier,F,injured reserve,injured reserve
CBJ,Zach Werenski,D,injured reserve,injured reserve
SJS,Jonah Gadjovich,F,injured reserve,injured reserve
OTT,Josh Norris,F,injured reserve,injured reserve
CAR,Andrei Svechnikov,F,injured reserve,injured reserve
TOR,Nicholas Robertson,F,injured reserve,injured reserve
ARI,Jakub Voracek,F,injured reserve,injured reserve
VGK,Mark Stone,F,injured reserve,injured reserve
TOR,Victor Mete,D,injured reserve,injured reserve
EDM,Ryan Murray,D,injured reserve,injured reserve
NSH,Filip Forsberg,F,injured reserve,injured reserve
TOR,Bobby McMann,F,injured reserve,injured reserve
SEA,Joonas Donskoi,F,injured reserve,injured reserve
CAR,Max Pacioretty,F,injured reserve,injured reserve
OTT,Anton Forsberg,G,injured reserve,injured reserve
DET,Michael Rasmussen,F,injured reserve,injured reserve
CAR,Ondrej Kase,F,injured reserve,injured reserve
SJS,Markus Nutivaara,D,injured reserve,injured reserve
VAN,Travis Dermott,D,injured reserve,injured reserve
VGK,Robin Lehner,G,injured reserve,injured reserve
TOR,Ryan O'Reilly,F,injured reserve,injured reserve
BUF,Ben Bishop,G,injured reserve,injured reserve
VAN,Ilya Mikheyev,F,injured reserve,injured reserve
EDM,Mike Smith,G,injured reserve,injured reserve
CBJ,Jake Bean,D,injured reserve,injured reserve
VAN,Tucker Poolman,D,injured reserve,injured reserve
ANA,John Moore,D,injured reserve,injured reserve
COL,Gabriel Landeskog,F,injured reserve,injured reserve
