date,team,player,pos,age,type,structure,length,cap_hit,value,gp,ppts,xg_perc
"Jul. 9, 2023",DET,Alex DeBrincat,"LW, RW",25,Stnd (RFA),1-way,4,7875000,31500000,,,
"Jul. 9, 2023",SEA,Cale Fleury,RD,24,Stnd (RFA),1-way,2,800000,1600000,12.0,0.0,0.5525066637020347
"Jul. 9, 2023",VAN,Nils Hoglander,"LW, RW",22,Stnd (RFA),1-way,2,1100000,2200000,25.0,7.0,0.4482484097013371
"Jul. 8, 2023",SEA,Kole Lind,RW,24,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 8, 2023",DET,John Lethemon,G,26,Stnd (RFA),2-way,1,787500,787500,,,
"Jul. 8, 2023",LAK,Akil Thomas,C,23,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 8, 2023",PHI,Aleksei Kolosov,G,21,ELC,2-way,3,925000,2775000,,,
"Jul. 7, 2023",SEA,Pierre-Edouard Bellemare,"C, LW",38,35+ (UFA),1-way,1,775000,775000,,,
"Jul. 7, 2023",PIT,Andreas Johnsson,"LW, RW",28,Stnd (UFA),1-way,1,800000,800000,,,
"Jul. 7, 2023",PIT,Vinnie Hinostroza,"RW, LW",29,Stnd (UFA),1-way,1,775000,775000,,,
"Jul. 7, 2023",ARI,Nathan Smith,C,24,Stnd (RFA),2-way,1,775000,775000,4.0,0.0,0.1727584212662719
"Jul. 7, 2023",LAK,Tobias Bjornfot,LD,22,Stnd (RFA),1-way,2,775000,1550000,10.0,0.0,0.4921860763225601
"Jul. 7, 2023",SEA,William Borgen,RD,26,Stnd (RFA),1-way,2,2700000,5400000,82.0,13.0,0.494453013236893
"Jul. 6, 2023",NSH,Kalan Lind,LW,18,ELC,2-way,3,870000,2850000,,,
"Jul. 6, 2023",NSH,Tanner Molendyk,LD,18,ELC,2-way,3,950000,2850000,,,
"Jul. 6, 2023",OTT,Zack MacEwen,"RW, C",26,Stnd (UFA),1-way,3,775000,2325000,,,
"Jul. 6, 2023",WSH,Andrew Cristall,LW,18,ELC,2-way,3,905000,2850000,,,
"Jul. 6, 2023",CGY,Mathias Emilio Pettersen,C,23,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 6, 2023",CGY,Benjamin Jones,C,24,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 6, 2023",LAK,Tyler Madden,C,23,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 6, 2023",LAK,Samuel Fagemo,"LW, RW",23,Stnd (RFA),2-way,1,775000,775000,9.0,3.0,0.3197317437381529
"Jul. 6, 2023",LAK,Anze Kopitar,C,36,35+ (UFA),1-way,2,7000000,14000000,82.0,52.0,0.539293238041353
"Jul. 6, 2023",STL,Hugh McGing,"LW, C",24,Stnd (RFA),2-way,1,775000,775000,1.0,0.0,0.8517607635791667
"Jul. 5, 2023",WPG,Dylan Samberg,LD,24,Stnd (RFA),1-way,2,1400000,2800000,63.0,4.0,0.5673414845117267
"Jul. 5, 2023",NYI,Karson Kuhlman,RW,27,Stnd (UFA),2-way,1,775000,775000,,,
"Jul. 5, 2023",WSH,Chase Priskie,RD,27,Stnd (UFA),2-way,1,775000,775000,,,
"Jul. 5, 2023",PHI,Victor Mete,LD/RD,25,Stnd (UFA),2-way,1,775000,775000,,,
"Jul. 5, 2023",NYI,Julien Gauthier,RW,25,Stnd (UFA),1-way,2,787500,1575000,,,
"Jul. 5, 2023",CAR,Dylan Coghlan,RD,25,Stnd (RFA),1-way,1,850000,850000,17.0,2.0,0.6513652819149567
"Jul. 5, 2023",SEA,Tucker Robertson,C,20,ELC,2-way,3,870000,2850000,,,
"Jul. 5, 2023",FLA,Rasmus Asplund,"LW, C",25,Stnd (UFA),2-way,1,775000,775000,,,
"Jul. 5, 2023",NYI,Brian Pinho,"C, RW",28,Stnd (UFA),2-way,1,775000,775000,,,
"Jul. 5, 2023",MTL,David Reinbacher,RD,18,ELC,2-way,3,950000,6350000,,,
"Jul. 5, 2023",WPG,Domenic DiVincentiis,G,19,ELC,2-way,3,858333,2575000,,,
"Jul. 5, 2023",SJS,Leon Gawanke,LD/RD,24,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 5, 2023",BOS,Kyle Keyser,G,24,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 5, 2023",BOS,Jakub Lauko,"LW, RW",23,Stnd (RFA),2-way,2,787500,1575000,23.0,7.0,0.5181549101811315
"Jul. 5, 2023",PHI,Ronnie Attard,RD,24,Stnd (RFA),2-way,2,850000,1700000,2.0,0.0,0.6100535681430512
"Jul. 4, 2023",EDM,Olivier Rodrigue,G,22,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 4, 2023",BUF,Kale Clague,LD/RD,25,Stnd (UFA),2-way,1,775000,775000,33.0,0.0,0.501188181215442
"Jul. 4, 2023",WSH,Riley Sutter,RW,23,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 4, 2023",ANA,Robert Hagg,LD,28,Stnd (UFA),1-way,1,775000,775000,,,
"Jul. 4, 2023",MTL,Mitchell Stephens,C,26,Stnd (RFA),2-way,1,775000,775000,,,
"Jul. 4, 2023",WSH,Martin Fehervary,LD/RD,23,Stnd (RFA),1-way,3,2675000,8025000,67.0,11.0,0.4647360664273631
"Jul. 4, 2023",DAL,Derrick Pouliot,LD,29,Stnd (UFA),2-way,1,775000,775000,,,
"Jul. 4, 2023",OTT,Travis Hamonic,RD,32,Stnd (UFA),1-way,2,1100000,2200000,75.0,14.0,0.4837330726821943
"Jul. 3, 2023",SEA,Connor Carrick,RD,29,Stnd (UFA),2-way,1,775000,775000,,,
"Jul. 3, 2023",CAR,Griffin Mendel,LD,24,ELC,2-way,1,790000,790000,,,
"Jul. 3, 2023",PIT,Will Butcher,LD,28,Stnd (UFA),2-way,1,775000,775000,,,
"Jul. 3, 2023",WPG,Axel Jonsson-Fjallby,LW,25,Stnd (UFA),2-way,2,775000,1550000,50.0,10.0,0.5074769486878139
