season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,g_dif,xg_dif,fwf_dif,hdsc_dif
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,4on5,475.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,0.1,2.0,3.0,2.0,13.0,0.13,2.0,15.0,0.12,1.0,10.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0,3.0,0.5,0.23076923076923078,0.0,2.0,1.0,3.0,0.5,0.2,0.0,0.13,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,-11.0,-4.0
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,5on4,462.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,1.0,0.88,2.8181818181818183,3.0,11.0,1.0,0.92,15.0,1.0,0.94,7.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.0,4.0,0.0,4.0,1.0,0.27,1.0,0.27,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,2.0
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,5on5,2499.0,2.0,2.0,0.0,0.0,0.0,9.0,1.0,0.9,16.0,17.0,0.48,2.5757575757575757,2.3529411764705883,33.0,35.0,0.49,48.0,44.0,0.52,23.0,23.0,7.0,11.0,6.0,16.0,11.0,6.0,10.0,9.0,0.30303030303030304,0.2647058823529412,15.0,9.0,10.0,12.0,0.21,0.27,0.31,0.2,6.0,10.0,4.0,8.0,19.0,25.0,18.0,9.0,6.0,1.0,14.0,6.0,7.0,1.0,4.0,2.0,0.0,0.0,-2.0,8.0
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,all,3600.0,3.0,5.0,0.0,0.0,0.0,11.0,5.0,0.69,24.0,28.0,0.46,2.608695652173913,2.5510204081632653,46.0,50.0,0.48,65.0,61.0,0.52,31.0,34.0,13.0,15.0,7.0,23.0,15.0,6.0,12.0,12.0,0.2608695652173913,0.24489795918367346,19.0,11.0,15.0,16.0,0.23,0.26,0.29,0.18,6.0,10.0,4.0,8.0,26.0,34.0,18.0,10.0,7.0,1.0,18.0,8.0,8.0,1.0,4.0,3.0,-2.0,0.0,-4.0,6.0
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,other,164.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,4on5,462.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.12,3.0,2.8181818181818183,1.0,11.0,0.08,1.0,15.0,0.06,0.0,7.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.0,4.0,1.0,4.0,1.0,0.27,0.0,0.27,0.0,0.0,0.0,0.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,-10.0,-2.0
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,5on4,475.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,1.0,0.9,3.0,2.0,13.0,2.0,0.87,15.0,2.0,0.88,10.0,1.0,5.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.23076923076923078,0.5,2.0,0.0,3.0,1.0,0.2,0.5,0.13,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,4.0
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,5on5,2499.0,2.0,2.0,0.0,0.0,0.0,1.0,9.0,0.1,17.0,16.0,0.52,2.3529411764705883,2.5757575757575757,35.0,33.0,0.51,44.0,48.0,0.48,23.0,23.0,16.0,11.0,6.0,7.0,11.0,6.0,9.0,10.0,0.2647058823529412,0.30303030303030304,9.0,15.0,12.0,10.0,0.27,0.21,0.2,0.31,4.0,8.0,6.0,10.0,25.0,19.0,14.0,6.0,7.0,1.0,18.0,9.0,6.0,1.0,2.0,4.0,0.0,0.0,2.0,-8.0
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,all,3600.0,5.0,3.0,0.0,0.0,0.0,5.0,11.0,0.31,28.0,24.0,0.54,2.5510204081632653,2.608695652173913,50.0,46.0,0.52,61.0,65.0,0.48,34.0,31.0,23.0,15.0,6.0,13.0,15.0,7.0,12.0,12.0,0.24489795918367346,0.2608695652173913,11.0,19.0,16.0,15.0,0.26,0.23,0.18,0.29,4.0,8.0,6.0,10.0,34.0,26.0,18.0,8.0,8.0,1.0,18.0,10.0,7.0,1.0,3.0,4.0,2.0,0.0,4.0,-6.0
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,other,164.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,4on5,240.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.3333333333333335,1.0,6.0,0.14,1.0,7.0,0.12,1.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,2.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,-3.0
20232024,2023020002,2023-10-10,CHI,1,AWAY,PIT,W,REG,4.0,2.0,5on4,480.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,0.0,1.0,2.9,0.0,10.0,0.0,1.0,16.0,1.0,0.94,5.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,6.0,1.0,5.0,0.0,0.31,0.0,0.38,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0
