season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,g_dif,xg_dif,fwf_dif,hdsc_dif,offense,defense,differential
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,4on5,7.916666666666667,0.0,2.0,0.035,1.477,0.02,0.0,4.0,0.0,1.0,9.0,0.1,2.0,3.0,2.0,13.0,0.13,2.0,15.0,0.12,1.0,10.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0,3.0,0.5,0.23076923076923078,0.0,2.0,1.0,3.0,0.5,0.2,0.0,0.13,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-1.4420000000000002,-11.0,-4.0,0.035,3.4770000000000003,-3.442
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,5on4,7.7,1.0,0.0,0.515,0.09,0.85,2.0,0.0,1.0,7.0,1.0,0.88,2.8181818181818183,3.0,11.0,1.0,0.92,14.0,2.0,0.88,7.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09090909090909091,0.0,3.0,1.0,4.0,1.0,0.29,0.5,0.21,0.5,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.42500000000000004,10.0,2.0,1.5150000000000001,0.09,1.425
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,5on5,41.65,2.0,1.0,2.757,1.446,0.66,8.0,0.0,1.0,12.0,16.0,0.43,2.782608695652174,2.303030303030303,23.0,34.0,0.4,37.0,42.0,0.47,18.0,22.0,4.0,9.0,2.0,16.0,11.0,6.0,6.0,9.0,0.2608695652173913,0.2727272727272727,14.0,8.0,5.0,12.0,0.14,0.29,0.38,0.19,0.0,10.0,0.0,4.0,18.0,22.0,18.0,9.0,6.0,1.0,13.0,6.0,7.0,1.0,4.0,2.0,1.0,1.3110000000000002,-11.0,8.0,4.757,2.4459999999999997,2.311
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,all,60.0,3.0,5.0,4.22,3.87,0.52,11.0,5.0,0.69,24.0,28.0,0.46,2.608695652173913,2.5510204081632653,46.0,50.0,0.48,64.0,62.0,0.51,31.0,34.0,13.0,15.0,7.0,23.0,15.0,6.0,12.0,12.0,0.2608695652173913,0.24489795918367346,18.0,12.0,15.0,16.0,0.23,0.26,0.28,0.19,0.0,10.0,0.0,8.0,26.0,34.0,18.0,10.0,7.0,1.0,18.0,8.0,8.0,1.0,4.0,3.0,-2.0,0.34999999999999964,-4.0,6.0,7.22,8.870000000000001,-1.6500000000000012
20232024,2023020001,2023-10-10,NSH,1,AWAY,TBL,L,REG,3.0,5.0,other,2.7333333333333334,0.0,2.0,0.913,0.858,0.52,1.0,1.0,0.5,4.0,2.0,0.67,2.1,3.5,10.0,2.0,0.83,11.0,3.0,0.79,5.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,0.4,0.0,1.0,1.0,5.0,0.0,0.45,0.0,0.09,0.33,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.05500000000000005,8.0,0.0,0.913,2.858,-1.945
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,4on5,7.7,0.0,1.0,0.09,0.515,0.15,0.0,2.0,0.0,1.0,7.0,0.12,3.0,2.8181818181818183,1.0,13.0,0.07,2.0,16.0,0.11,0.0,8.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.09090909090909091,1.0,3.0,1.0,5.0,0.5,0.31,0.5,0.19,0.0,0.0,0.0,0.0,3.0,7.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-0.42500000000000004,-12.0,-2.0,0.09,1.5150000000000001,-1.425
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,5on4,7.916666666666667,2.0,0.0,1.477,0.035,0.98,4.0,0.0,1.0,9.0,1.0,0.9,3.0,2.0,13.0,0.0,1.0,15.0,0.0,1.0,10.0,0.0,5.0,4.0,0.0,1.0,0.0,1.0,3.0,1.0,0.23076923076923078,0.5,2.0,0.0,3.0,0.0,0.2,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4420000000000002,13.0,4.0,3.4770000000000003,0.035,3.442
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,5on5,41.65,1.0,2.0,1.446,2.757,0.34,0.0,8.0,0.0,16.0,12.0,0.57,2.303030303030303,2.782608695652174,34.0,23.0,0.6,42.0,37.0,0.53,22.0,18.0,16.0,11.0,6.0,4.0,9.0,2.0,9.0,6.0,0.2727272727272727,0.2608695652173913,8.0,14.0,12.0,5.0,0.29,0.14,0.19,0.38,0.0,4.0,0.0,10.0,22.0,18.0,13.0,6.0,7.0,1.0,18.0,9.0,6.0,1.0,2.0,4.0,-1.0,-1.3110000000000002,11.0,-8.0,2.4459999999999997,4.757,-2.311
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,all,60.0,5.0,3.0,3.87,4.22,0.48,5.0,11.0,0.31,28.0,24.0,0.54,2.5510204081632653,2.608695652173913,50.0,46.0,0.52,62.0,64.0,0.49,34.0,31.0,23.0,15.0,6.0,13.0,15.0,7.0,12.0,12.0,0.24489795918367346,0.2608695652173913,12.0,18.0,16.0,15.0,0.26,0.23,0.19,0.28,0.0,8.0,0.0,10.0,34.0,26.0,18.0,8.0,8.0,1.0,18.0,10.0,7.0,1.0,3.0,4.0,2.0,-0.34999999999999964,4.0,-6.0,8.870000000000001,7.22,1.6500000000000012
20232024,2023020001,2023-10-10,TBL,1,HOME,NSH,W,REG,5.0,3.0,other,2.7333333333333334,2.0,0.0,0.858,0.913,0.48,1.0,1.0,0.5,2.0,4.0,0.33,3.5,2.1,2.0,10.0,0.17,3.0,11.0,0.21,2.0,5.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,4.0,0.0,0.4,1.0,1.0,0.0,5.0,0.0,0.45,0.33,0.09,0.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.05500000000000005,-8.0,0.0,2.858,0.913,1.945
