season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,g_dif,xg_dif,fwf_dif,hdsc_dif,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,offense,defense,differential
20202021,2020020001,2021-01-13,PHI,1,HOME,PIT,W,REG,6,3,4on5,5.783333333333333,0,1,0.006,0.82,0.01,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1,4,0.2,1,6,0.14,-1,-0.814,-3,-1.0,1,4,0.0,0.0,0.0,0.0,1.0,2.0,0,2,0.0,0.5,0,2,0,0,0.0,0.0,0.0,0.33,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.006,1.8199999999999998,-1.8139999999999998
20202021,2020020001,2021-01-13,PHI,1,HOME,PIT,W,REG,6,3,5on4,2.6,2,0,0.283,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.25,0.0,4,0,1.0,7,0,1.0,2,0.283,4,1.0,4,0,1.0,0.0,2.0,0.0,0.0,0.0,2,0,0.5,0.0,3,0,0,0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.283,0.0,2.283
20202021,2020020001,2021-01-13,PHI,1,HOME,PIT,W,REG,6,3,5on5,51.46666666666667,4,2,2.011,1.918,0.51,9.0,3.0,0.75,13.0,16.0,0.45,2.607142857142857,2.342857142857143,30,37,0.45,38,48,0.44,2,0.0930000000000002,-7,6.0,22,30,4.0,10.0,5.0,13.0,12.0,7.0,7,12,0.25,0.34285714285714286,8,11,8,7,0.21,0.15,0.21,0.23,3.0,6.0,2.0,4.0,25.0,17.0,30.0,6.0,8.0,7.0,21.0,8.0,7.0,5.0,5.0,3.0,6.011,3.918,2.093
20202021,2020020001,2021-01-13,PHI,1,HOME,PIT,W,REG,6,3,all,60.0,6,3,2.3,2.738,0.46,10.0,4.0,0.71,15.0,17.0,0.47,2.5625,2.3076923076923075,35,41,0.46,46,54,0.46,3,-0.43800000000000017,-6,6.0,27,34,5.0,10.0,7.0,13.0,13.0,9.0,9,14,0.28125,0.358974358974359,11,13,8,7,0.17,0.13,0.24,0.24,3.0,6.0,3.0,6.0,29.0,21.0,31.0,6.0,10.0,9.0,23.0,8.0,10.0,6.0,5.0,3.0,8.3,5.7379999999999995,2.562000000000001
20202021,2020020001,2021-01-13,PHI,1,HOME,PIT,W,REG,6,3,other,0.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20202021,2020020001,2021-01-13,PIT,1,AWAY,PHI,L,REG,3,6,4on5,2.6,0,2,0.0,0.283,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.25,0,4,0.0,0,7,0.0,-2,-0.283,-4,-1.0,0,4,0.0,0.0,0.0,1.0,0.0,2.0,0,2,0.0,0.5,0,3,0,0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.283,-2.283
20202021,2020020001,2021-01-13,PIT,1,AWAY,PHI,L,REG,3,6,5on4,5.783333333333333,1,0,0.82,0.006,0.99,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4,1,0.8,6,1,0.86,1,0.814,3,1.0,4,1,0.0,1.0,2.0,0.0,0.0,0.0,2,0,0.5,0.0,2,0,0,0,0.0,0.0,0.33,0.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.8199999999999998,0.006,1.8139999999999998
20202021,2020020001,2021-01-13,PIT,1,AWAY,PHI,L,REG,3,6,5on5,51.46666666666667,2,4,1.918,2.011,0.49,3.0,9.0,0.25,16.0,13.0,0.55,2.342857142857143,2.607142857142857,37,30,0.55,48,38,0.56,-2,-0.0930000000000002,7,-6.0,30,22,13.0,12.0,7.0,4.0,10.0,5.0,12,7,0.34285714285714286,0.25,11,8,7,8,0.15,0.21,0.23,0.21,2.0,4.0,3.0,6.0,17.0,25.0,21.0,8.0,7.0,5.0,30.0,6.0,8.0,7.0,3.0,5.0,3.918,6.011,-2.093
20202021,2020020001,2021-01-13,PIT,1,AWAY,PHI,L,REG,3,6,all,60.0,3,6,2.738,2.3,0.54,4.0,10.0,0.29,17.0,15.0,0.53,2.3076923076923075,2.5625,41,35,0.54,54,46,0.54,-3,0.43800000000000017,6,-6.0,34,27,13.0,13.0,9.0,5.0,10.0,7.0,14,9,0.358974358974359,0.28125,13,11,7,8,0.13,0.17,0.24,0.24,3.0,6.0,3.0,6.0,21.0,29.0,23.0,8.0,10.0,6.0,31.0,6.0,10.0,9.0,3.0,5.0,5.7379999999999995,8.3,-2.562000000000001
20202021,2020020001,2021-01-13,PIT,1,AWAY,PHI,L,REG,3,6,other,0.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20202021,2020020002,2021-01-13,CHI,1,AWAY,TBL,L,REG,1,5,4on5,5.833333333333333,0,2,0.0,0.93,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.4166666666666665,0,12,0.0,0,12,0.0,-2,-0.93,-12,-2.0,0,11,0.0,0.0,0.0,3.0,5.0,2.0,0,6,0.0,0.5,0,0,0,1,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.93,-2.93
20202021,2020020002,2021-01-13,CHI,1,AWAY,TBL,L,REG,1,5,5on4,5.733333333333333,1,0,0.323,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,2.6666666666666665,0.0,6,0,1.0,8,0,1.0,1,0.323,6,1.0,4,0,3.0,1.0,1.0,0.0,0.0,0.0,2,0,0.3333333333333333,0.0,2,0,2,0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323,0.0,1.323
