index,season,team,full,GP,W,L,OTL,PTS,playoffs,season_mod,W%,league_playoff_min,Conference,Division
0,20222023,BOS,Boston Bruins,82,65,12,5,135,Lost in First Round to FLA,22/23,0.7926829268292683,0.5121951219512195,1st in 1st in East,1st in 1st in Atlantic
1,20222023,TOR,Toronto Maple Leafs,82,50,21,11,111,Lost in Second Round to FLA,22/23,0.6097560975609756,0.5121951219512195,4th in 4th in East,2nd in 2nd in Atlantic
2,20222023,TBL,Tampa Bay Lightning,82,46,30,6,98,Lost in First Round to TOR,22/23,0.5609756097560976,0.5121951219512195,6th in 6th in East,3rd in 3rd in Atlantic
3,20222023,FLA,Florida Panthers,82,42,32,8,92,Lost in Stanley Cup Final to VGK,22/23,0.5121951219512195,0.5121951219512195,8th in 8th in East,4th in 4th in Atlantic
4,20222023,BUF,Buffalo Sabres,82,42,33,7,91,,22/23,0.5060240963855421,0.5121951219512195,9th in 9th in East,5th in 5th in Atlantic
5,20222023,OTT,Ottawa Senators,82,39,35,8,86,,22/23,0.47560975609756095,0.5121951219512195,11th in 11th in East,6th in 6th in Atlantic
6,20222023,DET,Detroit Red Wings,82,35,37,10,80,,22/23,0.4268292682926829,0.5121951219512195,12th in 12th in East,7th in 7th in Atlantic
7,20222023,MTL,Montreal Canadiens,82,31,45,6,68,,22/23,0.3780487804878049,0.5121951219512195,15th in 15th in East,8th in 8th in Atlantic
8,20222023,CAR,Carolina Hurricanes,82,52,21,9,113,Lost in Conference Finals to FLA,22/23,0.6341463414634146,0.5121951219512195,2nd in 2nd in East,1st in 1st in Metro
9,20222023,NJD,New Jersey Devils,82,52,22,8,112,Lost in Second Round to CAR,22/23,0.6341463414634146,0.5121951219512195,3rd in 3rd in East,2nd in 2nd in Metro
10,20222023,NYR,New York Rangers,82,47,22,13,107,Lost in First Round to NJD,22/23,0.573170731707317,0.5121951219512195,5th in 5th in East,3rd in 3rd in Metro
11,20222023,NYI,New York Islanders,82,42,31,9,93,Lost in First Round to CAR,22/23,0.5121951219512195,0.5121951219512195,7th in 7th in East,4th in 4th in Metro
12,20222023,PIT,Pittsburgh Penguins,82,40,31,11,91,,22/23,0.4878048780487805,0.5121951219512195,9th in 9th in East,5th in 5th in Metro
13,20222023,WSH,Washington Capitals,82,35,37,10,80,,22/23,0.4268292682926829,0.5121951219512195,12th in 12th in East,6th in 6th in Metro
14,20222023,PHI,Philadelphia Flyers,82,31,38,13,75,,22/23,0.3855421686746988,0.5121951219512195,14th in 14th in East,7th in 7th in Metro
15,20222023,CBJ,Columbus Blue Jackets,82,25,48,9,59,,22/23,0.3048780487804878,0.5121951219512195,16th in 16th in East,8th in 8th in Metro
16,20222023,COL,Colorado Avalanche,82,51,24,7,109,Lost in First Round to SEA,22/23,0.6219512195121951,0.5121951219512195,2nd in 2nd in West,1st in 1st in Central
