team,position,differential,iOff,hdsc,point_shot,block_opp_shot,hit,iFW,pen_dif,shooting%,quality,fo_dif,puck_control
ANA,D,0.09375,0.125,0.141,2.881,0.3125,0.4375,0.0625,0.28125,0.375,0.359375,0.53125,0.4375
ANA,F,0.0625,0.0625,2.258,1.551,0.46875,0.375,0.15625,0.03125,0.25,0.25,0.09375,0.21875
BOS,D,0.59375,0.40625,0.357,3.386,0.53125,0.78125,0.21875,0.0625,0.78125,0.859375,0.53125,0.25
BOS,F,0.59375,0.71875,3.002,1.627,0.5625,0.96875,0.5,0.6875,0.59375,0.71875,0.8125,0.0625
BUF,D,0.5,0.65625,0.304,3.524,0.4375,0.71875,0.40625,0.59375,0.9375,0.859375,0.53125,0.734375
BUF,F,0.25,0.21875,2.221,1.719,0.65625,0.90625,0.4375,0.3125,0.09375,0.25,0.03125,0.8125
CAR,D,1.0,0.96875,0.435,5.255,0.03125,0.0625,1.0,1.0,0.6875,0.859375,0.53125,0.9375
CAR,F,0.65625,0.5,3.091,1.514,0.09375,0.40625,0.65625,0.0625,0.28125,0.71875,0.78125,0.125
CBJ,D,0.15625,0.8125,0.265,3.666,0.5625,0.03125,0.65625,0.75,0.625,0.359375,0.53125,0.78125
CBJ,F,0.1875,0.3125,2.832,1.564,0.9375,0.625,0.5625,0.484375,0.46875,0.71875,0.34375,0.75
CGY,D,0.21875,0.28125,0.252,4.323,0.84375,0.75,0.71875,0.03125,0.75,0.359375,0.53125,0.34375
CGY,F,0.5,0.4375,2.739,1.751,0.0625,0.65625,0.625,0.75,0.53125,0.25,0.3125,0.09375
CHI,D,0.0625,0.03125,0.133,3.027,0.9375,0.3125,0.03125,0.46875,0.0625,0.359375,0.53125,0.15625
CHI,F,0.09375,0.09375,2.597,1.623,0.25,0.28125,0.0625,0.65625,0.125,0.25,0.15625,0.71875
COL,D,0.6875,1.0,0.277,4.372,0.40625,0.34375,0.9375,0.96875,0.96875,0.359375,0.0625,0.90625
COL,F,0.8125,0.78125,2.739,1.576,0.6875,0.125,0.40625,0.28125,0.71875,0.25,0.25,0.625
DAL,D,0.625,0.515625,0.296,3.745,0.59375,0.59375,0.59375,0.53125,0.40625,0.359375,0.09375,0.53125
DAL,F,0.96875,1.0,3.349,1.688,0.15625,0.03125,0.875,0.84375,0.96875,0.71875,0.96875,0.15625
DET,D,0.25,0.46875,0.191,3.407,0.8125,0.96875,0.28125,0.34375,0.5625,0.359375,0.53125,0.3125
DET,F,0.3125,0.59375,2.3,1.516,0.28125,0.0625,0.25,1.0,0.8125,0.25,0.46875,0.28125
EDM,D,0.96875,0.90625,0.316,4.347,0.21875,0.65625,0.90625,0.1875,0.65625,0.359375,0.53125,0.59375
EDM,F,0.9375,0.9375,3.38,1.19,0.03125,0.25,0.8125,0.15625,0.78125,0.71875,0.875,0.5625
FLA,D,0.875,0.3125,0.296,4.104,0.0625,0.9375,0.625,0.5625,0.125,0.859375,0.53125,0.28125
FLA,F,1.0,0.84375,3.195,1.664,0.53125,0.9375,0.9375,0.125,0.375,0.25,0.5,0.59375
LAK,D,0.5625,0.09375,0.229,3.388,0.34375,0.8125,0.09375,0.78125,0.3125,0.359375,0.53125,0.5625
LAK,F,0.90625,0.75,3.309,2.161,0.21875,0.3125,0.96875,0.25,0.4375,0.71875,0.59375,0.375
MIN,D,0.34375,0.515625,0.39,3.439,0.65625,0.125,0.1875,0.5,0.53125,0.859375,0.53125,0.734375
MIN,F,0.84375,0.5625,3.042,1.864,0.71875,0.5,0.75,0.4375,0.5,0.25,0.28125,0.4375
MTL,D,0.125,0.6875,0.353,3.583,0.875,0.53125,0.3125,0.15625,1.0,0.859375,0.53125,0.0625
MTL,F,0.15625,0.125,3.275,1.369,0.84375,0.59375,0.21875,0.21875,0.34375,0.984375,0.53125,0.03125
NJD,D,0.65625,0.34375,0.34,3.755,0.1875,0.46875,0.53125,0.375,0.90625,0.359375,1.0,0.1875
NJD,F,0.46875,0.65625,2.869,1.493,0.625,0.78125,0.53125,0.484375,0.40625,0.71875,0.90625,0.46875
NSH,D,0.84375,0.9375,0.399,4.777,0.375,0.84375,0.96875,0.25,0.84375,0.859375,0.53125,0.375
