team,conference,division,season,GP,PTS,W,L,OTL,reg_w,div_rank,conf_rank,playoffs,strength,score_state,toi,gf,ga,g_dif,offense,defense,differential,xgf,xga,xg%,xg_dif,fwf,fwa,fenwick,fwf_dif,cf,ca,corsi,shot,shot_ag,sc,sc_ag,scf%,hdsc%,asd,asda,hdsc,mdsc,adsc,ldsc,hdsc_ag,mdsc_ag,adsc_ag,ldsc_ag,point_shot,point_shot_ag,point_shot%,point_shot%_ag,penalty,pim,penalty_ag,pim_ag,fow,fol,faceoff%,giveaway,giveaway_ag,takeaway,takeaway_ag,hit,hit_ag,block,miss,block_ag,miss_ag,block%,miss%,block%_ag,miss%_ag,DZ_fow,NZ_fow,OZ_fow,DZ_fol,NZ_fol,OZ_fol,DZ_penalty,NZ_penalty,OZ_penalty,DZ_penalty_ag,NZ_penalty_ag,OZ_penalty_ag,DZ_giveaway,NZ_giveaway,OZ_giveaway,DZ_giveaway_ag,NZ_giveaway_ag,OZ_giveaway_ag,DZ_takeaway,NZ_takeaway,OZ_takeaway,DZ_takeaway_ag,NZ_takeaway_ag,OZ_takeaway_ag,DZ_hit,NZ_hit,OZ_hit,DZ_hit_ag,NZ_hit_ag,OZ_hit_ag,sv%,xSV%,GSAx,sv%_ag,xSV%_ag,GSAx_ag,shooting%,shooting%_ag,pdo,goaltending,goaltending_ag,gf_per60,ga_per60,g_dif_per60,offense_per60,defense_per60,differential_per60,xgf_per60,xga_per60,xg_dif_per60,fwf_per60,fwa_per60,fenwick_per60,fwf_dif_per60,cf_per60,ca_per60,corsi_per60,shot_per60,shot_ag_per60,sc_per60,sc_ag_per60,asd_per60,asda_per60,hdsc_per60,mdsc_per60,adsc_per60,ldsc_per60,hdsc_ag_per60,mdsc_ag_per60,adsc_ag_per60,ldsc_ag_per60,point_shot_per60,point_shot_ag_per60,penalty_per60,pim_per60,penalty_ag_per60,pim_ag_per60,fow_per60,fol_per60,giveaway_per60,giveaway_ag_per60,takeaway_per60,takeaway_ag_per60,hit_per60,hit_ag_per60,block_per60,miss_per60,block_ag_per60,miss_ag_per60,DZ_fow_per60,NZ_fow_per60,OZ_fow_per60,DZ_fol_per60,NZ_fol_per60,OZ_fol_per60,DZ_penalty_per60,NZ_penalty_per60,OZ_penalty_per60,DZ_penalty_ag_per60,NZ_penalty_ag_per60,OZ_penalty_ag_per60,DZ_giveaway_per60,NZ_giveaway_per60,OZ_giveaway_per60,DZ_giveaway_ag_per60,NZ_giveaway_ag_per60,OZ_giveaway_ag_per60,DZ_takeaway_per60,NZ_takeaway_per60,OZ_takeaway_per60,DZ_takeaway_ag_per60,NZ_takeaway_ag_per60,OZ_takeaway_ag_per60,DZ_hit_per60,NZ_hit_per60,OZ_hit_per60,DZ_hit_ag_per60,NZ_hit_ag_per60,OZ_hit_ag_per60,GSAx_per60,GSAx_ag_per60,goaltending_per60,goaltending_ag_per60
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,+1,420.3666666666667,15.0,20.0,-5.0,38.41068626,-40.60905009,-2.198363829999998,23.41068626,20.60905009,0.5318225005679753,2.8016361699999983,262.0,338.0,0.43666666666666665,-76.0,366.0,470.0,0.43779904306220097,178.0,238.0,119.0,142.0,0.4559386973180077,0.4444444444444444,2.474,2.42,48.0,71.0,78.0,50.0,60.0,82.0,109.0,68.0,79.0,107.0,0.3015267175572519,0.3165680473372781,33.0,86.0,30.0,80.0,208.0,201.0,0.508557457212714,52.0,61.0,41.0,38.0,179.0,140.0,104.0,84.0,132.0,100.0,0.28415300546448086,0.22950819672131148,0.28085106382978725,0.273224043715847,71.0,79.0,58.0,73.0,60.0,68.0,17.0,7.0,9.0,9.0,10.0,11.0,27.0,7.0,18.0,25.0,11.0,25.0,21.0,13.0,7.0,13.0,6.0,19.0,81.0,20.0,78.0,59.0,15.0,66.0,0.9159663865546218,0.9134073525630252,0.6090500900000002,0.9157303370786517,0.8684792906741573,8.410686259999999,0.084,0.084,0.9999663865546218,0.29763015685425587,0.5283282911833326,2.141,2.855,-0.714,5.482,-5.796,-0.314,3.341,2.942,0.4,37.396,48.244,0.062,-10.848,52.24,67.084,0.062,25.406,33.97,16.985,20.268,0.353,0.345,6.851,10.134,11.133,7.137,8.564,11.704,15.558,9.706,11.276,15.272,4.71,12.275,4.282,11.419,29.688,28.689,7.422,8.707,5.852,5.424,25.549,19.983,14.844,11.99,18.841,14.273,10.134,11.276,8.278,10.419,8.564,9.706,2.426,0.999,1.285,1.285,1.427,1.57,3.854,0.999,2.569,3.568,1.57,3.568,2.997,1.856,0.999,1.856,0.856,2.712,11.561,2.855,11.133,8.421,2.141,9.42,0.087,1.2,0.042,0.075
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,+2,151.1,8.0,4.0,4.0,19.01541307,-11.00134729,8.014065780000001,11.01541307,7.00134729,0.6113981009846767,4.014065779999999,92.0,109.0,0.4577114427860697,-17.0,134.0,163.0,0.4511784511784512,68.0,71.0,36.0,43.0,0.45569620253164556,0.45714285714285713,2.419,2.371,16.0,20.0,34.0,16.0,19.0,24.0,39.0,23.0,28.0,32.0,0.30434782608695654,0.29357798165137616,24.0,74.0,15.0,46.0,67.0,83.0,0.44666666666666666,17.0,18.0,9.0,17.0,55.0,48.0,42.0,24.0,54.0,38.0,0.31343283582089554,0.1791044776119403,0.3312883435582822,0.2835820895522388,18.0,28.0,21.0,33.0,30.0,20.0,19.0,1.0,4.0,9.0,0.0,6.0,10.0,2.0,5.0,4.0,4.0,10.0,3.0,1.0,5.0,4.0,7.0,6.0,28.0,6.0,21.0,23.0,4.0,21.0,0.9436619718309859,0.9013894747887324,3.00134729,0.8823529411764706,0.8380086313235294,3.0154130699999993,0.118,0.056,1.0616619718309859,0.40520759589542216,0.1541565386028162,3.177,1.588,1.588,7.551,-4.369,3.182,4.374,2.78,1.594,36.532,43.283,0.182,-6.75,53.21,64.725,0.179,27.002,28.193,14.295,17.075,0.961,0.941,6.353,7.942,13.501,6.353,7.545,9.53,15.486,9.133,11.118,12.707,9.53,29.385,5.956,18.266,26.605,32.958,6.75,7.148,3.574,6.75,21.84,19.06,16.678,9.53,21.443,15.089,7.148,11.118,8.339,13.104,11.913,7.942,7.545,0.397,1.588,3.574,0.0,2.383,3.971,0.794,1.985,1.588,1.588,3.971,1.191,0.397,1.985,1.588,2.78,2.383,11.118,2.383,8.339,9.133,1.588,8.339,1.192,1.197,0.161,0.061
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,+3,124.25,6.0,2.0,4.0,14.43475031,-8.36935632,6.0653939900000005,8.43475031,6.36935632,0.5697574680330441,2.0653939900000005,80.0,100.0,0.4444444444444444,-20.0,100.0,151.0,0.398406374501992,51.0,63.0,41.0,44.0,0.4823529411764706,0.4782608695652174,2.671,2.433,22.0,19.0,23.0,12.0,24.0,20.0,27.0,26.0,22.0,37.0,0.275,0.37,19.0,52.0,14.0,42.0,55.0,59.0,0.4824561403508772,17.0,21.0,13.0,13.0,41.0,67.0,20.0,29.0,51.0,37.0,0.2,0.29,0.33774834437086093,0.37,22.0,22.0,11.0,25.0,21.0,13.0,10.0,7.0,2.0,4.0,6.0,4.0,8.0,1.0,8.0,9.0,4.0,8.0,6.0,3.0,4.0,6.0,5.0,2.0,24.0,3.0,14.0,26.0,8.0,33.0,0.9682539682539683,0.898899106031746,4.36935632,0.8823529411764706,0.8346127390196079,2.43475031,0.118,0.032,1.0862539682539682,0.49083409594590427,0.11828125447554848,2.897,0.966,1.932,6.971,-4.042,2.929,4.073,3.076,0.997,38.632,48.29,0.215,-9.658,48.29,72.918,0.192,24.628,30.423,19.799,21.247,1.29,1.175,10.624,9.175,11.107,5.795,11.59,9.658,13.038,12.555,10.624,17.867,9.175,25.111,6.761,20.282,26.559,28.491,8.209,10.141,6.278,6.278,19.799,32.354,9.658,14.004,24.628,17.867,10.624,10.624,5.312,12.072,10.141,6.278,4.829,3.38,0.966,1.932,2.897,1.932,3.863,0.483,3.863,4.346,1.932,3.863,2.897,1.449,1.932,2.897,2.414,0.966,11.59,1.449,6.761,12.555,3.863,15.936,2.11,1.176,0.237,0.057
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,+4+,71.85,1.0,0.0,1.0,4.4886883,0.0,4.4886883,3.4886883,0.0,1.0,3.4886883,35.0,0.0,1.0,35.0,45.0,0.0,1.0,28.0,0.0,13.0,0.0,1.0,1.0,2.452,,5.0,8.0,14.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.17142857142857143,,6.0,12.0,0.0,0.0,23.0,0.0,1.0,17.0,0.0,13.0,0.0,26.0,0.0,10.0,7.0,0.0,0.0,0.2222222222222222,0.15555555555555556,,0.0,6.0,9.0,8.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,8.0,4.0,5.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,16.0,3.0,7.0,0.0,0.0,0.0,,,0.0,0.9642857142857143,0.8754039892857143,2.4886883,0.036,,,,,0.835,0.0,0.835,3.748,0.0,3.748,2.913,0.0,2.913,29.228,0.0,0.835,29.228,37.578,0.0,0.835,23.382,0.0,10.856,0.0,2.048,,4.175,6.681,11.691,3.34,0.0,0.0,0.0,0.0,5.01,0.0,5.01,10.021,0.0,0.0,19.207,0.0,14.196,0.0,10.856,0.0,21.712,0.0,8.351,5.846,0.0,0.0,5.01,7.516,6.681,0.0,0.0,0.0,2.505,1.67,0.835,0.0,0.0,0.0,6.681,3.34,4.175,0.0,0.0,0.0,5.01,2.505,3.34,0.0,0.0,0.0,13.361,2.505,5.846,0.0,0.0,0.0,0.0,2.078,,
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,-1,808.4666666666667,30.0,38.0,-8.0,67.05697986,-80.900938,-13.843958139999998,37.05697986,42.900938000000004,0.4634560385237124,-5.843958140000005,566.0,535.0,0.5140781108083561,31.0,794.0,740.0,0.5176010430247718,409.0,376.0,232.0,235.0,0.49678800856531047,0.48223350253807107,2.418,2.461,95.0,137.0,197.0,104.0,102.0,133.0,179.0,100.0,160.0,155.0,0.2826855123674912,0.2897196261682243,74.0,170.0,57.0,128.0,318.0,343.0,0.481089258698941,104.0,112.0,89.0,82.0,368.0,301.0,228.0,157.0,205.0,159.0,0.2871536523929471,0.1977329974811083,0.27702702702702703,0.20025188916876574,82.0,119.0,117.0,111.0,101.0,131.0,36.0,15.0,23.0,17.0,13.0,27.0,47.0,16.0,41.0,46.0,8.0,58.0,40.0,18.0,31.0,31.0,15.0,36.0,161.0,46.0,161.0,120.0,38.0,143.0,0.898936170212766,0.8859017606382978,4.900938000000004,0.9266503667481663,0.9093961372616137,7.056979859999998,0.073,0.101,0.9719361702127659,0.38532998848065664,0.5918355866907951,2.226,2.82,-0.594,4.977,-6.004,-1.027,2.75,3.184,-0.434,42.005,39.705,0.038,2.301,58.926,54.919,0.038,30.354,27.905,17.218,17.44,0.179,0.183,7.05,10.167,14.62,7.718,7.57,9.871,13.284,7.421,11.874,11.503,5.492,12.616,4.23,9.499,23.6,25.456,7.718,8.312,6.605,6.086,27.311,22.339,16.921,11.652,15.214,11.8,6.086,8.832,8.683,8.238,7.496,9.722,2.672,1.113,1.707,1.262,0.965,2.004,3.488,1.187,3.043,3.414,0.594,4.304,2.969,1.336,2.301,2.301,1.113,2.672,11.949,3.414,11.949,8.906,2.82,10.613,0.364,0.524,0.029,0.044
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,-2,508.2,14.0,19.0,-5.0,32.099354919999996,-51.26355153,-19.164196610000005,18.09935492,32.26355153,0.35937868156931996,-14.164196610000001,323.0,358.0,0.47430249632892807,-35.0,451.0,483.0,0.4828693790149893,210.0,247.0,132.0,156.0,0.4583333333333333,0.5169491525423728,2.418,2.432,61.0,71.0,106.0,66.0,57.0,99.0,125.0,64.0,85.0,105.0,0.2631578947368421,0.29329608938547486,40.0,110.0,46.0,108.0,221.0,239.0,0.48043478260869565,63.0,49.0,55.0,54.0,236.0,195.0,128.0,113.0,125.0,111.0,0.2838137472283814,0.25055432372505543,0.2587991718426501,0.24611973392461198,78.0,80.0,63.0,85.0,80.0,74.0,20.0,8.0,12.0,10.0,7.0,29.0,29.0,11.0,23.0,20.0,9.0,20.0,26.0,11.0,18.0,14.0,13.0,27.0,95.0,34.0,107.0,85.0,19.0,91.0,0.9230769230769231,0.8693783338866397,13.26355153,0.9333333333333333,0.9138125956190476,4.09935492,0.067,0.077,0.9900769230769231,0.73801679399671,0.47692692456664637,1.653,2.243,-0.59,3.79,-6.052,-2.263,2.137,3.809,-1.672,38.135,42.267,0.056,-4.132,53.247,57.025,0.057,24.793,29.162,15.584,18.418,0.285,0.287,7.202,8.383,12.515,7.792,6.73,11.688,14.758,7.556,10.035,12.397,4.723,12.987,5.431,12.751,26.092,28.217,7.438,5.785,6.494,6.375,27.863,23.022,15.112,13.341,14.758,13.105,9.209,9.445,7.438,10.035,9.445,8.737,2.361,0.945,1.417,1.181,0.826,3.424,3.424,1.299,2.715,2.361,1.063,2.361,3.07,1.299,2.125,1.653,1.535,3.188,11.216,4.014,12.633,10.035,2.243,10.744,1.566,0.484,0.087,0.056
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,-3,186.81666666666666,7.0,14.0,-7.0,13.46247619,-28.89618076,-15.43370457,6.46247619,14.89618076,0.3025694080451065,-8.43370457,113.0,137.0,0.452,-24.0,156.0,186.0,0.45614035087719296,74.0,88.0,50.0,62.0,0.44642857142857145,0.4523809523809524,2.458,2.439,19.0,31.0,37.0,20.0,23.0,39.0,43.0,27.0,31.0,39.0,0.2743362831858407,0.2846715328467153,17.0,40.0,10.0,26.0,69.0,80.0,0.46308724832214765,26.0,26.0,21.0,22.0,79.0,65.0,43.0,39.0,49.0,49.0,0.27564102564102566,0.25,0.26344086021505375,0.3141025641025641,21.0,28.0,20.0,22.0,37.0,21.0,6.0,7.0,4.0,2.0,3.0,5.0,10.0,4.0,12.0,6.0,4.0,16.0,12.0,2.0,7.0,7.0,5.0,10.0,33.0,12.0,34.0,28.0,7.0,30.0,0.8409090909090909,0.8307252186363636,0.89618076,0.9054054054054054,0.9126692406756757,-0.5375238099999997,0.095,0.159,0.9359090909090909,-0.025352568836902623,0.22446163024886132,2.248,4.496,-2.248,4.324,-9.281,-4.957,2.076,4.784,-2.709,36.292,44.0,0.145,-7.708,50.103,59.738,0.146,23.767,28.263,16.059,19.913,0.789,0.783,6.102,9.956,11.883,6.423,7.387,12.526,13.81,8.672,9.956,12.526,5.46,12.847,3.212,8.35,22.161,25.694,8.35,8.35,6.745,7.066,25.372,20.876,13.81,12.526,15.737,15.737,6.745,8.993,6.423,7.066,11.883,6.745,1.927,2.248,1.285,0.642,0.964,1.606,3.212,1.285,3.854,1.927,1.285,5.139,3.854,0.642,2.248,2.248,1.606,3.212,10.599,3.854,10.92,8.993,2.248,9.635,0.288,-0.173,-0.008,0.072
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,-4+,213.6,7.0,0.0,7.0,16.41672938,0.0,16.41672938,9.41672938,0.0,1.0,9.41672938,133.0,0.0,1.0,133.0,196.0,0.0,1.0,95.0,0.0,71.0,0.0,1.0,1.0,2.669,,29.0,42.0,41.0,15.0,0.0,0.0,0.0,0.0,24.0,0.0,0.18045112781954886,,32.0,121.0,0.0,0.0,83.0,0.0,1.0,28.0,0.0,29.0,0.0,123.0,0.0,63.0,38.0,0.0,0.0,0.32142857142857145,0.19387755102040816,,0.0,26.0,39.0,18.0,0.0,0.0,0.0,10.0,6.0,16.0,0.0,0.0,0.0,12.0,7.0,9.0,0.0,0.0,0.0,18.0,5.0,6.0,0.0,0.0,0.0,50.0,14.0,59.0,0.0,0.0,0.0,,,0.0,0.9263157894736842,0.9008765328421052,2.4167293799999996,0.074,,,,,1.966,0.0,1.966,4.611,0.0,4.611,2.645,0.0,2.645,37.36,0.0,0.281,37.36,55.056,0.0,0.281,26.685,0.0,19.944,0.0,0.75,,8.146,11.798,11.517,4.213,0.0,0.0,0.0,0.0,6.742,0.0,8.989,33.989,0.0,0.0,23.315,0.0,7.865,0.0,8.146,0.0,34.551,0.0,17.697,10.674,0.0,0.0,7.303,10.955,5.056,0.0,0.0,0.0,2.809,1.685,4.494,0.0,0.0,0.0,3.371,1.966,2.528,0.0,0.0,0.0,5.056,1.404,1.685,0.0,0.0,0.0,14.045,3.933,16.573,0.0,0.0,0.0,0.0,0.679,,
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,All,3807.9666666666667,127.0,175.0,-48.0,289.68779167,-372.73475733,-83.04696565999996,162.68779167,197.73475733,0.45138072554389486,-35.04696566000001,2423.0,2795.0,0.46435415868148716,-372.0,3344.0,3871.0,0.46347886347886347,1667.0,1925.0,1021.0,1207.0,0.4582585278276481,0.458980044345898,2.434,2.421,414.0,607.0,813.0,446.0,488.0,719.0,917.0,563.0,680.0,864.0,0.280643829962856,0.30912343470483006,344.0,908.0,283.0,755.0,1550.0,1754.0,0.46912832929782083,478.0,531.0,417.0,428.0,1785.0,1457.0,921.0,756.0,1076.0,870.0,0.27541866028708134,0.22607655502392343,0.27796435029708083,0.26016746411483255,507.0,569.0,474.0,651.0,556.0,547.0,172.0,73.0,99.0,81.0,60.0,142.0,232.0,69.0,177.0,196.0,67.0,268.0,201.0,91.0,125.0,164.0,90.0,174.0,801.0,221.0,763.0,613.0,181.0,663.0,0.9090909090909091,0.8972806455428571,22.734757330000008,0.9238152369526095,0.9024068436292741,35.687791669999996,0.076,0.091,0.985090909090909,1.2159615339879295,1.8825960732450786,2.001,2.757,-0.756,4.564,-5.873,-1.309,2.563,3.116,-0.552,38.178,44.039,0.007,-5.861,52.69,60.993,0.007,26.266,30.331,16.087,19.018,0.038,0.038,6.523,9.564,12.81,7.027,7.689,11.329,14.449,8.871,10.714,13.614,5.42,14.307,4.459,11.896,24.422,27.637,7.532,8.367,6.57,6.744,28.125,22.957,14.512,11.912,16.954,13.708,7.989,8.965,7.469,10.257,8.761,8.619,2.71,1.15,1.56,1.276,0.945,2.237,3.655,1.087,2.789,3.088,1.056,4.223,3.167,1.434,1.97,2.584,1.418,2.742,12.621,3.482,12.022,9.659,2.852,10.447,0.358,0.562,0.019,0.03
ANA,west,pacific,20232024,82,59,27,50,5,21,7.0,14.0,none,5on5,tie,1323.3166666666666,39.0,62.0,-23.0,84.30271338,-121.89697570999999,-37.59426232999999,45.30271338,59.89697571,0.430635430312373,-14.59426233,819.0,1044.0,0.4396135265700483,-225.0,1102.0,1432.0,0.43488555643251775,554.0,719.0,327.0,450.0,0.42084942084942084,0.4160839160839161,2.373,2.396,119.0,208.0,283.0,159.0,167.0,283.0,344.0,217.0,245.0,330.0,0.29914529914529914,0.3160919540229885,97.0,239.0,77.0,186.0,505.0,614.0,0.451295799821269,153.0,194.0,147.0,164.0,678.0,517.0,283.0,265.0,388.0,325.0,0.25680580762250454,0.24047186932849365,0.2709497206703911,0.29491833030852993,183.0,164.0,158.0,251.0,182.0,181.0,51.0,20.0,26.0,18.0,18.0,41.0,80.0,17.0,56.0,70.0,21.0,103.0,69.0,35.0,43.0,74.0,30.0,60.0,313.0,83.0,282.0,234.0,66.0,217.0,0.913769123783032,0.9166940532545201,-2.1030242900000005,0.9296028880866426,0.918226149133574,6.30271338,0.07,0.086,0.9837691237830319,0.18478430480894034,0.5851212448558338,1.768,2.811,-1.043,3.822,-5.527,-1.705,2.054,2.716,-0.662,37.134,47.336,0.02,-10.202,49.965,64.928,0.02,25.119,32.6,14.826,20.403,0.108,0.109,5.396,9.431,12.831,7.209,7.572,12.831,15.597,9.839,11.108,14.962,4.398,10.836,3.491,8.433,22.897,27.839,6.937,8.796,6.665,7.436,30.741,23.441,12.831,12.015,17.592,14.736,8.297,7.436,7.164,11.38,8.252,8.207,2.312,0.907,1.179,0.816,0.816,1.859,3.627,0.771,2.539,3.174,0.952,4.67,3.129,1.587,1.95,3.355,1.36,2.72,14.192,3.763,12.786,10.61,2.992,9.839,-0.095,0.286,0.008,0.027
