season,team,GP,PTS,W,L,OTL,Conference,Division,playoffs,final_G,final_GA,situation,toi,gf,ga,g_dif,gf%,xgf,xga,xg%,pdo,shooting%,sv%,shooting%_ag,sv%_ag,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,xg_dif,fwf_dif,hdsc_dif,offense,defense,differential,gf_p60,ga_p60,g_dif_p60,xgf_p60,xga_p60,hdsc_p60,hdsca_p60,sc_p60,sca_p60,fwf_p60,fwa_p60,cf_p60,ca_p60,shots_p60,shots_ag_p60,mdsc_p60,adsc_p60,ldsc_p60,mdsca_p60,adsca_p60,ldsca_p60,point_shot_p60,point_shot_ag_p60,miss_p60,miss_ag_p60,blocks_p60,blocks_ag_p60,penalties_p60,penalties_ag_p60,hits_p60,takeaways_p60,giveaways_p60,dz_giveaways_p60,hits_ag_p60,takeaways_ag_p60,giveaways_ag_p60,dz_giveaways_ag_p60,xg_dif_p60,fwf_dif_p60,hdsc_dif_p60,oz_takeaways_p60,oz_takeaways_ag_p60,offense_p60,defense_p60,differential_p60,PTS_perc,W_perc,gf_p60_perc,g_dif_p60_perc,gf%_perc,xg%_perc,xgf_p60_perc,xg_dif_p60_perc,ga_p60_perc,xga_p60_perc,hdsc%_perc,hdsc_dif_p60_perc,sc%_perc,asd_perc,asda_perc,pdo_perc,shooting%_perc,sv%_perc,sv%_ag_perc,shooting%_ag_perc,hdsc_p60_perc,sc_p60_perc,hdsca_p60_perc,sca_p60_perc,fenwick%_perc,fwf_p60_perc,fwa_p60_perc,fwf_dif_p60_perc,corsi%_perc,cf_p60_perc,ca_p60_perc,mdsc_p60_perc,adsc_p60_perc,ldsc_p60_perc,adsca_p60_perc,mdsca_p60_perc,ldsca_p60_perc,blocks_p60_perc,blocks_ag_p60_perc,block%_perc,block%_ag_perc,hits_p60_perc,hits_ag_p60_perc,point_shot_p60_perc,point_shot_ag_p60_perc,pshot_perc_perc,pshot_perc_ag_perc,takeaways_p60_perc,takeaways_ag_p60_perc,giveaways_p60_perc,giveaways_ag_p60_perc,dz_giveaways_p60_perc,dz_giveaways_ag_p60_perc,penalties_p60_perc,penalties_ag_p60_perc,faceoff_w_perc,faceoff_l_perc,penalty_mins_perc,penalty_mins_ag_perc,miss_ag_p60_perc,miss_p60_perc,miss_perc_perc,miss_perc_ag_perc,oz_takeaways_ag_p60_perc,oz_takeaways_p60_perc,shots_ag_p60_perc,shots_p60_perc,offense_p60_perc,defense_p60_perc,differential_p60_perc
20232024,ANA,2.0,2.0,1.0,1.0,0.0,west,pacific,none,7.0,7.0,4on5,19.5,0.0,4.0,-4.0,0.0,0.0,2.59,0.0,0.81,0.0,0.81,0.19,0.0,0.0,3.0,0.0,0.0,13.0,0.0,,2.444,0.0,27.0,0.0,0.0,34.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,10.0,4.0,0.0,8.0,,0.296,0.0,7.0,0.0,6.0,,0.176,,0.206,0.0,0.0,1.0,0.0,9.0,8.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.59,-27.0,-3.0,0.0,6.59,-6.59,0.0,12.308,-12.308,0.0,7.969,0.0,9.231,0.0,40.0,0.0,83.077,0.0,104.615,0.0,64.615,0.0,0.0,0.0,30.769,30.769,12.308,0.0,24.615,0.0,18.462,0.0,21.538,0.0,3.077,6.154,3.077,0.0,0.0,3.077,0.0,3.077,0.0,-7.969,-83.077,-9.231,0.0,0.0,0.0,20.277,-20.277,0.22,0.33,0.36,0.16,0.33,0.05,0.05,0.34,0.16,0.47,0.28,0.66,0.11,,0.88,0.25,0.36,0.31,0.94,0.31,0.28,0.11,0.81,0.5,0.05,0.05,0.34,0.22,0.0,0.05,0.56,0.2,0.31,0.28,0.38,0.19,0.16,0.75,0.22,,0.12,0.31,0.53,0.78,0.81,,0.69,0.16,0.78,0.84,0.19,0.83,0.45,0.8,0.16,0.69,0.72,0.27,0.92,0.34,0.81,,0.34,0.67,0.41,0.31,0.08,0.05,0.25,0.22
20232024,ANA,2.0,2.0,1.0,1.0,0.0,west,pacific,none,7.0,7.0,5on4,9.933333333333334,0.0,0.0,0.0,,0.87,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.5,,6.0,0.0,1.0,13.0,1.0,0.929,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.33,,7.0,1.0,1.0,0.0,0.077,0.0,0.538,1.0,5.0,15.0,1.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.87,6.0,1.0,0.871,0.0,0.871,0.0,0.0,0.0,5.255,0.0,6.04,0.0,18.121,0.0,36.242,0.0,78.523,6.04,30.201,0.0,12.081,12.081,6.04,0.0,0.0,0.0,12.081,0.0,6.04,0.0,42.282,6.04,30.201,6.04,0.0,0.0,6.04,0.0,12.081,12.081,0.0,0.0,5.255,36.242,6.04,0.0,0.0,5.261,0.0,5.261,0.22,0.33,0.11,0.2,,0.97,0.28,0.38,0.69,0.97,0.78,0.31,0.92,0.25,,0.05,0.11,0.11,0.11,0.69,0.09,0.06,0.77,0.92,0.97,0.03,0.97,0.16,0.929,0.16,0.91,0.09,0.06,0.56,0.7,0.8,0.7,0.19,0.84,0.03,0.97,0.25,0.34,0.75,0.28,0.14,,0.25,0.16,0.62,0.22,0.58,0.27,0.03,0.81,0.05,0.58,1.0,0.38,0.28,0.97,0.95,0.28,0.62,0.36,0.95,0.12,0.12,0.97,0.25
20232024,ANA,2.0,2.0,1.0,1.0,0.0,west,pacific,none,7.0,7.0,5on5,84.28333333333333,6.0,3.0,3.0,0.667,6.17,5.09,0.548,1.09,0.15,0.94,0.06,0.85,14.0,13.0,0.519,29.0,33.0,0.468,2.517,2.342,62.0,79.0,0.44,80.0,119.0,0.402,40.0,50.0,15.0,19.0,12.0,20.0,23.0,20.0,17.0,27.0,0.27,0.342,18.0,40.0,22.0,29.0,0.275,0.244,0.225,0.336,9.0,16.0,9.0,18.0,42.0,39.0,36.0,12.0,6.0,4.0,26.0,12.0,9.0,3.0,5.0,5.0,1.08,-17.0,1.0,12.166999999999998,8.089,4.0779999999999985,4.271,2.136,2.136,4.392,3.623,9.966,9.254,20.645,23.492,44.137,56.239,56.951,84.714,28.475,35.594,10.678,13.526,8.543,14.238,16.373,14.238,12.102,19.221,15.661,20.645,12.814,28.475,6.407,6.407,25.628,8.543,4.271,2.848,18.509,8.543,6.407,2.136,0.769,-12.102,0.712,3.559,3.559,8.661,5.758,2.903,0.22,0.33,1.0,0.94,0.91,0.69,1.0,0.78,0.56,0.16,0.59,0.59,0.27,0.84,0.73,0.97,0.97,0.81,0.97,0.81,0.91,0.81,0.16,0.06,0.25,0.53,0.06,0.19,0.402,0.34,0.06,0.38,0.34,0.75,0.34,0.16,0.03,0.91,1.0,0.94,0.94,0.75,0.75,0.5,1.0,0.55,0.97,0.78,0.22,1.0,0.19,0.81,0.09,0.19,0.88,0.11,0.97,0.27,0.7,1.0,0.19,0.03,0.91,0.22,0.81,0.19,0.41,1.0,0.41,0.97
20232024,ANA,2.0,2.0,1.0,1.0,0.0,west,pacific,none,7.0,7.0,all,120.0,7.0,7.0,0.0,0.5,7.54,7.82,0.491,1.05,0.146,0.904,0.096,0.854,16.0,16.0,0.5,36.0,47.0,0.434,2.549,2.371,73.0,108.0,0.403,98.0,157.0,0.384,48.0,73.0,20.0,22.0,13.0,31.0,34.0,24.0,20.0,36.0,0.27,0.333,25.0,49.0,25.0,35.0,0.255,0.223,0.255,0.312,17.0,45.0,13.0,32.0,55.0,57.0,38.0,13.0,7.0,4.0,29.0,15.0,10.0,3.0,5.0,6.0,-0.28000000000000025,-35.0,0.0,14.536999999999999,14.818999999999999,-0.2820000000000009,3.5,3.5,0.0,3.77,3.91,8.0,8.0,18.0,23.5,36.5,54.0,49.0,78.5,24.0,36.5,10.0,11.0,6.5,15.5,17.0,12.0,10.0,18.0,12.5,17.5,12.5,24.5,8.5,6.5,19.0,6.5,3.5,2.0,14.5,7.5,5.0,1.5,-0.14,-17.5,0.0,2.5,3.0,7.268,7.409,-0.141,0.22,0.33,0.75,0.5,0.5,0.53,0.75,0.5,0.36,0.19,0.53,0.53,0.09,0.62,0.84,0.94,0.97,0.55,0.97,0.55,0.5,0.28,0.52,0.12,0.06,0.16,0.06,0.06,0.384,0.09,0.06,0.2,0.12,0.5,0.28,0.06,0.03,0.91,0.97,0.88,0.81,0.59,0.81,0.69,1.0,0.38,0.92,0.5,0.25,1.0,0.12,0.92,0.08,0.06,0.81,0.09,0.94,0.81,0.55,0.97,0.56,0.12,0.58,0.19,0.66,0.06,0.09,0.75,0.22,0.5
20232024,ANA,2.0,2.0,1.0,1.0,0.0,west,pacific,none,7.0,7.0,other,6.283333333333333,1.0,0.0,1.0,1.0,0.5,0.14,0.781,1.333,0.333,1.0,0.0,0.667,1.0,0.0,1.0,4.0,1.0,0.8,3.0,2.5,5.0,2.0,0.714,5.0,3.0,0.625,3.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2,0.5,0.0,1.0,2.0,0.0,0.4,0.0,0.0,0.333,3.0,14.0,2.0,12.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.36,3.0,1.0,1.5,0.139,1.361,9.549,0.0,9.549,4.775,1.337,9.549,0.0,38.196,9.549,47.745,19.098,47.745,28.647,28.647,19.098,28.647,9.549,0.0,9.549,9.549,0.0,9.549,9.549,19.098,0.0,0.0,9.549,28.647,19.098,0.0,0.0,0.0,0.0,0.0,9.549,0.0,0.0,3.438,28.647,9.549,0.0,9.549,14.324,1.327,12.996,0.22,0.33,0.88,0.91,0.84,0.81,0.53,0.81,0.7,0.72,0.93,0.69,0.9,0.56,0.75,0.95,0.91,0.73,0.81,0.7,0.44,0.69,0.89,0.72,0.89,0.56,0.81,0.97,0.625,0.5,0.75,0.81,0.41,0.36,0.59,0.5,0.67,0.81,0.56,0.81,0.87,0.3,0.73,0.44,0.62,0.42,0.9,0.3,0.16,0.7,0.34,0.59,0.44,0.19,0.72,0.27,0.66,0.86,0.27,0.11,0.31,0.25,0.1,0.03,0.45,0.66,0.5,0.84,0.75,0.94
20232024,ARI,3.0,2.0,1.0,2.0,0.0,west,central,none,6.0,6.0,4on5,13.316666666666666,0.0,2.0,-2.0,0.0,0.06,1.26,0.045,0.867,0.0,0.867,0.133,1.0,0.0,2.0,0.0,0.0,8.0,0.0,,2.35,1.0,21.0,0.045,3.0,25.0,0.107,1.0,15.0,0.0,0.0,0.0,6.0,9.0,3.0,0.0,7.0,0.0,0.333,2.0,4.0,0.0,6.0,0.0,0.24,0.667,0.16,2.0,4.0,0.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,-1.2,-20.0,-2.0,0.056,3.262,-3.2060000000000004,0.0,9.011,-9.011,0.27,5.677,0.0,9.011,0.0,36.045,4.506,94.618,13.517,112.641,4.506,67.584,0.0,0.0,0.0,27.034,40.551,13.517,0.0,31.539,0.0,27.034,9.011,18.023,9.011,0.0,4.506,4.506,0.0,0.0,9.011,0.0,18.023,0.0,-5.407,-90.113,-9.011,0.0,0.0,0.252,14.697,-14.445,0.22,0.33,0.36,0.28,0.33,0.31,0.25,0.69,0.31,0.69,0.28,0.72,0.11,,0.97,0.38,0.36,0.5,0.3,0.5,0.28,0.11,0.88,0.66,0.14,0.16,0.19,0.12,0.107,0.41,0.34,0.2,0.31,0.28,0.12,0.28,0.12,0.06,0.09,0.05,0.06,0.16,0.22,0.78,0.94,0.8,0.83,0.28,0.78,0.84,0.97,0.83,0.45,0.06,0.05,0.14,0.55,0.89,0.92,0.62,0.81,0.83,0.62,0.67,0.41,0.25,0.22,0.25,0.5,0.41
20232024,ARI,3.0,2.0,1.0,2.0,0.0,west,central,none,6.0,6.0,5on4,19.816666666666666,3.0,0.0,3.0,1.0,2.03,0.18,0.919,1.273,0.273,1.0,0.0,0.727,6.0,0.0,1.0,9.0,2.0,0.818,2.882,2.667,17.0,3.0,0.85,24.0,3.0,0.889,11.0,3.0,3.0,8.0,0.0,2.0,1.0,0.0,5.0,1.0,0.29,0.333,7.0,0.0,6.0,0.0,0.25,0.0,0.292,0.0,4.0,8.0,2.0,4.0,5.0,7.0,4.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,1.8499999999999999,14.0,6.0,5.028999999999999,0.181,4.848,9.083,0.0,9.083,6.146,0.545,18.167,0.0,27.25,6.056,51.472,9.083,72.666,9.083,33.305,9.083,9.083,24.222,0.0,6.056,3.028,0.0,15.139,3.028,18.167,0.0,21.194,0.0,12.111,6.056,12.111,0.0,0.0,0.0,9.083,6.056,9.083,6.056,5.601,42.389,18.167,0.0,0.0,15.227,0.548,14.679,0.22,0.33,0.72,0.75,0.72,0.62,0.34,0.44,0.69,0.62,0.78,0.81,0.38,0.88,0.63,1.0,0.94,0.75,0.94,0.69,0.69,0.25,0.77,0.5,0.47,0.16,0.69,0.22,0.889,0.12,0.81,0.06,0.44,0.16,0.25,0.16,0.7,0.81,0.27,0.47,0.27,0.97,0.5,0.56,0.72,0.34,0.86,0.25,0.66,0.97,0.75,0.58,0.69,0.25,0.84,0.14,0.58,0.94,0.14,0.28,0.81,0.41,0.28,0.62,0.36,0.53,0.19,0.56,0.66,0.62
20232024,ARI,3.0,2.0,1.0,2.0,0.0,west,central,none,6.0,6.0,5on5,139.13333333333333,1.0,1.0,0.0,0.5,5.58,5.68,0.496,1.004,0.018,0.986,0.014,0.982,14.0,15.0,0.483,37.0,39.0,0.487,2.558,2.265,79.0,107.0,0.425,111.0,149.0,0.427,55.0,70.0,23.0,32.0,8.0,24.0,36.0,27.0,17.0,36.0,0.22,0.336,32.0,42.0,24.0,37.0,0.216,0.248,0.288,0.282,8.0,16.0,13.0,26.0,55.0,62.0,44.0,6.0,13.0,10.0,56.0,26.0,20.0,8.0,4.0,10.0,-0.09999999999999964,-28.0,-1.0,6.581,6.680000000000001,-0.09899999999999998,0.431,0.431,0.0,2.406,2.449,6.037,6.469,15.956,16.818,34.068,46.143,47.868,64.255,23.718,30.187,9.919,13.8,3.45,10.35,15.525,11.644,7.331,15.525,10.35,15.956,13.8,18.112,3.45,5.606,18.975,2.587,5.606,4.312,24.149,11.212,8.625,3.45,-0.043,-12.075,-0.431,1.725,4.312,2.838,2.881,-0.043,0.22,0.33,0.03,0.5,0.5,0.47,0.38,0.47,1.0,0.69,0.47,0.47,0.31,0.91,0.97,0.59,0.03,1.0,0.03,1.0,0.31,0.19,0.66,0.75,0.2,0.16,0.31,0.22,0.427,0.12,0.31,0.25,0.41,0.03,0.5,0.66,0.06,0.84,0.62,0.48,0.34,0.34,0.34,0.97,0.91,0.88,0.94,0.06,0.06,0.91,0.41,0.62,0.31,0.84,0.66,0.31,0.66,0.27,0.23,0.81,0.81,0.53,0.94,0.09,0.25,0.44,0.16,0.09,0.97,0.44
20232024,ARI,3.0,2.0,1.0,2.0,0.0,west,central,none,6.0,6.0,all,185.0,4.0,6.0,-2.0,0.4,8.17,8.39,0.493,0.993,0.053,0.94,0.06,0.947,23.0,21.0,0.523,50.0,59.0,0.459,2.604,2.355,109.0,145.0,0.429,154.0,193.0,0.444,76.0,100.0,27.0,47.0,9.0,38.0,48.0,31.0,26.0,47.0,0.24,0.324,45.0,48.0,33.0,45.0,0.214,0.233,0.292,0.249,20.0,64.0,23.0,62.0,74.0,85.0,50.0,8.0,14.0,10.0,61.0,28.0,27.0,10.0,4.0,10.0,-0.22000000000000064,-36.0,2.0,12.171000000000001,14.387,-2.2159999999999993,1.297,1.946,-0.649,2.65,2.721,7.459,6.811,16.216,19.135,35.351,47.027,49.946,62.595,24.649,32.432,8.757,15.243,2.919,12.324,15.568,10.054,8.432,15.243,10.703,14.595,14.595,15.568,6.486,7.459,16.216,2.595,4.541,3.243,19.784,9.081,8.757,3.243,-0.071,-11.676,0.649,1.297,3.243,3.947,4.666,-0.719,0.22,0.33,0.12,0.36,0.22,0.56,0.31,0.56,0.81,0.81,0.66,0.61,0.3,0.88,0.97,0.39,0.16,0.78,0.16,0.78,0.38,0.09,0.81,0.55,0.19,0.06,0.25,0.19,0.444,0.12,0.34,0.06,0.5,0.03,0.5,0.5,0.09,0.73,0.38,0.38,0.19,0.34,0.38,0.88,0.94,0.66,0.88,0.06,0.14,0.97,0.5,0.69,0.34,0.25,0.97,0.31,0.62,0.94,0.06,0.69,0.88,0.56,0.67,0.12,0.2,0.36,0.16,0.19,0.81,0.34
20232024,ARI,3.0,2.0,1.0,2.0,0.0,west,central,none,6.0,6.0,other,12.733333333333333,0.0,3.0,-3.0,0.0,0.5,1.26,0.284,0.75,0.0,0.75,0.25,1.0,3.0,4.0,0.429,4.0,10.0,0.286,2.5,3.0,12.0,14.0,0.462,16.0,16.0,0.5,9.0,12.0,1.0,7.0,1.0,6.0,2.0,1.0,4.0,3.0,0.33,0.214,4.0,2.0,3.0,2.0,0.188,0.125,0.25,0.125,6.0,36.0,8.0,32.0,10.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76,-2.0,-1.0,0.504,4.263,-3.759,0.0,14.136,-14.136,2.356,5.937,14.136,18.848,18.848,47.12,56.545,65.969,75.393,75.393,42.408,56.545,4.712,32.984,4.712,28.272,9.424,4.712,18.848,14.136,14.136,9.424,18.848,9.424,28.272,37.696,4.712,4.712,4.712,0.0,0.0,0.0,0.0,0.0,-3.581,-9.424,-4.712,0.0,0.0,2.375,20.087,-17.713,0.22,0.33,0.34,0.03,0.24,0.22,0.38,0.28,0.03,0.41,0.4,0.38,0.13,0.25,0.38,0.22,0.34,0.23,0.3,0.17,0.56,0.44,0.34,0.31,0.38,0.66,0.31,0.38,0.5,0.69,0.31,0.34,0.84,0.81,0.62,0.22,0.22,0.25,0.53,0.25,0.44,0.62,0.73,0.22,0.72,0.23,0.58,0.66,0.7,0.31,0.34,0.59,0.44,0.22,0.94,1.0,0.19,1.0,0.06,0.47,0.44,0.69,0.23,0.58,0.45,0.31,0.66,0.28,0.12,0.06
