full,team,season,PTS,W,Conference,Division,playoffs,gf%,xg_dif,sv%,shooting%,g_dif,PP_g_dif,PK_g_dif,projected_cap_hit,projected_cap_space,5on5_rank,PP_rank,PK_rank,XG_dif_rank,Save%_rank,Shooting%_rank,5on5_color,PP_color,PK_color,xg_color,sv_color,sh_color,expiring_contracts,expiring_salary,nhl_contracts_2324,2023-24 Salary,nhl_contracts_2425,2024-25 Salary,nhl_contracts_2526,2025-26 Salary,nhl_contracts_2627,2026-27 Salary,nhl_contracts_2728,2027-28 Salary,nhl_contracts_2829,2028-29 Salary,cap_remaining,logo,coach,coach_start,GM,gm_start,avg_age_2324,avg_age_2425,avg_age_2526,avg_age_2627,avg_age_2728,avg_age_2829,players_under_contract_2324,players_under_contract_2425,players_under_contract_2526,players_under_contract_2627,players_under_contract_2728,draft_capital_rank
Anaheim Ducks,ANA,20222023,58,23,west,pacific,none,0.399,-74.39,0.908,0.086,-80,+28,-74,75777500,7722500,27,21,21,32,10,13,red,#fc4d47,#fc4d47,red,#3568f2,black,0.0,0.0,23,0.0,14,47971667,10,39865000,3,18400000,1.0,7000000.0,1.0,7000000.0,7722500.0,ANA.png,Greg Cronin,"June 5, 2023",Pat Verbeek,"February 3, 2022",27.26,27.79,29.0,32.67,32.0,32.0,"Tristan Luneau, Pavel Mintyukov, Jackson LaCombe, Jamie Drysdale, Ilya Lyubushkin, Radko Gudas, Cam Fowler, Benoit-Olivier Groulx, Brett Leason, Sam Carrick, Mason McTavish, Ross Johnston, Max Jones, Brock McGinn, Frank Vatrano, Ryan Strome, Jakob Silfverberg, Trevor Zegras, Adam Henrique, Urho Vaakanainen, John Gibson, Lukas Dostal, Troy Terry","Tristan Luneau, Pavel Mintyukov, Jamie Drysdale, Radko Gudas, Cam Fowler, Mason McTavish, Ross Johnston, Brock McGinn, Frank Vatrano, Ryan Strome, Trevor Zegras, John Gibson, Lukas Dostal, Troy Terry","Tristan Luneau, Pavel Mintyukov, Jamie Drysdale, Radko Gudas, Cam Fowler, Ross Johnston, Ryan Strome, Trevor Zegras, John Gibson, Troy Terry","Ryan Strome, John Gibson, Troy Terry",Troy Terry,6.0
Arizona Coyotes,ARI,20222023,70,28,west,central,none,0.464,-43.91,0.909,0.099,-26,+37,-74,78821310,4678690,23,16,21,27,9,4,#fc4d47,black,#fc4d47,red,#3568f2,#052ca3,0.0,0.0,22,0.0,11,34324999,6,23625000,2,11450000,1.0,7150000.0,0.0,0.0,4678690.0,ARI.png,Andre Tourigny,"July 1, 2021",Bill Armstrong,"September 17, 2020",27.36,27.64,27.17,29.5,31.0,,"Connor Ingram, Karel Vejmelka, Travis Dermott, J.J. Moser, Juuso Valimaki, Troy Stecher, Joshua Brown, Sean Durzi, Matt Dumba, Michael Carcone, Liam O'Brien, Logan Cooley, Jack McBain, Travis Boyd, Barrett Hayton, Nick Schmaltz, Nick Bjugstad, Matias Maccelli, Alexander Kerfoot, Lawson Crouse, Jason Zucker, Clayton Keller","Connor Ingram, Karel Vejmelka, Michael Carcone, Logan Cooley, Jack McBain, Nick Schmaltz, Nick Bjugstad, Matias Maccelli, Alexander Kerfoot, Lawson Crouse, Clayton Keller","Connor Ingram, Logan Cooley, Nick Schmaltz, Matias Maccelli, Lawson Crouse, Clayton Keller","Lawson Crouse, Clayton Keller",Clayton Keller,2.0
Boston Bruins,BOS,20222023,135,65,east,atlantic,top3,0.637,+29.06,0.936,0.104,+94,+48,-26,83070834,429166,1,8,1,6,1,2,#052ca3,#3568f2,#052ca3,#052ca3,#052ca3,#052ca3,0.0,0.0,22,0.0,14,60157500,7,42220000,5,36100000,3.0,27250000.0,3.0,27250000.0,429166.0,BOS.png,Jim Montgomery,"July 1, 2022",Don Sweeney,"May 20, 2015",28.77,28.71,29.14,30.6,33.0,33.0,"Kevin Shattenkirk, Derek Forbort, Matt Grzelcyk, Brandon Carlo, Hampus Lindholm, Charlie McAvoy, Jakub Lauko, Matthew Poitras, John Beecher, James van Riemsdyk, Milan Lucic, Morgan Geekie, Trent Frederic, Jake DeBrusk, Pavel Zacha, Charlie Coyle, Brad Marchand, David Pastrnak, Ian Mitchell, Linus Ullmark, Patrick Brown, Jeremy Swayman","Brandon Carlo, Hampus Lindholm, Charlie McAvoy, Jakub Lauko, Matthew Poitras, John Beecher, Morgan Geekie, Trent Frederic, Pavel Zacha, Charlie Coyle, Brad Marchand, David Pastrnak, Linus Ullmark, Patrick Brown","Brandon Carlo, Hampus Lindholm, Charlie McAvoy, Matthew Poitras, Pavel Zacha, Charlie Coyle, David Pastrnak","Brandon Carlo, Hampus Lindholm, Charlie McAvoy, Pavel Zacha, David Pastrnak","Hampus Lindholm, Charlie McAvoy, David Pastrnak",31.0
Buffalo Sabres,BUF,20222023,91,42,east,atlantic,none,0.481,-11.67,0.897,0.098,-17,+50,-49,74723570,8776430,19,7,17,22,16,5,#fc4d47,#3568f2,#fc4d47,#fc4d47,black,#052ca3,0.0,0.0,23,0.0,11,52342737,8,47561904,5,38528571,4.0,29528571.0,4.0,29528571.0,8776430.0,BUF.png,Don Granato,"March 17, 2021",Kevyn Adams,"June 16, 2020",26.39,26.09,27.62,28.8,29.25,29.25,"Jeff Skinner, Tage Thompson, Dylan Cozens, Victor Olofsson, Jordan Greenway, Casey Mittelstadt, Zemgus Girgensons, Kyle Okposo, Tyson Jost, Zach Benson, Peyton Krebs, Alex Tuch, Rasmus Dahlin, John-Jason Peterka, Ukko-Pekka Luukkonen, Eric Comrie, Owen Power, Devon Levi, Jacob Bryson, Henri Jokiharju, Erik Johnson, Connor Clifton, Mattias Samuelsson","Jeff Skinner, Tage Thompson, Dylan Cozens, Jordan Greenway, Zach Benson, Alex Tuch, Rasmus Dahlin, John-Jason Peterka, Devon Levi, Connor Clifton, Mattias Samuelsson","Jeff Skinner, Tage Thompson, Dylan Cozens, Zach Benson, Alex Tuch, Rasmus Dahlin, Connor Clifton, Mattias Samuelsson","Jeff Skinner, Tage Thompson, Dylan Cozens, Rasmus Dahlin, Mattias Samuelsson","Tage Thompson, Dylan Cozens, Rasmus Dahlin, Mattias Samuelsson",12.0
Calgary Flames,CGY,20222023,93,38,west,pacific,none,0.52,+35.42,0.897,0.084,+15,+43,-33,84406000,-906000,14,12,6,3,16,15,black,#3568f2,#052ca3,#052ca3,black,black,0.0,0.0,22,0.0,13,57325000,7,43700000,4,28650000,3.0,23750000.0,3.0,23750000.0,-906000.0,CGY.png,Ryan Huska,"June 12, 2023",Craig Conroy,"May 23, 2023",28.86,30.15,33.86,34.75,36.67,36.67,"Jonathan Huberdeau, Nazem Kadri, Andrew Mangiapane, Mikael Backlund, Blake Coleman, Elias Lindholm, Yegor Sharangovich, Matthew Coronato, Walker Duehr, Dryden Hunt, Dillon Dube, Adam Ruzicka, Daniel Vladar, AJ Greer, Dennis Gilbert, Jordan Oesterle, Nikita Zadorov, Christopher Tanev, Rasmus Andersson, Jacob Markstrom, MacKenzie Weegar, Noah Hanifin","Jonathan Huberdeau, Nazem Kadri, Andrew Mangiapane, Mikael Backlund, Blake Coleman, Yegor Sharangovich, Matthew Coronato, Walker Duehr, Dryden Hunt, Daniel Vladar, Rasmus Andersson, Jacob Markstrom, MacKenzie Weegar","Jonathan Huberdeau, Nazem Kadri, Mikael Backlund, Blake Coleman, Rasmus Andersson, Jacob Markstrom, MacKenzie Weegar","Jonathan Huberdeau, Nazem Kadri, Blake Coleman, MacKenzie Weegar","Jonathan Huberdeau, Nazem Kadri, MacKenzie Weegar",19.0
Carolina Hurricanes,CAR,20222023,113,52,east,metro,top3,0.55,+63.26,0.908,0.082,+34,+39,-26,82579417,920583,7,15,1,1,10,16,#3568f2,black,#052ca3,#052ca3,#3568f2,black,0.0,0.0,21,0.0,9,46100000,4,21970000,3,17470000,2.0,14570000.0,2.0,14570000.0,920583.0,CAR.png,Rod Brind'Amour,"May 8, 2018",Don Waddell,"May 8, 2018",29.86,32.67,31.0,32.0,30.5,30.5,"Anthony Deangelo, Brett Pesce, Brady Skjei, Brent Burns, Sebastian Aho, Teuvo Teravainen, Jalen Chatfield, Jesperi Kotkaniemi, Jack Drury, Martin Necas, Jordan Staal, Jesper Fast, Jordan Martinook, Seth Jarvis, Brendan Lemieux, Frederik Andersen, Stefan Noesen, Michael Bunting, Antti Raanta, Dmitry Orlov, Jaccob Slavin","Brent Burns, Sebastian Aho, Jesperi Kotkaniemi, Jordan Staal, Jesper Fast, Frederik Andersen, Michael Bunting, Dmitry Orlov, Jaccob Slavin","Sebastian Aho, Jesperi Kotkaniemi, Jordan Staal, Michael Bunting","Sebastian Aho, Jesperi Kotkaniemi, Jordan Staal","Sebastian Aho, Jesperi Kotkaniemi",13.0
Chicago Blackhawks,CHI,20222023,59,26,west,central,none,0.393,-57.42,0.9,0.084,-81,+25,-45,69710124,13789876,28,22,13,31,14,15,red,#fc4d47,black,red,black,black,0.0,0.0,23,0.0,9,29897500,4,15768333,1,9500000,1.0,9500000.0,1.0,9500000.0,13789876.0,CHI.png,Luke Richardson,"June 27, 2022",Kyle Davidson,"October 26, 2021",28.0,27.33,27.0,33.0,35.0,35.0,"Arvid Soderblom, Petr Mrazek, Lukas Reichel, Wyatt Kaiser, Jason Dickinson, Corey Perry, Nick Foligno, Andreas Athanasiou, Tyler Johnson, Taylor Hall, Ryan Donato, Connor Bedard, Cole Guttman, Mackenzie Entwistle, Reese Johnson, Boris Katchouk, Taylor Raddysh, Seth Jones, Nikita Zaitsev, Connor Murphy, Jarred Tinordi, Kevin Korchinski, Alex Vlasic","Arvid Soderblom, Wyatt Kaiser, Andreas Athanasiou, Taylor Hall, Ryan Donato, Connor Bedard, Seth Jones, Connor Murphy, Kevin Korchinski","Connor Bedard, Seth Jones, Connor Murphy, Kevin Korchinski",Seth Jones,Seth Jones,1.0
Colorado Avalanche,COL,20222023,109,51,west,central,top3,0.542,+15.42,0.922,0.087,+29,+52,-43,89975000,-6475000,9,6,12,13,2,12,#3568f2,#052ca3,#3568f2,black,#052ca3,#3568f2,0.0,0.0,23,0.0,13,69775000,8,48225000,7,43725000,3.0,21225000.0,3.0,21225000.0,-6475000.0,COL.png,Jared Bednar,"August 25, 2016",Chris MacFarland,"July 11, 2022",28.91,29.15,30.5,30.86,34.0,34.0,"Nathan MacKinnon, Alexandar Georgiev, Justus Annunen, Ivan Prosvetov, Jack Johnson, Kurtis MacDermid, Bowen Byram, Devon Toews, Josh Manson, Samuel Girard, Cale Makar, Fredrik Olofsson, Jonathan Drouin, Andrew Cogliano, Riley Tufte, Tomas Tatar, Logan O'Connor, Mikko Rantanen, Valeri Nichushkin, Artturi Lehkonen, Ross Colton, Miles Wood, Ryan Johansen","Nathan MacKinnon, Alexandar Georgiev, Bowen Byram, Josh Manson, Samuel Girard, Cale Makar, Logan O'Connor, Mikko Rantanen, Valeri Nichushkin, Artturi Lehkonen, Ross Colton, Miles Wood, Ryan Johansen","Nathan MacKinnon, Josh Manson, Samuel Girard, Cale Makar, Valeri Nichushkin, Artturi Lehkonen, Ross Colton, Miles Wood","Nathan MacKinnon, Samuel Girard, Cale Makar, Valeri Nichushkin, Artturi Lehkonen, Ross Colton, Miles Wood","Nathan MacKinnon, Valeri Nichushkin, Miles Wood",26.0
Columbus Blue Jackets,CBJ,20222023,59,25,east,metro,none,0.388,-46.89,0.896,0.081,-91,+30,-48,79533333,3966667,29,20,16,28,17,17,red,#fc4d47,black,red,#fc4d47,#fc4d47,1.0,0.0,23,0.0,13,62058333,9,51133333,4,30983333,3.0,25583333.0,2.0,16000000.0,3966667.0,CBJ.png,Pascal Vincent,"September 17, 2023",Jarmo Kekalainen,"February 13, 2013",26.78,29.08,30.0,32.5,34.33,35.5,"Kent Johnson, Kirill Marchenko, Johnny Gaudreau, Patrik Laine, Boone Jenner, Sean Kuraly, Eric Robinson, Alexandre Texier, Justin Danforth, Adam Fantilli, Jack Roslovic, Cole Sillinger, Liam Foudy, Zachary Werenski, Damon Severson, Ivan Provorov, Erik Gudbranson, Andrew Peeke, Adam Boqvist, Jake Bean, Emil Bemstrom, Spencer Martin, Elvis Merzlikins","Johnny Gaudreau, Patrik Laine, Boone Jenner, Sean Kuraly, Justin Danforth, Adam Fantilli, Zachary Werenski, Damon Severson, Ivan Provorov, Erik Gudbranson, Andrew Peeke, Adam Boqvist, Elvis Merzlikins","Johnny Gaudreau, Patrik Laine, Boone Jenner, Adam Fantilli, Zachary Werenski, Damon Severson, Erik Gudbranson, Andrew Peeke, Elvis Merzlikins","Johnny Gaudreau, Zachary Werenski, Damon Severson, Elvis Merzlikins","Johnny Gaudreau, Zachary Werenski, Damon Severson",15.0
Dallas Stars,DAL,20222023,108,47,west,central,top3,0.561,+25.74,0.919,0.099,+44,+58,-29,83042829,457171,5,2,4,8,4,4,#052ca3,#052ca3,#052ca3,#3568f2,#052ca3,#052ca3,0.0,0.0,22,0.0,13,69131667,5,39000000,3,26750000,2.0,16900000.0,2.0,16900000.0,457171.0,DAL.png,Peter DeBoer,"June 21, 2022",Jim Nill,"April 29, 2013",29.77,30.69,29.6,31.0,31.0,31.0,"Ty Dellandrea, Roope Hintz, Tyler Seguin, Jason Robertson, Mason Marchment, Joe Pavelski, Radek Faksa, Matt Duchene, Evgeni Dadonov, Craig Smith, Jamie Benn, Wyatt Johnston, Miro Heiskanen, Scott Wedgewood, Jake Oettinger, Joel Hanley, Thomas Harley, Nils Lundkvist, Jani Hakanpaa, Ryan Suter, Esa Lindell, Sam Steel","Roope Hintz, Tyler Seguin, Jason Robertson, Mason Marchment, Radek Faksa, Evgeni Dadonov, Jamie Benn, Wyatt Johnston, Miro Heiskanen, Jake Oettinger, Joel Hanley, Ryan Suter, Esa Lindell","Roope Hintz, Tyler Seguin, Jason Robertson, Mason Marchment, Miro Heiskanen","Roope Hintz, Tyler Seguin, Miro Heiskanen","Roope Hintz, Miro Heiskanen",25.0
